"label","metric","toy","real","spec","agentic","ratio"
"Neo4j","IPC",3.26488,2.15063,2.41271,1.904025,0.658716399990199
"Neo4j","Branch MPKI",0.428322,1.6499,1.1759245,3.993705,3.85200853563441
"Neo4j","Branch-direction MPKI",0.417436,1.41977,1.036316,3.35616,3.40116808325109
"Neo4j","BTB MPKI (BAClears)",0.0200241,0.730423,0.01521085,0.6409475,36.477194980049
"Neo4j","L1I MPKI (code-read)",5.43537,14.2989,0.9833755,12.78685,2.63071327250951
"Neo4j","uop-cache (DSB) MPKI",34.2717,26.9178,11.10359,39.3253,0.78542354187274
"Neo4j","DSB coverage (%)",68.1843,76.4404,92.50665,70.90965,1.12108505917051
"Neo4j","L1D-load MPKI",1.08681,3.94008,6.709175,4.272555,3.62536229883788
"Neo4j","L2-load MPKI",0.29196,0.611888,0.6927285,0.4964215,2.09579394437594
"Neo4j","LLC MPKI",0.13112,0.189226,0.10011615,0.182375,1.44315131177547
"Neo4j","DRAM read (GB/s)",2.22558,4.31307,1.68268,1.0530545,1.93795325263527
"Neo4j","Context switches (/CPU-s)",620.683,17245.3,4.544515,1011.8565,27.7843923548736
"Cassandra","IPC",1.04636,1.27902,2.41271,1.904025,1.22235177185672
"Cassandra","Branch MPKI",1.67897,2.03501,1.1759245,3.993705,1.21205858353633
"Cassandra","Branch-direction MPKI",1.37104,2.15013,1.036316,3.35616,1.56824746178084
"Cassandra","BTB MPKI (BAClears)",1.73815,0.805884,0.01521085,0.6409475,0.463644679688174
"Cassandra","L1I MPKI (code-read)",61.9095,37.3598,0.9833755,12.78685,0.603458273770584
"Cassandra","uop-cache (DSB) MPKI",101.446,72.5696,11.10359,39.3253,0.715352009936321
"Cassandra","DSB coverage (%)",20.7721,39.2964,92.50665,70.90965,1.89178754194328
"Cassandra","L1D-load MPKI",11.7855,8.09959,6.709175,4.272555,0.687250434856391
"Cassandra","L2-load MPKI",0.789816,0.950188,0.6927285,0.4964215,1.20304982426287
"Cassandra","LLC MPKI",0.129011,0.279664,0.10011615,0.182375,2.16775313732938
"Cassandra","DRAM read (GB/s)",2.00887,11.0908,1.68268,1.0530545,5.52091474311429
"Cassandra","Context switches (/CPU-s)",47126.6,16525.8,4.544515,1011.8565,0.35066820012477
"Kafka","IPC",1.42219,1.20841,2.41271,1.904025,0.849682531869863
"Kafka","Branch MPKI",1.88654,1.14766,1.1759245,3.993705,0.608341196052032
"Kafka","Branch-direction MPKI",1.64459,0.815956,1.036316,3.35616,0.496145543874157
"Kafka","BTB MPKI (BAClears)",0.361436,0.863551,0.01521085,0.6409475,2.38922243495391
"Kafka","L1I MPKI (code-read)",16.2147,49.388,0.9833755,12.78685,3.04587812293783
"Kafka","uop-cache (DSB) MPKI",51.8171,98.4371,11.10359,39.3253,1.89970299379934
"Kafka","DSB coverage (%)",59.933,21.3097,92.50665,70.90965,0.355558707223066
"Kafka","L1D-load MPKI",5.79869,9.39701,6.709175,4.272555,1.62054015648362
"Kafka","L2-load MPKI",0.640701,0.496963,0.6927285,0.4964215,0.775655102770247
"Kafka","LLC MPKI",0.298274,0.103059,0.10011615,0.182375,0.345517879533583
"Kafka","DRAM read (GB/s)",1.0091,0.875758,1.68268,1.0530545,0.867860469725498
"Kafka","Context switches (/CPU-s)",5051.29,26679.2,4.544515,1011.8565,5.28166072429023
"PageRank","IPC",2.14935,1.69761,2.41271,1.904025,0.789824830762789
"PageRank","Branch MPKI",1.30639,1.54219,1.1759245,3.993705,1.18049740123547
"PageRank","Branch-direction MPKI",1.29331,1.53721,1.036316,3.35616,1.18858587654932
"PageRank","BTB MPKI (BAClears)",0.0344095,0.0119459,0.01521085,0.6409475,0.347168659817783
"PageRank","L1I MPKI (code-read)",1.08717,0.46074,0.9833755,12.78685,0.423797566158007
"PageRank","uop-cache (DSB) MPKI",8.08369,4.53925,11.10359,39.3253,0.561531924158398
