workload,family,subgroup,side,in_suite_server_set,in_realistic_server_set,pairs_with,pair_role,dataset
jq-2598,agentic36,C,Agentic,0,0,,,
micropython-13039,agentic36,C,Agentic,0,0,,,
redis-10068,agentic36,C,Agentic,0,0,,,
redis-12272,agentic36,C,Agentic,0,0,,,
fmt-2457,agentic36,C++,Agentic,0,0,,,
fmt-3750,agentic36,C++,Agentic,0,0,,,
fmt-3901,agentic36,C++,Agentic,0,0,,,
json-4237,agentic36,C++,Agentic,0,0,,,
caddy-4774,agentic36,Go,Agentic,0,0,,,
gin-2121,agentic36,Go,Agentic,0,0,,,
hugo-12579,agentic36,Go,Agentic,0,0,,,
prometheus-10720,agentic36,Go,Agentic,0,0,,,
gson-1093,agentic36,Java,Agentic,0,0,,,
gson-2134,agentic36,Java,Agentic,0,0,,,
javaparser-4538,agentic36,Java,Agentic,0,0,,,
lombok-3479,agentic36,Java,Agentic,0,0,,,
axios-5892,agentic36,JavaScript,Agentic,0,0,,,
babel-15649,agentic36,JavaScript,Agentic,0,0,,,
preact-3763,agentic36,JavaScript,Agentic,0,0,,,
three.js-26589,agentic36,JavaScript,Agentic,0,0,,,
carbon-2752,agentic36,PHP,Agentic,0,0,,,
framework-52684,agentic36,PHP,Agentic,0,0,,,
php-cs-fixer-8064,agentic36,PHP,Agentic,0,0,,,
phpspreadsheet-3463,agentic36,PHP,Agentic,0,0,,,
fastlane-20958,agentic36,Ruby,Agentic,0,0,,,
fluentd-3328,agentic36,Ruby,Agentic,0,0,,,
jekyll-8167,agentic36,Ruby,Agentic,0,0,,,
rubocop-13560,agentic36,Ruby,Agentic,0,0,,,
axum-1730,agentic36,Rust,Agentic,0,0,,,
bat-2835,agentic36,Rust,Agentic,0,0,,,
nushell-13831,agentic36,Rust,Agentic,0,0,,,
ripgrep-2209,agentic36,Rust,Agentic,0,0,,,
core-11870,agentic36,TypeScript,Agentic,0,0,,,
docusaurus-10130,agentic36,TypeScript,Agentic,0,0,,,
docusaurus-9897,agentic36,TypeScript,Agentic,0,0,,,
immutable-js-2006,agentic36,TypeScript,Agentic,0,0,,,
cassandra,dacapo,DaCapo,Server,1,0,cassandra-ycsb20m,suite (toy),"DaCapo YCSB workload-default: 10 000 rows x 1 KB, in-process client"
kafka,dacapo,DaCapo,Server,1,0,kafka-20g,suite (toy),"DaCapo Trogdor produce bench: 1 M messages into an empty broker, in-process"
tomcat,dacapo,DaCapo,Server,1,1,,,"Tomcat's bundled sample web applications, 14 MB, in-process client"
