win	group	t_start	t_end	alive_after
000	fe_miss	1785332943.347716	1785332945.393526	1
001	fe_miss	1785332945.399351	1785332947.421390	1
002	fe_miss	1785332947.427609	1785332949.450238	1
003	fe_miss	1785332949.456296	1785332951.478598	1
004	fe_miss	1785332951.484462	1785332953.506242	1
005	fe_miss	1785332953.512429	1785332955.534430	1
006	fe_miss	1785332955.540431	1785332957.562385	1
007	fe_miss	1785332957.568282	1785332959.590329	1
008	fe_miss	1785332959.596789	1785332961.618898	1
009	fe_miss	1785332961.624840	1785332963.646818	1
010	fe_miss	1785332963.652991	1785332965.675473	1
011	fe_miss	1785332965.681741	1785332967.703918	1
012	fe_miss	1785332967.710230	1785332969.732002	1
013	fe_miss	1785332969.738185	1785332971.760018	1
014	fe_miss	1785332971.766147	1785332973.789219	1
015	fe_miss	1785332973.795367	1785332975.817614	1
016	fe_miss	1785332975.823852	1785332977.846322	1
017	fe_miss	1785332977.853345	1785332979.876419	1
018	fe_miss	1785332979.882411	1785332981.905441	1
019	fe_miss	1785332981.911375	1785332983.933115	1
020	fe_miss	1785332983.938980	1785332985.961877	1
021	fe_miss	1785332985.968062	1785332987.990571	1
022	fe_miss	1785332987.997031	1785332990.019778	1
023	fe_miss	1785332990.026059	1785332992.047945	1
024	fe_miss	1785332992.054520	1785332994.077332	1
025	fe_miss	1785332994.083468	1785332996.105526	1
026	fe_miss	1785332996.111298	1785332998.134076	1
027	fe_miss	1785332998.140449	1785333000.163026	1
028	fe_miss	1785333000.197145	1785333002.220048	1
029	fe_miss	1785333002.226671	1785333004.248476	1
030	fe_miss	1785333004.254923	1785333006.276656	1
031	fe_miss	1785333006.282889	1785333008.305740	1
032	fe_miss	1785333008.312206	1785333010.333928	1
033	fe_miss	1785333010.339782	1785333012.362377	1
034	fe_miss	1785333012.368525	1785333014.390095	1
035	fe_miss	1785333014.396062	1785333016.417861	1
036	fe_miss	1785333016.423980	1785333018.446104	1
037	fe_miss	1785333018.452516	1785333020.474591	1
038	fe_miss	1785333020.481833	1785333022.505374	1
039	fe_miss	1785333022.511747	1785333024.534324	1
040	fe_miss	1785333024.540359	1785333026.562304	1
041	fe_miss	1785333026.568511	1785333028.592157	1
042	fe_miss	1785333028.598027	1785333030.620320	1
043	fe_miss	1785333030.626206	1785333032.648385	1
044	fe_miss	1785333032.654458	1785333034.676807	1
045	fe_miss	1785333034.682973	1785333036.704934	1
046	fe_miss	1785333036.710880	1785333038.736069	1
047	fe_miss	1785333038.741999	1785333040.763628	1
048	fe_miss	1785333040.770284	1785333042.796167	1
049	fe_miss	1785333042.804206	1785333044.832232	1
050	fe_miss	1785333044.839414	1785333046.864401	1
051	fe_miss	1785333046.871460	1785333048.894824	1
052	fe_miss	1785333048.902460	1785333050.925344	1
053	fe_miss	1785333050.931466	1785333052.954343	1
054	fe_miss	1785333052.961056	1785333054.983332	1
055	fe_miss	1785333054.989262	1785333057.011502	1
056	fe_miss	1785333057.017714	1785333059.040921	1
057	fe_miss	1785333059.047121	1785333061.069836	1
058	fe_miss	1785333061.075866	1785333063.097868	1
059	fe_miss	1785333063.103656	1785333065.125995	1
060	fe_miss	1785333065.131920	1785333067.154285	1
061	fe_miss	1785333067.160436	1785333069.182203	1
062	fe_miss	1785333069.188703	1785333071.211403	1
063	fe_miss	1785333071.217570	1785333073.239067	1
064	fe_miss	1785333073.246199	1785333075.271625	1
065	fe_miss	1785333075.278555	1785333075.297760	1
066	fe_miss	1785333075.305797	1785333075.320603	1
067	fe_miss	1785333075.326888	1785333075.341928	1
068	fe_miss	1785333075.347884	1785333075.362679	1
069	fe_miss	1785333075.368667	1785333075.383146	1
070	fe_miss	1785333075.389670	1785333075.405354	1
071	fe_miss	1785333075.411310	1785333075.425759	1
072	fe_miss	1785333075.431538	1785333075.446093	1
073	fe_miss	1785333075.452201	1785333075.466846	1
074	fe_miss	1785333075.472659	1785333075.487290	1
075	fe_miss	1785333075.493390	1785333075.509733	1
076	fe_miss	1785333075.515679	1785333075.531410	1
077	fe_miss	1785333075.537328	1785333075.552112	1
078	fe_miss	1785333075.557968	1785333075.572487	1
079	fe_miss	1785333075.578462	1785333075.593233	1
080	fe_miss	1785333075.599676	1785333075.615486	1
081	fe_miss	1785333075.621611	1785333075.636408	1
082	fe_miss	1785333075.642344	1785333075.656908	1
083	fe_miss	1785333075.662733	1785333075.677402	1
084	fe_miss	1785333075.683044	1785333075.698203	1
085	fe_miss	1785333075.705391	1785333075.720015	1
086	fe_miss	1785333075.725855	1785333075.740400	1
087	fe_miss	1785333075.746412	1785333075.761153	1
088	fe_miss	1785333075.767038	1785333075.781511	1
089	fe_miss	1785333075.787367	1785333075.801831	1
090	fe_miss	1785333075.808432	1785333075.823724	1
091	fe_miss	1785333075.830091	1785333075.844859	1
