task,group,run,win,t0,dur,fence,instructions,tag,metric,value
babel,fe_lat,run_1,000,1785329834.593,2.038,harness,12771795,harness,codeRead_MPKI_L1I,79.2069
babel,fe_lat,run_1,000,1785329834.593,2.038,harness,12771795,harness,icache_data_stall_pct,18.778
babel,fe_lat,run_1,000,1785329834.593,2.038,harness,12771795,harness,itlb_tag_stall_pct,4.4206
babel,fe_lat,run_1,000,1785329834.593,2.038,harness,12771795,harness,branch_resteer_pct,18.3844
babel,fe_lat,run_1,000,1785329834.593,2.038,tool,4950109518,git,codeRead_MPKI_L1I,31.7428
babel,fe_lat,run_1,000,1785329834.593,2.038,tool,4950109518,git,icache_data_stall_pct,3.6842
babel,fe_lat,run_1,000,1785329834.593,2.038,tool,4950109518,git,itlb_tag_stall_pct,1.5526
babel,fe_lat,run_1,000,1785329834.593,2.038,tool,4950109518,git,branch_resteer_pct,3.3957
babel,fe_lat,run_1,001,1785329836.638,2.022,harness,191571707,harness,codeRead_MPKI_L1I,22.1525
babel,fe_lat,run_1,001,1785329836.638,2.022,harness,191571707,harness,icache_data_stall_pct,12.7753
babel,fe_lat,run_1,001,1785329836.638,2.022,harness,191571707,harness,itlb_tag_stall_pct,2.7451
babel,fe_lat,run_1,001,1785329836.638,2.022,harness,191571707,harness,branch_resteer_pct,13.6841
babel,fe_lat,run_1,001,1785329836.638,2.022,tool,6997182136,git,codeRead_MPKI_L1I,16.4352
babel,fe_lat,run_1,001,1785329836.638,2.022,tool,6997182136,git,icache_data_stall_pct,2.8365
babel,fe_lat,run_1,001,1785329836.638,2.022,tool,6997182136,git,itlb_tag_stall_pct,0.8108
babel,fe_lat,run_1,001,1785329836.638,2.022,tool,6997182136,git,branch_resteer_pct,2.8011
babel,fe_lat,run_1,002,1785329838.667,2.024,harness,354104924,harness,codeRead_MPKI_L1I,31.0552
babel,fe_lat,run_1,002,1785329838.667,2.024,harness,354104924,harness,icache_data_stall_pct,12.2996
babel,fe_lat,run_1,002,1785329838.667,2.024,harness,354104924,harness,itlb_tag_stall_pct,2.8015
babel,fe_lat,run_1,002,1785329838.667,2.024,harness,354104924,harness,branch_resteer_pct,14.216
babel,fe_lat,run_1,002,1785329838.667,2.024,tool,1295988926,shell,codeRead_MPKI_L1I,30.3882
babel,fe_lat,run_1,002,1785329838.667,2.024,tool,1295988926,shell,icache_data_stall_pct,9.2955
babel,fe_lat,run_1,002,1785329838.667,2.024,tool,1295988926,shell,itlb_tag_stall_pct,1.6073
babel,fe_lat,run_1,002,1785329838.667,2.024,tool,1295988926,shell,branch_resteer_pct,9.4072
babel,fe_lat,run_1,003,1785329840.696,2.022,harness,356893529,harness,codeRead_MPKI_L1I,24.2868
babel,fe_lat,run_1,003,1785329840.696,2.022,harness,356893529,harness,icache_data_stall_pct,12.2262
babel,fe_lat,run_1,003,1785329840.696,2.022,harness,356893529,harness,itlb_tag_stall_pct,2.7296
babel,fe_lat,run_1,003,1785329840.696,2.022,harness,356893529,harness,branch_resteer_pct,13.8106
babel,fe_lat,run_1,003,1785329840.696,2.022,tool,3861232572,shell,codeRead_MPKI_L1I,19.8106
babel,fe_lat,run_1,003,1785329840.696,2.022,tool,3861232572,shell,icache_data_stall_pct,4.2588
babel,fe_lat,run_1,003,1785329840.696,2.022,tool,3861232572,shell,itlb_tag_stall_pct,0.8801
babel,fe_lat,run_1,003,1785329840.696,2.022,tool,3861232572,shell,branch_resteer_pct,4.8281
babel,fe_lat,run_1,004,1785329842.724,2.022,harness,524262114,harness,codeRead_MPKI_L1I,16.3639
babel,fe_lat,run_1,004,1785329842.724,2.022,harness,524262114,harness,icache_data_stall_pct,10.0532
babel,fe_lat,run_1,004,1785329842.724,2.022,harness,524262114,harness,itlb_tag_stall_pct,2.4829
babel,fe_lat,run_1,004,1785329842.724,2.022,harness,524262114,harness,branch_resteer_pct,11.4669
babel,fe_lat,run_1,004,1785329842.724,2.022,tool,3084878845,git,codeRead_MPKI_L1I,17.5197
babel,fe_lat,run_1,004,1785329842.724,2.022,tool,3084878845,git,icache_data_stall_pct,5.4925
babel,fe_lat,run_1,004,1785329842.724,2.022,tool,3084878845,git,itlb_tag_stall_pct,0.8197
babel,fe_lat,run_1,004,1785329842.724,2.022,tool,3084878845,git,branch_resteer_pct,6.3808
babel,fe_lat,run_1,005,1785329844.752,2.022,harness,1010980148,harness,codeRead_MPKI_L1I,10.87
babel,fe_lat,run_1,005,1785329844.752,2.022,harness,1010980148,harness,icache_data_stall_pct,8.2554
babel,fe_lat,run_1,005,1785329844.752,2.022,harness,1010980148,harness,itlb_tag_stall_pct,2.2893
babel,fe_lat,run_1,005,1785329844.752,2.022,harness,1010980148,harness,branch_resteer_pct,9.6405
babel,fe_lat,run_1,005,1785329844.752,2.022,tool,1242774240,shell,codeRead_MPKI_L1I,32.0256
babel,fe_lat,run_1,005,1785329844.752,2.022,tool,1242774240,shell,icache_data_stall_pct,9.6212
babel,fe_lat,run_1,005,1785329844.752,2.022,tool,1242774240,shell,itlb_tag_stall_pct,1.6674
babel,fe_lat,run_1,005,1785329844.752,2.022,tool,1242774240,shell,branch_resteer_pct,9.881
babel,fe_lat,run_1,006,1785329846.78,2.023,harness,1474942463,harness,codeRead_MPKI_L1I,7.4175
babel,fe_lat,run_1,006,1785329846.78,2.023,harness,1474942463,harness,icache_data_stall_pct,6.8669
babel,fe_lat,run_1,006,1785329846.78,2.023,harness,1474942463,harness,itlb_tag_stall_pct,2.2864
babel,fe_lat,run_1,006,1785329846.78,2.023,harness,1474942463,harness,branch_resteer_pct,7.8926
babel,fe_lat,run_1,006,1785329846.78,2.023,tool,1602313231,shell,codeRead_MPKI_L1I,32.0025
babel,fe_lat,run_1,006,1785329846.78,2.023,tool,1602313231,shell,icache_data_stall_pct,8.6091
babel,fe_lat,run_1,006,1785329846.78,2.023,tool,1602313231,shell,itlb_tag_stall_pct,1.5696
babel,fe_lat,run_1,006,1785329846.78,2.023,tool,1602313231,shell,branch_resteer_pct,8.8103
babel,fe_lat,run_1,007,1785329848.81,2.023,harness,1617930587,harness,codeRead_MPKI_L1I,5.4409
babel,fe_lat,run_1,007,1785329848.81,2.023,harness,1617930587,harness,icache_data_stall_pct,3.5679
babel,fe_lat,run_1,007,1785329848.81,2.023,harness,1617930587,harness,itlb_tag_stall_pct,1.1793
babel,fe_lat,run_1,007,1785329848.81,2.023,harness,1617930587,harness,branch_resteer_pct,4.4923
babel,fe_lat,run_1,007,1785329848.81,2.023,tool,2068836522,shell,codeRead_MPKI_L1I,31.5892
babel,fe_lat,run_1,007,1785329848.81,2.023,tool,2068836522,shell,icache_data_stall_pct,8.0269
