task,group,run,win,t0,dur,fence,instructions,tag,metric,value
fmtlib,fe_lat,run_1,000,1785330695.046,2.043,harness,141712322,harness,codeRead_MPKI_L1I,28.7903
fmtlib,fe_lat,run_1,000,1785330695.046,2.043,harness,141712322,harness,icache_data_stall_pct,14.0389
fmtlib,fe_lat,run_1,000,1785330695.046,2.043,harness,141712322,harness,itlb_tag_stall_pct,3.0886
fmtlib,fe_lat,run_1,000,1785330695.046,2.043,harness,141712322,harness,branch_resteer_pct,14.7263
fmtlib,fe_lat,run_1,000,1785330695.046,2.043,tool,3582835205,pkg/build,codeRead_MPKI_L1I,16.6719
fmtlib,fe_lat,run_1,000,1785330695.046,2.043,tool,3582835205,pkg/build,icache_data_stall_pct,6.4477
fmtlib,fe_lat,run_1,000,1785330695.046,2.043,tool,3582835205,pkg/build,itlb_tag_stall_pct,1.0935
fmtlib,fe_lat,run_1,000,1785330695.046,2.043,tool,3582835205,pkg/build,branch_resteer_pct,7.0529
fmtlib,fe_lat,run_1,001,1785330697.096,2.029,harness,17346262,harness,codeRead_MPKI_L1I,89.4559
fmtlib,fe_lat,run_1,001,1785330697.096,2.029,harness,17346262,harness,icache_data_stall_pct,19.558
fmtlib,fe_lat,run_1,001,1785330697.096,2.029,harness,17346262,harness,itlb_tag_stall_pct,4.437
fmtlib,fe_lat,run_1,001,1785330697.096,2.029,harness,17346262,harness,branch_resteer_pct,19.4699
fmtlib,fe_lat,run_1,001,1785330697.096,2.029,tool,4852853320,pkg/build,codeRead_MPKI_L1I,12.1534
fmtlib,fe_lat,run_1,001,1785330697.096,2.029,tool,4852853320,pkg/build,icache_data_stall_pct,3.5272
fmtlib,fe_lat,run_1,001,1785330697.096,2.029,tool,4852853320,pkg/build,itlb_tag_stall_pct,0.5813
fmtlib,fe_lat,run_1,001,1785330697.096,2.029,tool,4852853320,pkg/build,branch_resteer_pct,4.8182
fmtlib,fe_lat,run_1,002,1785330699.131,2.022,harness,294839976,harness,codeRead_MPKI_L1I,36.0929
fmtlib,fe_lat,run_1,002,1785330699.131,2.022,harness,294839976,harness,icache_data_stall_pct,12.8307
fmtlib,fe_lat,run_1,002,1785330699.131,2.022,harness,294839976,harness,itlb_tag_stall_pct,2.4947
