task,class,execution_time_s
babel,internal,0.0
babel,other bash,0.1096
babel,other bash,0.1186
babel,other bash,0.1094
babel,other bash,0.1097
babel,other bash,0.1089
babel,other bash,0.1206
babel,other bash,0.1222
babel,other bash,0.1173
babel,git,0.1132
babel,git,0.2808
babel,other bash,0.1261
babel,other bash,0.11
babel,other bash,0.1117
babel,git,0.2676
babel,git,0.1109
babel,other bash,0.1096
babel,git,0.3174
babel,other bash,0.1092
babel,other bash,0.1095
babel,other bash,0.1226
babel,other bash,0.1105
babel,other bash,0.1082
babel,other bash,0.1214
babel,other bash,0.1089
babel,other bash,0.1096
babel,other bash,0.1086
babel,other bash,0.1088
babel,other bash,0.1228
babel,other bash,0.1244
babel,other bash,0.1323
babel,other bash,0.1225
babel,other bash,0.1224
babel,other bash,0.1214
babel,other bash,0.1102
babel,other bash,0.1082
babel,other bash,0.114
babel,other bash,0.1231
babel,other bash,0.1221
babel,other bash,0.1229
babel,other bash,0.2819
babel,other bash,0.1157
babel,other bash,0.122
babel,other bash,0.1226
babel,other bash,0.1229
babel,git,0.1208
babel,git,0.315
babel,git,0.1147
babel,other bash,0.1088
babel,other bash,0.1087
babel,other bash,0.1101
babel,other bash,0.1102
babel,other bash,0.1092
babel,other bash,0.109
babel,build/tests,0.2391
babel,build/tests,0.3027
babel,internal,0.1567
babel,internal,0.1476
babel,build/tests,0.202
babel,other bash,0.111
babel,other bash,0.1116
babel,other bash,0.1089
babel,other bash,0.1086
babel,other bash,0.1091
babel,build/tests,0.3093
babel,other bash,0.1104
babel,build/tests,0.1122
babel,other bash,0.1088
babel,internal,0.1523
babel,build/tests,0.1253
babel,build/tests,0.3114
babel,git,0.1109
babel,git,0.1105
babel,internal,0.1484
babel,build/tests,0.1104
babel,build/tests,1.3148
babel,build/tests,1.5149
babel,build/tests,1.6264
babel,git,0.127
babel,git,0.1163
babel,git,0.2685
babel,other bash,0.1179
babel,other bash,0.1093
babel,build/tests,0.2939
babel,other bash,0.1134
babel,internal,0.0
babel,internal,0.4639
babel,git,0.2956
babel,git,0.2738
babel,git,0.3545
babel,git,0.127
babel,build/tests,1.6104
babel,build/tests,0.3067
babel,internal,0.3275
