task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
babel,run_1,10.00991932,harness,26.14,18.03,38.93,16.6,26.51,12.42,10.95,5.65,1.47,16.95
babel,run_1,10.00991932,tool,30.1,10.71,34.44,25.76,18.32,16.12,17.29,8.47,2.75,10.25
babel,run_1,20.015927381,harness,38.16,15.11,25.65,23.08,13.05,12.6,17.21,5.86,1.13,13.94
babel,run_1,20.015927381,tool,28.77,14.38,34.65,23.17,18.48,16.17,14.82,8.35,2.9,13.58
babel,run_1,30.025919155,harness,46.99,12.7,20.82,21.67,8.39,12.42,16.7,4.98,1.18,11.33
babel,run_1,30.025919155,tool,31.02,15.23,39.23,15.59,22.37,16.86,9.83,5.75,2.74,14.67
babel,run_1,40.035941562,harness,46.87,12.79,21.41,24.16,10.14,11.27,18.67,5.49,1.18,12.45
babel,run_1,40.035941562,tool,31.54,14.78,39.59,15.53,21.7,17.89,10.2,5.33,2.77,14.34
babel,run_1,42.588615775,harness,17.36,9.01,11.01,63.77,4.67,6.35,56.99,6.78,0.82,8.22
babel,run_1,42.588615775,tool,32.5,8.33,35.76,19.36,18.84,16.91,11.81,7.54,2.72,8.0
babel,run_10,10.009818603,harness,28.37,18.42,36.79,16.43,24.22,12.57,10.97,5.46,1.22,17.7
babel,run_10,10.009818603,tool,33.23,9.98,32.11,24.88,15.49,16.62,15.43,9.45,3.41,9.68
babel,run_10,20.019857786,harness,41.11,14.02,23.53,22.63,10.8,12.73,17.28,5.35,1.36,12.15
babel,run_10,20.019857786,tool,28.51,15.67,34.91,21.62,18.83,16.08,12.69,8.93,3.2,15.27
babel,run_10,30.029824672,harness,47.02,10.58,18.96,22.36,7.6,11.36,17.26,5.1,1.17,9.02
babel,run_10,30.029824672,tool,32.03,15.21,39.65,14.44,22.39,17.26,8.67,5.78,2.98,14.69
babel,run_10,40.039823037,harness,37.25,9.38,14.16,39.24,5.8,8.36,33.51,5.74,1.18,9.02
babel,run_10,40.039823037,tool,31.99,13.79,38.78,16.26,21.48,17.3,10.3,5.96,2.94,13.31
babel,run_11,10.00992186,harness,27.32,18.05,39.32,15.16,26.35,12.97,9.93,5.22,1.25,17.1
babel,run_11,10.00992186,tool,33.5,10.15,31.81,24.9,15.16,16.65,15.37,9.53,3.24,9.7
babel,run_11,20.019925369,harness,43.02,12.8,23.28,22.28,10.78,12.5,16.98,5.3,0.85,11.37
babel,run_11,20.019925369,tool,29.53,15.69,33.37,21.23,17.3,16.07,12.35,8.88,3.03,15.08
babel,run_11,30.029924617,harness,48.05,11.78,19.69,20.79,8.88,10.82,15.66,5.14,0.79,10.78
babel,run_11,30.029924617,tool,31.74,15.27,40.08,14.63,22.58,17.5,9.07,5.55,2.86,14.79
babel,run_11,40.04029732,harness,37.99,10.11,16.32,36.85,6.79,9.52,30.43,6.42,0.83,9.56
babel,run_11,40.04029732,tool,32.32,14.32,38.19,17.27,20.05,18.14,10.78,6.5,2.87,13.69
babel,run_2,10.006351744,harness,27.68,17.51,37.48,16.93,25.35,12.13,11.56,5.37,1.41,16.62
babel,run_2,10.006351744,tool,33.24,10.17,32.22,25.01,15.58,16.64,15.41,9.59,3.42,9.67
babel,run_2,20.016797774,harness,41.21,13.13,23.01,23.95,12.98,10.03,18.02,5.93,0.77,11.99
babel,run_2,20.016797774,tool,28.94,14.68,34.77,21.54,18.89,15.88,12.75,8.79,3.04,13.98
babel,run_2,30.02879388,harness,49.52,12.58,20.69,22.06,11.24,9.45,16.18,5.88,0.78,11.41
babel,run_2,30.02879388,tool,31.99,15.3,39.8,14.49,22.33,17.47,8.97,5.52,3.02,14.81
babel,run_2,40.038796507,harness,37.57,10.15,16.84,37.29,7.82,9.01,31.46,5.82,0.86,8.8
babel,run_2,40.038796507,tool,32.15,13.83,38.67,16.9,20.81,17.85,10.63,6.27,3.06,13.41
babel,run_2,40.644573158,harness,15.33,9.15,9.46,66.3,4.61,4.85,55.58,10.72,1.19,9.14
babel,run_3,10.009899011,harness,28.19,18.08,37.61,16.37,24.98,12.63,10.71,5.66,1.45,17.04
babel,run_3,10.009899011,tool,33.28,10.15,31.77,25.11,15.16,16.61,15.61,9.51,3.47,9.81
babel,run_3,20.019898521,harness,42.53,14.35,22.14,22.75,9.8,12.35,17.3,5.45,1.1,12.43
babel,run_3,20.019898521,tool,29.93,14.94,34.03,22.06,17.58,16.44,13.33,8.72,3.02,14.02
babel,run_3,30.029897095,harness,46.63,12.51,20.82,22.78,8.82,12.0,17.29,5.49,1.18,10.88
babel,run_3,30.029897095,tool,32.26,15.34,39.97,14.17,22.17,17.8,8.77,5.4,2.92,14.79
babel,run_3,40.03989587,harness,35.85,10.45,15.41,38.38,7.02,8.4,32.2,6.18,0.95,9.02
babel,run_3,40.03989587,tool,32.44,13.84,38.95,16.49,21.37,17.58,10.19,6.31,2.94,13.25
babel,run_4,10.009889329,harness,29.5,18.2,37.71,15.4,24.5,13.21,10.0,5.4,1.53,17.11
babel,run_4,10.009889329,tool,34.08,10.13,31.76,24.62,15.02,16.74,15.08,9.55,3.37,9.7
babel,run_4,20.019884846,harness,42.47,12.83,22.29,22.55,11.81,10.48,17.05,5.5,1.16,11.65
babel,run_4,20.019884846,tool,29.92,15.88,33.33,21.81,18.07,15.26,12.61,9.2,2.97,15.23
babel,run_4,30.02990597,harness,50.45,12.18,20.23,20.88,9.66,10.57,15.38,5.5,1.18,11.01
babel,run_4,30.02990597,tool,32.42,15.25,39.85,14.07,22.35,17.5,8.46,5.61,2.91,14.69
babel,run_4,40.039885465,harness,35.44,9.8,15.61,39.45,5.73,9.89,33.51,5.94,0.96,8.83
babel,run_4,40.039885465,tool,32.76,14.7,38.76,16.61,20.63,18.13,10.4,6.21,2.88,14.26
babel,run_5,10.009904984,harness,29.51,18.35,36.97,15.39,24.03,12.94,9.54,5.85,1.53,17.22
babel,run_5,10.009904984,tool,33.82,9.64,31.88,24.68,15.02,16.86,15.28,9.4,3.53,9.32
babel,run_5,20.019906322,harness,42.24,12.13,22.16,22.76,11.99,10.18,17.27,5.49,1.17,11.35
babel,run_5,20.019906322,tool,30.04,14.04,33.79,22.04,17.93,15.86,12.97,9.07,3.32,13.51
babel,run_5,30.029907017,harness,50.38,11.41,19.84,20.54,9.65,10.19,15.05,5.49,1.18,10.63
babel,run_5,30.029907017,tool,32.22,15.0,39.95,14.25,22.51,17.44,8.85,5.4,3.03,14.27
babel,run_5,40.039904263,harness,36.32,10.18,15.46,38.05,7.61,7.85,32.51,5.54,1.19,9.39
babel,run_5,40.039904263,tool,32.55,13.89,39.01,16.05,20.81,18.2,9.73,6.32,3.05,13.39
babel,run_6,10.009906603,harness,26.89,17.9,38.53,16.49,26.35,12.18,11.18,5.31,1.35,16.86
babel,run_6,10.009906603,tool,32.7,9.77,31.91,25.85,15.2,16.7,16.0,9.84,3.44,9.53
babel,run_6,20.015787814,harness,41.83,11.71,22.42,23.19,11.54,10.88,18.09,5.1,1.21,10.81
babel,run_6,20.015787814,tool,29.38,14.85,34.85,21.85,18.08,16.77,12.9,8.95,3.19,14.64
babel,run_6,30.025903898,harness,50.1,10.67,19.62,19.81,9.05,10.57,14.03,5.78,1.18,9.89
babel,run_6,30.025903898,tool,32.07,15.17,39.65,14.67,22.38,17.27,9.1,5.58,2.88,14.7
babel,run_6,40.03589525,harness,37.22,10.29,15.59,37.65,6.53,9.06,31.8,5.85,1.16,9.57
babel,run_6,40.03589525,tool,31.94,14.18,38.59,16.69,21.06,17.53,10.37,6.31,2.86,13.73
babel,run_7,10.009935686,harness,28.72,18.67,37.54,16.45,24.31,13.23,10.98,5.47,1.2,17.21
