task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
fmtlib,run_1,10.00979224,harness,26.07,19.42,39.57,15.36,26.69,12.88,10.06,5.3,1.18,18.23
fmtlib,run_1,10.00979224,tool,28.19,16.57,29.9,25.99,16.69,13.22,13.36,12.62,2.3,15.84
fmtlib,run_1,20.019786516,harness,40.41,14.72,24.45,22.2,13.01,11.45,16.65,5.55,1.17,13.61
fmtlib,run_1,20.019786516,tool,26.59,18.48,36.2,19.96,20.53,15.67,10.63,9.33,2.42,17.54
fmtlib,run_1,30.02978878,harness,49.0,13.7,23.57,21.6,11.82,11.75,16.11,5.49,1.23,12.49
fmtlib,run_1,30.02978878,tool,30.03,15.83,33.55,21.64,18.37,15.18,11.77,9.87,2.34,15.1
fmtlib,run_1,40.039785962,harness,46.04,12.39,20.78,27.86,11.06,9.72,22.37,5.49,1.19,11.23
fmtlib,run_1,40.039785962,tool,28.34,18.1,37.37,17.52,20.05,17.32,10.06,7.46,2.17,17.85
fmtlib,run_1,50.049794282,tool,27.92,17.86,34.62,20.07,19.18,15.44,13.68,6.38,1.66,17.1
fmtlib,run_1,60.06014123,tool,32.16,17.25,29.02,22.35,15.29,13.73,13.33,9.02,1.57,16.47
fmtlib,run_1,70.069788428,harness,44.68,11.24,18.19,34.24,9.78,8.42,28.75,5.49,1.18,10.06
fmtlib,run_1,70.069788428,tool,25.65,17.56,36.41,20.78,20.36,16.05,14.04,6.75,1.62,17.16
fmtlib,run_1,80.079789936,harness,46.77,11.63,21.07,26.4,10.12,10.95,23.0,3.4,1.18,10.45
fmtlib,run_1,80.079789936,tool,29.61,19.57,35.65,16.18,20.04,15.62,9.2,6.99,1.64,19.16
fmtlib,run_1,90.088413237,tool,29.8,17.65,30.98,21.96,16.86,14.12,14.12,7.84,1.18,17.25
fmtlib,run_1,100.089792645,harness,45.08,10.83,20.27,29.7,9.29,10.98,22.1,7.6,1.18,9.65
fmtlib,run_1,100.089792645,tool,32.83,14.99,38.43,14.72,20.71,17.72,9.57,5.15,2.1,14.64
fmtlib,run_1,110.099789718,tool,30.55,19.02,36.18,15.34,19.8,16.38,9.67,5.67,1.86,18.68
fmtlib,run_1,120.109788067,tool,31.46,18.75,28.77,21.24,14.57,14.2,12.64,8.59,1.58,18.17
fmtlib,run_1,130.120122953,harness,43.09,12.84,20.34,23.04,9.07,11.26,17.64,5.4,1.18,11.68
fmtlib,run_1,130.120122953,tool,34.11,14.48,23.77,27.82,10.97,12.8,17.31,10.51,1.6,13.73
fmtlib,run_1,133.929557419,harness,33.76,10.76,15.63,40.22,6.81,8.82,36.85,3.37,1.19,11.72
fmtlib,run_1,133.929557419,tool,31.92,18.29,37.96,18.39,16.51,21.45,11.24,7.15,1.76,17.87
fmtlib,run_10,10.009929633,harness,26.5,19.55,38.74,15.22,26.0,12.74,9.82,5.4,1.19,18.54
fmtlib,run_10,10.009929633,tool,28.93,16.95,29.59,25.29,15.93,13.66,12.89,12.4,2.14,16.29
fmtlib,run_10,20.019938614,harness,41.56,12.79,23.63,22.88,10.99,12.64,17.33,5.55,0.93,11.58
fmtlib,run_10,20.019938614,tool,27.26,18.21,34.85,20.15,19.06,15.79,11.3,8.85,2.2,17.78
fmtlib,run_10,30.030279405,harness,44.7,12.39,19.91,26.1,8.94,10.97,20.6,5.5,1.18,10.75
