win	group	t_start	t_end	alive_after
000	fe	1786128114.423965	1786128114.567008	1
001	fe	1786128114.572509	1786128114.704963	1
002	fe	1786128114.710625	1786128114.841727	1
003	fe	1786128114.848139	1786128114.967883	1
004	fe	1786128114.973711	1786128115.092691	1
005	fe	1786128115.098341	1786128115.217782	1
006	fe	1786128115.223627	1786128115.345046	1
007	fe	1786128115.350984	1786128115.469910	1
008	fe	1786128115.475660	1786128115.594150	1
009	fe	1786128115.599909	1786128115.718624	1
010	fe	1786128115.724368	1786128115.842544	1
011	fe	1786128115.848339	1786128115.967794	1
012	fe	1786128115.973575	1786128116.092257	1
013	fe	1786128116.098202	1786128116.217745	1
014	fe	1786128116.223800	1786128116.342967	1
015	fe	1786128116.348978	1786128116.470614	1
016	fe	1786128116.475921	1786128116.594669	1
017	fe	1786128116.600324	1786128116.719006	1
018	fe	1786128116.724955	1786128116.844750	1
019	fe	1786128116.850295	1786128116.969781	1
020	fe	1786128116.976054	1786128117.096178	1
021	fe	1786128117.102661	1786128117.228942	1
022	fe	1786128117.234451	1786128117.353911	1
023	fe	1786128117.359967	1786128117.480022	1
024	fe	1786128117.486080	1786128117.605760	1
025	fe	1786128117.611646	1786128117.731293	1
026	fe	1786128117.737083	1786128117.856029	1
027	fe	1786128117.861773	1786128117.983075	1
028	fe	1786128117.989479	1786128118.110331	1
029	fe	1786128118.116031	1786128118.235610	1
030	fe	1786128118.241401	1786128118.360741	1
031	fe	1786128118.366381	1786128118.485453	1
032	fe	1786128118.491070	1786128118.609986	1
033	fe	1786128118.615907	1786128118.735027	1
034	fe	1786128118.740781	1786128118.859376	1
035	fe	1786128118.865106	1786128118.984181	1
036	fe	1786128118.989965	1786128119.110173	1
037	fe	1786128119.116174	1786128119.235379	1
038	fe	1786128119.241014	1786128119.360268	1
039	fe	1786128119.366054	1786128119.485339	1
040	fe	1786128119.491072	1786128119.609644	1
041	fe	1786128119.615241	1786128119.734666	1
042	fe	1786128119.740549	1786128119.859930	1
043	fe	1786128119.865624	1786128119.984088	1
044	fe	1786128119.989585	1786128120.108565	1
045	fe	1786128120.114369	1786128120.233335	1
046	fe	1786128120.239233	1786128120.358871	1
047	fe	1786128120.364612	1786128120.483649	1
048	fe	1786128120.489434	1786128120.608592	1
049	fe	1786128120.614307	1786128120.733470	1
050	fe	1786128120.739255	1786128120.858431	1
051	fe	1786128120.864377	1786128120.983666	1
052	fe	1786128120.989322	1786128121.108113	1
053	fe	1786128121.113926	1786128121.232722	1
054	fe	1786128121.238594	1786128121.357812	1
055	fe	1786128121.363716	1786128121.483050	1
056	fe	1786128121.488584	1786128121.607568	1
057	fe	1786128121.613371	1786128121.732551	1
058	fe	1786128121.738449	1786128121.857519	1
059	fe	1786128121.863252	1786128121.982670	1
060	fe	1786128121.988790	1786128122.109984	1
061	fe	1786128122.115765	1786128122.235861	1
062	fe	1786128122.241561	1786128122.360470	1
063	fe	1786128122.366222	1786128122.485833	1
064	fe	1786128122.491482	1786128122.610015	1
065	fe	1786128122.615756	1786128122.734726	1
066	fe	1786128122.740609	1786128122.859021	1
067	fe	1786128122.864659	1786128122.983400	1
068	fe	1786128122.989218	1786128123.108420	1
069	fe	1786128123.114045	1786128123.232817	1
070	fe	1786128123.238655	1786128123.357590	1
071	fe	1786128123.363414	1786128123.482767	1
072	fe	1786128123.488512	1786128123.607390	1
073	fe	1786128123.613200	1786128123.732737	1
