win	group	t_start	t_end	alive_after
000	fe	1786101830.445501	1786101830.598747	1
001	fe	1786101830.604516	1786101830.734060	1
002	fe	1786101830.739986	1786101830.868892	1
003	fe	1786101830.874540	1786101830.993946	1
004	fe	1786101831.000087	1786101831.119197	1
005	fe	1786101831.124788	1786101831.244600	1
006	fe	1786101831.250539	1786101831.369988	1
007	fe	1786101831.375812	1786101831.496641	1
008	fe	1786101831.502873	1786101831.622354	1
009	fe	1786101831.627997	1786101831.762190	1
010	fe	1786101831.768443	1786101831.890621	1
011	fe	1786101831.896492	1786101832.017935	1
012	fe	1786101832.023850	1786101832.143696	1
013	fe	1786101832.149608	1786101832.269221	1
014	fe	1786101832.275435	1786101832.395034	1
015	fe	1786101832.400933	1786101832.520742	1
016	fe	1786101832.526591	1786101832.645821	1
017	fe	1786101832.651813	1786101832.771311	1
018	fe	1786101832.777420	1786101832.909136	1
019	fe	1786101832.914867	1786101833.034947	1
020	fe	1786101833.040949	1786101833.163569	1
021	fe	1786101833.169763	1786101833.290394	1
022	fe	1786101833.296191	1786101833.416960	1
023	fe	1786101833.423070	1786101833.543256	1
024	fe	1786101833.549115	1786101833.668712	1
025	fe	1786101833.674676	1786101833.795587	1
026	fe	1786101833.801926	1786101833.923410	1
027	fe	1786101833.928734	1786101834.048308	1
028	fe	1786101834.054385	1786101834.174625	1
029	fe	1786101834.181068	1786101834.301736	1
030	fe	1786101834.307687	1786101834.428953	1
031	fe	1786101834.434508	1786101834.554686	1
032	fe	1786101834.560450	1786101834.679520	1
033	fe	1786101834.685592	1786101834.805090	1
034	fe	1786101834.810841	1786101834.930714	1
035	fe	1786101834.937453	1786101835.059679	1
036	fe	1786101835.065386	1786101835.187596	1
037	fe	1786101835.193341	1786101835.311947	1
038	fe	1786101835.317621	1786101835.436924	1
039	fe	1786101835.443063	1786101835.563848	1
040	fe	1786101835.569999	1786101835.689591	1
041	fe	1786101835.695507	1786101835.814559	1
042	fe	1786101835.820363	1786101835.942714	1
043	fe	1786101835.948681	1786101836.069897	1
044	fe	1786101836.075854	1786101836.195957	1
045	fe	1786101836.202230	1786101836.322069	1
046	fe	1786101836.328252	1786101836.449919	1
047	fe	1786101836.455742	1786101836.578144	1
048	fe	1786101836.583854	1786101836.704473	1
049	fe	1786101836.710313	1786101836.830898	1
050	fe	1786101836.836680	1786101836.957582	1
051	fe	1786101836.964225	1786101837.086792	1
052	fe	1786101837.092861	1786101837.212825	1
053	fe	1786101837.219040	1786101837.338466	1
054	fe	1786101837.344051	1786101837.464094	1
055	fe	1786101837.470246	1786101837.590337	1
056	fe	1786101837.596453	1786101837.715612	1
057	fe	1786101837.721806	1786101837.841309	1
058	fe	1786101837.847193	1786101837.966762	1
059	fe	1786101837.972745	1786101838.094110	1
060	fe	1786101838.100382	1786101838.220331	1
061	fe	1786101838.226670	1786101838.347135	1
062	fe	1786101838.352922	1786101838.472292	1
063	fe	1786101838.478238	1786101838.597500	1
064	fe	1786101838.603345	1786101838.723676	1
065	fe	1786101838.729528	1786101838.848959	1
066	fe	1786101838.854631	1786101838.975235	1
067	fe	1786101838.981411	1786101839.101752	1
068	fe	1786101839.107454	1786101839.226891	1
069	fe	1786101839.233481	1786101839.353081	1
070	fe	1786101839.359177	1786101839.478657	1
071	fe	1786101839.484542	1786101839.604534	1
072	fe	1786101839.610453	1786101839.730228	1
073	fe	1786101839.736533	1786101839.858171	1
074	fe	1786101839.864474	1786101839.986001	1
075	fe	1786101839.992046	1786101840.111366	1
076	fe	1786101840.117629	1786101840.239204	1
077	fe	1786101840.244903	1786101840.364199	1
078	fe	1786101840.369940	1786101840.490997	1
079	fe	1786101840.496961	1786101840.616538	1
080	fe	1786101840.622384	1786101840.742966	1
081	fe	1786101840.749084	1786101840.871219	1
082	fe	1786101840.877037	1786101840.996437	1
083	fe	1786101841.002473	1786101841.123318	1
084	fe	1786101841.129212	1786101841.248727	1
085	fe	1786101841.254813	1786101841.374269	1
086	fe	1786101841.380527	1786101841.502063	1
087	fe	1786101841.507876	1786101841.628016	1
088	fe	1786101841.633932	1786101841.753516	1
089	fe	1786101841.759419	1786101841.879248	1
090	fe	1786101841.885350	1786101842.005065	1
091	fe	1786101842.010861	1786101842.131065	1
092	fe	1786101842.136913	1786101842.257410	1
093	fe	1786101842.263593	1786101842.382882	1
