win	group	t_start	t_end	alive_after
000	fe_lat	1786103028.887510	1786103029.033833	1
001	fe_lat	1786103029.039171	1786103029.171741	1
002	fe_lat	1786103029.177522	1786103029.307412	1
003	fe_lat	1786103029.313228	1786103029.432915	1
004	fe_lat	1786103029.439146	1786103029.558895	1
005	fe_lat	1786103029.564637	1786103029.686318	1
006	fe_lat	1786103029.692680	1786103029.818174	1
007	fe_lat	1786103029.824391	1786103029.945343	1
008	fe_lat	1786103029.951806	1786103030.072649	1
009	fe_lat	1786103030.078430	1786103030.197247	1
010	fe_lat	1786103030.202919	1786103030.321756	1
011	fe_lat	1786103030.327203	1786103030.446958	1
012	fe_lat	1786103030.452526	1786103030.580230	1
013	fe_lat	1786103030.586779	1786103030.707246	1
014	fe_lat	1786103030.713356	1786103030.832641	1
015	fe_lat	1786103030.838420	1786103030.957801	1
016	fe_lat	1786103030.963799	1786103031.083894	1
017	fe_lat	1786103031.090361	1786103031.210348	1
018	fe_lat	1786103031.216647	1786103031.338995	1
019	fe_lat	1786103031.344887	1786103031.464570	1
020	fe_lat	1786103031.470228	1786103031.592240	1
021	fe_lat	1786103031.598098	1786103031.717911	1
022	fe_lat	1786103031.723844	1786103031.843166	1
023	fe_lat	1786103031.849232	1786103031.968804	1
024	fe_lat	1786103031.974670	1786103032.095870	1
025	fe_lat	1786103032.101742	1786103032.220850	1
026	fe_lat	1786103032.226218	1786103032.347682	1
027	fe_lat	1786103032.353798	1786103032.475645	1
028	fe_lat	1786103032.481791	1786103032.601563	1
029	fe_lat	1786103032.607718	1786103032.731142	1
030	fe_lat	1786103032.737278	1786103032.858592	1
031	fe_lat	1786103032.864442	1786103032.984690	1
032	fe_lat	1786103032.990744	1786103033.110235	1
033	fe_lat	1786103033.116129	1786103033.236169	1
034	fe_lat	1786103033.242121	1786103033.361738	1
035	fe_lat	1786103033.367878	1786103033.489069	1
036	fe_lat	1786103033.495248	1786103033.615482	1
037	fe_lat	1786103033.621245	1786103033.742221	1
038	fe_lat	1786103033.748310	1786103033.868848	1
039	fe_lat	1786103033.875024	1786103033.995365	1
040	fe_lat	1786103034.001116	1786103034.122316	1
041	fe_lat	1786103034.128469	1786103034.247078	1
042	fe_lat	1786103034.252752	1786103034.372708	1
043	fe_lat	1786103034.378639	1786103034.498761	1
044	fe_lat	1786103034.504905	1786103034.624836	1
045	fe_lat	1786103034.633576	1786103034.757561	1
046	fe_lat	1786103034.763639	1786103034.883280	1
047	fe_lat	1786103034.889458	1786103035.010107	1
048	fe_lat	1786103035.016437	1786103035.135765	1
049	fe_lat	1786103035.141719	1786103035.261336	1
050	fe_lat	1786103035.267335	1786103035.386814	1
051	fe_lat	1786103035.392782	1786103035.512764	1
052	fe_lat	1786103035.519315	1786103035.640206	1
053	fe_lat	1786103035.646464	1786103035.766394	1
054	fe_lat	1786103035.772418	1786103035.892326	1
055	fe_lat	1786103035.898339	1786103036.018178	1
056	fe_lat	1786103036.024609	1786103036.146324	1
057	fe_lat	1786103036.152869	1786103036.272335	1
058	fe_lat	1786103036.278435	1786103036.398732	1
059	fe_lat	1786103036.405321	1786103036.525311	1
060	fe_lat	1786103036.531308	1786103036.655225	1
061	fe_lat	1786103036.661214	1786103036.782031	1
062	fe_lat	1786103036.787730	1786103036.909387	1
063	fe_lat	1786103036.915202	1786103037.035238	1
064	fe_lat	1786103037.041478	1786103037.164244	1
065	fe_lat	1786103037.170073	1786103037.290092	1
066	fe_lat	1786103037.295790	1786103037.415451	1
067	fe_lat	1786103037.421246	1786103037.541768	1
068	fe_lat	1786103037.547785	1786103037.669038	1
069	fe_lat	1786103037.675477	1786103037.795660	1
070	fe_lat	1786103037.801589	1786103037.923606	1
071	fe_lat	1786103037.929705	1786103038.050730	1
072	fe_lat	1786103038.056612	1786103038.176562	1
073	fe_lat	1786103038.182884	1786103038.302585	1
074	fe_lat	1786103038.308551	1786103038.430062	1
075	fe_lat	1786103038.435924	1786103038.556010	1
076	fe_lat	1786103038.561890	1786103038.682192	1
077	fe_lat	1786103038.688670	1786103038.810612	1
078	fe_lat	1786103038.816744	1786103038.936808	1
079	fe_lat	1786103038.942613	1786103039.063287	1
080	fe_lat	1786103039.069522	1786103039.189418	1
081	fe_lat	1786103039.195358	1786103039.315758	1
082	fe_lat	1786103039.321665	1786103039.442469	1
083	fe_lat	1786103039.448162	1786103039.567861	1
084	fe_lat	1786103039.573668	1786103039.696083	1
085	fe_lat	1786103039.702184	1786103039.825218	1
086	fe_lat	1786103039.831326	1786103039.951050	1
087	fe_lat	1786103039.956992	1786103040.076566	1
088	fe_lat	1786103040.082509	1786103040.203140	1
089	fe_lat	1786103040.209022	1786103040.329037	1
090	fe_lat	1786103040.335163	1786103040.455435	1
091	fe_lat	1786103040.461152	1786103040.584195	1
092	fe_lat	1786103040.590594	1786103040.710195	1
093	fe_lat	1786103040.716442	1786103040.837496	1
094	fe_lat	1786103040.844030	1786103040.964757	1
095	fe_lat	1786103040.970697	1786103041.090379	1
096	fe_lat	1786103041.096439	1786103041.215700	1
097	fe_lat	1786103041.221477	1786103041.341108	1
098	fe_lat	1786103041.346861	1786103041.466862	1
099	fe_lat	1786103041.472968	1786103041.599080	1
100	fe_lat	1786103041.605207	1786103041.725211	1
101	fe_lat	1786103041.731269	1786103041.851780	1
102	fe_lat	1786103041.857724	1786103041.979812	1
103	fe_lat	1786103041.985249	1786103042.106101	1
104	fe_lat	1786103042.112015	1786103042.233009	1
105	fe_lat	1786103042.238893	1786103042.358643	1
106	fe_lat	1786103042.364569	1786103042.485737	1
107	fe_lat	1786103042.491981	1786103042.614292	1
108	fe_lat	1786103042.620800	1786103042.743042	1
109	fe_lat	1786103042.749065	1786103042.869033	1
110	fe_lat	1786103042.875393	1786103042.997561	1
111	fe_lat	1786103043.003374	1786103043.123192	1
112	fe_lat	1786103043.129319	1786103043.248832	1
113	fe_lat	1786103043.254666	1786103043.374750	1
114	fe_lat	1786103043.381115	1786103043.503418	1
115	fe_lat	1786103043.509440	1786103043.629177	1
116	fe_lat	1786103043.635343	1786103043.758477	1
117	fe_lat	1786103043.764363	1786103043.885617	1
118	fe_lat	1786103043.891914	1786103044.011189	1
119	fe_lat	1786103044.017679	1786103044.139921	1
120	fe_lat	1786103044.146171	1786103044.265775	1
121	fe_lat	1786103044.271981	1786103044.391987	1
122	fe_lat	1786103044.398021	1786103044.519503	1
123	fe_lat	1786103044.525517	1786103044.646278	1
124	fe_lat	1786103044.652743	1786103044.773231	1
125	fe_lat	1786103044.779678	1786103044.900108	1
126	fe_lat	1786103044.906180	1786103045.027029	1
127	fe_lat	1786103045.033066	1786103045.153558	1
128	fe_lat	1786103045.159330	1786103045.279004	1
129	fe_lat	1786103045.284848	1786103045.404407	1
130	fe_lat	1786103045.410288	1786103045.529979	1
131	fe_lat	1786103045.536667	1786103045.661531	1
132	fe_lat	1786103045.667511	1786103045.788213	1
133	fe_lat	1786103045.794033	1786103045.913312	1
134	fe_lat	1786103045.918939	1786103046.039192	1
135	fe_lat	1786103046.044868	1786103046.166504	1
136	fe_lat	1786103046.172221	1786103046.291769	1
137	fe_lat	1786103046.297515	1786103046.417237	1
138	fe_lat	1786103046.423439	1786103046.544206	1
139	fe_lat	1786103046.550444	1786103046.670791	1
140	fe_lat	1786103046.676831	1786103046.796018	1
141	fe_lat	1786103046.802031	1786103046.925254	1
142	fe_lat	1786103046.931392	1786103047.058998	1
143	fe_lat	1786103047.064952	1786103047.184866	1
144	fe_lat	1786103047.190659	1786103047.310753	1
145	fe_lat	1786103047.316642	1786103047.436885	1
146	fe_lat	1786103047.442642	1786103047.561535	1
147	fe_lat	1786103047.567620	1786103047.691432	1
148	fe_lat	1786103047.697563	1786103047.817011	1
149	fe_lat	1786103047.823069	1786103047.944310	1
150	fe_lat	1786103047.950147	1786103048.070117	1
151	fe_lat	1786103048.075987	1786103048.196631	1
152	fe_lat	1786103048.202933	1786103048.322864	1
153	fe_lat	1786103048.328859	1786103048.448365	1
154	fe_lat	1786103048.454123	1786103048.573515	1
155	fe_lat	1786103048.579428	1786103048.707251	1
