win	group	t_start	t_end	alive_after
000	priv	1786121709.562193	1786121709.720826	1
001	priv	1786121709.726472	1786121709.852869	1
002	priv	1786121709.859008	1786121709.988796	1
003	priv	1786121709.994524	1786121710.111088	1
004	priv	1786121710.116588	1786121710.232920	1
005	priv	1786121710.238511	1786121710.355028	1
006	priv	1786121710.360714	1786121710.477584	1
007	priv	1786121710.483109	1786121710.600530	1
008	priv	1786121710.606133	1786121710.722533	1
009	priv	1786121710.728296	1786121710.844589	1
010	priv	1786121710.850163	1786121710.966600	1
011	priv	1786121710.972528	1786121711.090269	1
012	priv	1786121711.096069	1786121711.212557	1
013	priv	1786121711.218142	1786121711.334408	1
014	priv	1786121711.339853	1786121711.455827	1
015	priv	1786121711.461610	1786121711.583455	1
016	priv	1786121711.588836	1786121711.705724	1
017	priv	1786121711.711221	1786121711.827481	1
018	priv	1786121711.833202	1786121711.949390	1
019	priv	1786121711.955066	1786121712.071438	1
020	priv	1786121712.077076	1786121712.193677	1
021	priv	1786121712.199422	1786121712.316222	1
022	priv	1786121712.322219	1786121712.439236	1
023	priv	1786121712.444785	1786121712.561122	1
024	priv	1786121712.566931	1786121712.682901	1
025	priv	1786121712.688347	1786121712.805349	1
026	priv	1786121712.810982	1786121712.927633	1
027	priv	1786121712.933800	1786121713.050450	1
028	priv	1786121713.056161	1786121713.172727	1
029	priv	1786121713.178146	1786121713.294496	1
030	priv	1786121713.300183	1786121713.416765	1
031	priv	1786121713.422304	1786121713.538826	1
032	priv	1786121713.544724	1786121713.660858	1
033	priv	1786121713.666410	1786121713.782573	1
034	priv	1786121713.788201	1786121713.904519	1
035	priv	1786121713.910074	1786121714.028883	1
036	priv	1786121714.034569	1786121714.151075	1
037	priv	1786121714.156928	1786121714.273367	1
038	priv	1786121714.279020	1786121714.395447	1
039	priv	1786121714.401128	1786121714.517058	1
040	priv	1786121714.522740	1786121714.638934	1
041	priv	1786121714.644723	1786121714.761139	1
042	priv	1786121714.766923	1786121714.883532	1
043	priv	1786121714.889297	1786121715.005736	1
044	priv	1786121715.011445	1786121715.128093	1
045	priv	1786121715.133825	1786121715.250014	1
046	priv	1786121715.255660	1786121715.371765	1
047	priv	1786121715.377436	1786121715.494433	1
048	priv	1786121715.500040	1786121715.616424	1
049	priv	1786121715.622006	1786121715.738296	1
050	priv	1786121715.744088	1786121715.860601	1
051	priv	1786121715.866331	1786121715.982721	1
052	priv	1786121715.988452	1786121716.104953	1
053	priv	1786121716.110651	1786121716.228265	1
054	priv	1786121716.233945	1786121716.350388	1
055	priv	1786121716.356035	1786121716.472648	1
056	priv	1786121716.478199	1786121716.594733	1
057	priv	1786121716.600539	1786121716.716688	1
058	priv	1786121716.722192	1786121716.838851	1
059	priv	1786121716.844454	1786121716.961322	1
060	priv	1786121716.967253	1786121717.085169	1
061	priv	1786121717.091056	1786121717.207676	1
062	priv	1786121717.213308	1786121717.329802	1
