win	group	t_start	t_end	alive_after
000	priv	1786123995.409658	1786123995.545631	1
001	priv	1786123995.551335	1786123995.678954	1
002	priv	1786123995.684665	1786123995.813563	1
003	priv	1786123995.819713	1786123995.937743	1
004	priv	1786123995.943406	1786123996.060272	1
005	priv	1786123996.065937	1786123996.182271	1
006	priv	1786123996.188151	1786123996.304331	1
007	priv	1786123996.309954	1786123996.426376	1
008	priv	1786123996.432483	1786123996.549384	1
009	priv	1786123996.554654	1786123996.671201	1
010	priv	1786123996.676965	1786123996.793409	1
011	priv	1786123996.798838	1786123996.915620	1
012	priv	1786123996.921559	1786123997.038720	1
013	priv	1786123997.045053	1786123997.162243	1
014	priv	1786123997.168215	1786123997.285256	1
015	priv	1786123997.291051	1786123997.407797	1
016	priv	1786123997.413657	1786123997.530270	1
017	priv	1786123997.537592	1786123997.655765	1
018	priv	1786123997.662023	1786123997.780199	1
019	priv	1786123997.785926	1786123997.903083	1
020	priv	1786123997.908982	1786123998.026032	1
021	priv	1786123998.031843	1786123998.148532	1
022	priv	1786123998.154148	1786123998.270983	1
023	priv	1786123998.276674	1786123998.393133	1
024	priv	1786123998.398881	1786123998.515315	1
025	priv	1786123998.520951	1786123998.637834	1
026	priv	1786123998.643916	1786123998.760600	1
027	priv	1786123998.766433	1786123998.884505	1
028	priv	1786123998.890421	1786123999.007620	1
029	priv	1786123999.013485	1786123999.130341	1
030	priv	1786123999.136083	1786123999.252629	1
031	priv	1786123999.258326	1786123999.374883	1
032	priv	1786123999.380302	1786123999.497084	1
033	priv	1786123999.502838	1786123999.619373	1
034	priv	1786123999.625190	1786123999.742037	1
035	priv	1786123999.747787	1786123999.864432	1
036	priv	1786123999.870385	1786123999.987998	1
037	priv	1786123999.993798	1786124000.110985	1
038	priv	1786124000.116796	1786124000.233466	1
039	priv	1786124000.239092	1786124000.356291	1
040	priv	1786124000.362066	1786124000.479128	1
041	priv	1786124000.484926	1786124000.601621	1
042	priv	1786124000.607268	1786124000.725564	1
043	priv	1786124000.731415	1786124000.848232	1
044	priv	1786124000.854076	1786124000.971658	1
045	priv	1786124000.977644	1786124001.094582	1
046	priv	1786124001.100507	1786124001.217323	1
047	priv	1786124001.222938	1786124001.342012	1
048	priv	1786124001.347494	1786124001.464180	1
049	priv	1786124001.469783	1786124001.586564	1
050	priv	1786124001.592153	1786124001.709000	1
051	priv	1786124001.714997	1786124001.832049	1
052	priv	1786124001.838059	1786124001.957309	1
053	priv	1786124001.962919	1786124002.079712	1
054	priv	1786124002.085441	1786124002.202320	1
055	priv	1786124002.208224	1786124002.325084	1
056	priv	1786124002.330526	1786124002.447888	1
057	priv	1786124002.453773	1786124002.570628	1
058	priv	1786124002.576294	1786124002.692951	1
059	priv	1786124002.698473	1786124002.815059	1
060	priv	1786124002.821160	1786124002.938107	1
061	priv	1786124002.943855	1786124003.061898	1
062	priv	1786124003.067617	1786124003.185412	1
063	priv	1786124003.191465	1786124003.308096	1
064	priv	1786124003.313780	1786124003.430706	1
065	priv	1786124003.436659	1786124003.553534	1
066	priv	1786124003.559298	1786124003.677153	1
067	priv	1786124003.683472	1786124003.800619	1
068	priv	1786124003.806653	1786124003.923981	1
069	priv	1786124003.929567	1786124004.046713	1
070	priv	1786124004.052850	1786124004.169713	1
071	priv	1786124004.175636	1786124004.292166	1
072	priv	1786124004.298000	1786124004.414982	1
073	priv	1786124004.420800	1786124004.537504	1
074	priv	1786124004.543145	1786124004.659942	1
075	priv	1786124004.666193	1786124004.783014	1
076	priv	1786124004.788704	1786124004.905636	1
077	priv	1786124004.911542	1786124005.028705	1
078	priv	1786124005.034454	1786124005.151140	1
