win	group	t_start	t_end	alive_after
000	priv	1786126965.452847	1786126965.596861	1
001	priv	1786126965.602390	1786126965.729491	1
002	priv	1786126965.735009	1786126965.861195	1
003	priv	1786126965.867222	1786126965.984284	1
004	priv	1786126965.989934	1786126966.113589	1
005	priv	1786126966.119299	1786126966.235401	1
006	priv	1786126966.241242	1786126966.357571	1
007	priv	1786126966.363172	1786126966.479683	1
008	priv	1786126966.485366	1786126966.602516	1
009	priv	1786126966.608173	1786126966.724300	1
010	priv	1786126966.730265	1786126966.846792	1
011	priv	1786126966.852874	1786126966.970181	1
012	priv	1786126966.975769	1786126967.092879	1
013	priv	1786126967.098894	1786126967.216915	1
014	priv	1786126967.222722	1786126967.339391	1
015	priv	1786126967.345023	1786126967.461236	1
016	priv	1786126967.466941	1786126967.583450	1
017	priv	1786126967.589014	1786126967.705999	1
018	priv	1786126967.711435	1786126967.828321	1
019	priv	1786126967.834336	1786126967.951152	1
020	priv	1786126967.956884	1786126968.073502	1
021	priv	1786126968.079236	1786126968.195975	1
022	priv	1786126968.201502	1786126968.319922	1
023	priv	1786126968.325583	1786126968.442182	1
024	priv	1786126968.448062	1786126968.564318	1
025	priv	1786126968.570009	1786126968.686496	1
026	priv	1786126968.692011	1786126968.808622	1
027	priv	1786126968.814412	1786126968.932943	1
028	priv	1786126968.938781	1786126969.055232	1
029	priv	1786126969.060751	1786126969.177675	1
030	priv	1786126969.183515	1786126969.300429	1
031	priv	1786126969.305958	1786126969.422650	1
032	priv	1786126969.428423	1786126969.547043	1
033	priv	1786126969.552974	1786126969.670268	1
034	priv	1786126969.676001	1786126969.792366	1
035	priv	1786126969.798127	1786126969.914578	1
036	priv	1786126969.920327	1786126970.037527	1
037	priv	1786126970.043178	1786126970.160407	1
038	priv	1786126970.166079	1786126970.282632	1
039	priv	1786126970.288448	1786126970.405227	1
040	priv	1786126970.411002	1786126970.527509	1
041	priv	1786126970.533374	1786126970.650638	1
042	priv	1786126970.656417	1786126970.774098	1
043	priv	1786126970.779986	1786126970.896349	1
044	priv	1786126970.902190	1786126971.018542	1
045	priv	1786126971.024181	1786126971.140558	1
046	priv	1786126971.146366	1786126971.263030	1
047	priv	1786126971.268476	1786126971.387662	1
048	priv	1786126971.393587	1786126971.511733	1
049	priv	1786126971.517741	1786126971.634297	1
050	priv	1786126971.639884	1786126971.756287	1
051	priv	1786126971.762024	1786126971.878770	1
052	priv	1786126971.884810	1786126972.001824	1
053	priv	1786126972.007686	1786126972.124221	1
054	priv	1786126972.130156	1786126972.246628	1
055	priv	1786126972.252348	1786126972.368891	1
056	priv	1786126972.374769	1786126972.491904	1
057	priv	1786126972.497687	1786126972.614571	1
058	priv	1786126972.620133	1786126972.736656	1
059	priv	1786126972.742437	1786126972.860814	1
060	priv	1786126972.866624	1786126972.982722	1
061	priv	1786126972.988623	1786126973.105080	1
062	priv	1786126973.110804	1786126973.227956	1
063	priv	1786126973.233899	1786126973.350883	1
064	priv	1786126973.356651	1786126973.473186	1
065	priv	1786126973.478960	1786126973.595512	1
066	priv	1786126973.601110	1786126973.717831	1
067	priv	1786126973.723712	1786126973.841129	1
068	priv	1786126973.846817	1786126973.963782	1
069	priv	1786126973.969777	1786126974.086355	1
