win	group	t_start	t_end	alive_after
000	mlp	1786132931.874349	1786132932.026864	1
001	mlp	1786132932.032734	1786132932.161681	1
002	mlp	1786132932.167649	1786132932.293729	1
003	mlp	1786132932.299592	1786132932.417096	1
004	mlp	1786132932.422711	1786132932.540155	1
005	mlp	1786132932.545754	1786132932.662660	1
006	mlp	1786132932.668308	1786132932.785096	1
007	mlp	1786132932.790969	1786132932.910117	1
008	mlp	1786132932.915687	1786132933.032481	1
009	mlp	1786132933.038259	1786132933.155031	1
010	mlp	1786132933.160657	1786132933.277562	1
011	mlp	1786132933.283072	1786132933.400228	1
012	mlp	1786132933.406109	1786132933.522869	1
013	mlp	1786132933.528288	1786132933.644983	1
014	mlp	1786132933.650770	1786132933.767538	1
015	mlp	1786132933.773267	1786132933.891028	1
016	mlp	1786132933.896391	1786132934.013983	1
017	mlp	1786132934.019948	1786132934.136743	1
018	mlp	1786132934.142290	1786132934.258766	1
019	mlp	1786132934.264275	1786132934.381361	1
020	mlp	1786132934.387050	1786132934.504611	1
021	mlp	1786132934.510324	1786132934.627547	1
022	mlp	1786132934.633305	1786132934.750725	1
023	mlp	1786132934.756555	1786132934.873795	1
024	mlp	1786132934.879545	1786132934.997073	1
025	mlp	1786132935.002911	1786132935.121399	1
026	mlp	1786132935.127103	1786132935.245569	1
027	mlp	1786132935.251389	1786132935.368305	1
028	mlp	1786132935.374206	1786132935.491515	1
029	mlp	1786132935.497216	1786132935.614209	1
030	mlp	1786132935.619962	1786132935.737104	1
031	mlp	1786132935.742807	1786132935.861229	1
032	mlp	1786132935.866776	1786132935.984101	1
033	mlp	1786132935.989401	1786132936.106708	1
034	mlp	1786132936.112532	1786132936.229717	1
035	mlp	1786132936.235615	1786132936.352440	1
036	mlp	1786132936.358213	1786132936.475436	1
037	mlp	1786132936.481034	1786132936.598435	1
038	mlp	1786132936.604334	1786132936.721339	1
039	mlp	1786132936.726922	1786132936.843907	1
040	mlp	1786132936.850141	1786132936.967459	1
041	mlp	1786132936.973500	1786132937.091528	1
042	mlp	1786132937.097245	1786132937.214311	1
043	mlp	1786132937.219681	1786132937.336741	1
044	mlp	1786132937.342334	1786132937.459968	1
045	mlp	1786132937.465549	1786132937.582454	1
046	mlp	1786132937.588036	1786132937.705636	1
047	mlp	1786132937.711585	1786132937.828381	1
048	mlp	1786132937.833975	1786132937.950884	1
049	mlp	1786132937.956924	1786132938.074167	1
050	mlp	1786132938.079724	1786132938.196963	1
051	mlp	1786132938.203074	1786132938.320220	1
052	mlp	1786132938.326016	1786132938.443126	1
053	mlp	1786132938.448954	1786132938.566129	1
054	mlp	1786132938.572119	1786132938.689296	1
055	mlp	1786132938.695171	1786132938.812134	1
056	mlp	1786132938.818397	1786132938.935511	1
057	mlp	1786132938.940985	1786132939.059087	1
058	mlp	1786132939.064876	1786132939.182074	1
059	mlp	1786132939.187904	1786132939.305865	1
060	mlp	1786132939.311754	1786132939.428826	1
061	mlp	1786132939.434919	1786132939.552249	1
062	mlp	1786132939.558136	1786132939.675328	1
063	mlp	1786132939.680845	1786132939.798313	1
064	mlp	1786132939.804246	1786132939.921533	1
065	mlp	1786132939.927416	1786132940.045275	1
066	mlp	1786132940.051285	1786132940.168729	1
067	mlp	1786132940.174683	1786132940.291496	1
068	mlp	1786132940.297648	1786132940.415179	1
069	mlp	1786132940.421048	1786132940.538960	1
070	mlp	1786132940.544907	1786132940.663722	1
071	mlp	1786132940.669266	1786132940.786534	1
072	mlp	1786132940.792189	1786132940.909553	1
073	mlp	1786132940.915312	1786132941.032693	1
074	mlp	1786132941.038588	1786132941.156535	1
075	mlp	1786132941.162236	1786132941.279813	1
076	mlp	1786132941.285615	1786132941.402820	1
077	mlp	1786132941.408413	1786132941.525687	1
078	mlp	1786132941.531628	1786132941.648760	1
