win	group	t_start	t_end	alive_after
000	mlp	1786120013.238716	1786120013.393875	1
001	mlp	1786120013.399719	1786120013.531804	1
002	mlp	1786120013.537306	1786120013.663194	1
003	mlp	1786120013.668492	1786120013.785133	1
004	mlp	1786120013.790592	1786120013.907832	1
005	mlp	1786120013.913294	1786120014.030086	1
006	mlp	1786120014.035665	1786120014.152229	1
007	mlp	1786120014.157941	1786120014.274600	1
008	mlp	1786120014.280217	1786120014.397138	1
009	mlp	1786120014.402659	1786120014.519757	1
010	mlp	1786120014.525549	1786120014.642639	1
011	mlp	1786120014.648198	1786120014.764837	1
012	mlp	1786120014.771166	1786120014.888023	1
013	mlp	1786120014.893609	1786120015.010180	1
014	mlp	1786120015.015738	1786120015.132578	1
015	mlp	1786120015.138348	1786120015.255081	1
016	mlp	1786120015.260726	1786120015.378219	1
017	mlp	1786120015.384091	1786120015.501532	1
018	mlp	1786120015.507337	1786120015.624938	1
019	mlp	1786120015.630628	1786120015.747829	1
020	mlp	1786120015.753638	1786120015.871804	1
021	mlp	1786120015.877507	1786120015.995142	1
022	mlp	1786120016.001066	1786120016.118360	1
023	mlp	1786120016.123920	1786120016.241067	1
024	mlp	1786120016.246874	1786120016.363957	1
025	mlp	1786120016.369714	1786120016.487039	1
026	mlp	1786120016.492668	1786120016.609744	1
027	mlp	1786120016.615526	1786120016.732315	1
028	mlp	1786120016.737883	1786120016.855112	1
029	mlp	1786120016.860645	1786120016.977382	1
030	mlp	1786120016.982742	1786120017.100173	1
031	mlp	1786120017.105777	1786120017.223940	1
032	mlp	1786120017.229830	1786120017.346814	1
033	mlp	1786120017.352353	1786120017.469686	1
034	mlp	1786120017.475514	1786120017.592843	1
035	mlp	1786120017.598560	1786120017.715868	1
036	mlp	1786120017.721451	1786120017.840361	1
037	mlp	1786120017.845778	1786120017.962817	1
038	mlp	1786120017.968126	1786120018.085168	1
039	mlp	1786120018.090795	1786120018.208173	1
040	mlp	1786120018.213743	1786120018.331388	1
041	mlp	1786120018.336840	1786120018.454345	1
042	mlp	1786120018.459691	1786120018.577175	1
043	mlp	1786120018.582679	1786120018.699621	1
044	mlp	1786120018.705345	1786120018.822440	1
045	mlp	1786120018.828089	1786120018.945267	1
046	mlp	1786120018.950962	1786120019.068607	1
047	mlp	1786120019.074113	1786120019.191522	1
048	mlp	1786120019.197178	1786120019.314681	1
049	mlp	1786120019.320353	1786120019.439787	1
050	mlp	1786120019.445835	1786120019.563663	1
051	mlp	1786120019.569262	1786120019.687076	1
052	mlp	1786120019.692940	1786120019.810649	1
053	mlp	1786120019.816371	1786120019.933135	1
054	mlp	1786120019.938866	1786120020.056150	1
055	mlp	1786120020.061730	1786120020.179120	1
056	mlp	1786120020.185256	1786120020.302847	1
057	mlp	1786120020.308592	1786120020.426578	1
058	mlp	1786120020.432176	1786120020.549935	1
059	mlp	1786120020.555530	1786120020.673111	1
060	mlp	1786120020.678959	1786120020.797105	1
061	mlp	1786120020.802944	1786120020.920067	1
062	mlp	1786120020.925750	1786120021.042997	1
063	mlp	1786120021.049043	1786120021.166019	1
064	mlp	1786120021.171540	1786120021.289247	1
065	mlp	1786120021.295135	1786120021.415112	1
066	mlp	1786120021.421124	1786120021.538667	1
067	mlp	1786120021.544392	1786120021.661965	1
068	mlp	1786120021.667726	1786120021.785326	1
069	mlp	1786120021.791206	1786120021.909271	1
070	mlp	1786120021.915268	1786120022.033631	1
071	mlp	1786120022.039598	1786120022.158159	1
072	mlp	1786120022.164127	1786120022.281227	1
073	mlp	1786120022.287009	1786120022.403826	1
074	mlp	1786120022.409597	1786120022.527009	1
075	mlp	1786120022.532888	1786120022.650013	1
076	mlp	1786120022.656137	1786120022.773223	1
077	mlp	1786120022.778687	1786120022.895740	1
078	mlp	1786120022.901467	1786120023.018476	1
079	mlp	1786120023.024090	1786120023.141416	1
080	mlp	1786120023.147507	1786120023.264748	1
081	mlp	1786120023.270417	1786120023.387324	1
082	mlp	1786120023.393029	1786120023.509748	1
083	mlp	1786120023.515227	1786120023.631771	1
084	mlp	1786120023.637758	1786120023.754221	1
085	mlp	1786120023.760079	1786120023.878203	1
086	mlp	1786120023.883678	1786120024.000881	1
087	mlp	1786120024.006752	1786120024.124693	1
088	mlp	1786120024.130559	1786120024.247911	1
089	mlp	1786120024.253614	1786120024.371259	1
090	mlp	1786120024.377157	1786120024.494492	1
091	mlp	1786120024.500279	1786120024.617606	1
092	mlp	1786120024.623238	1786120024.740207	1
093	mlp	1786120024.745973	1786120024.863278	1
094	mlp	1786120024.868920	1786120024.986352	1
095	mlp	1786120024.992128	1786120025.109684	1
096	mlp	1786120025.115335	1786120025.232485	1
097	mlp	1786120025.238315	1786120025.355564	1
098	mlp	1786120025.361296	1786120025.478602	1
099	mlp	1786120025.484544	1786120025.604761	1
100	mlp	1786120025.610430	1786120025.727821	1
101	mlp	1786120025.733598	1786120025.851199	1
102	mlp	1786120025.856997	1786120025.975150	1
103	mlp	1786120025.981189	1786120026.099144	1
104	mlp	1786120026.105296	1786120026.223186	1
105	mlp	1786120026.229280	1786120026.346990	1
106	mlp	1786120026.353174	1786120026.471286	1
107	mlp	1786120026.477015	1786120026.593752	1
108	mlp	1786120026.599377	1786120026.716901	1
109	mlp	1786120026.723229	1786120026.840852	1
110	mlp	1786120026.846395	1786120026.963428	1
111	mlp	1786120026.969006	1786120027.086231	1
112	mlp	1786120027.092021	1786120027.209163	1
113	mlp	1786120027.214732	1786120027.333168	1
114	mlp	1786120027.339079	1786120027.456604	1
115	mlp	1786120027.462315	1786120027.579442	1
116	mlp	1786120027.585087	1786120027.702195	1
117	mlp	1786120027.707955	1786120027.825023	1
118	mlp	1786120027.830617	1786120027.948214	1
119	mlp	1786120027.953949	1786120028.071962	1
120	mlp	1786120028.077793	1786120028.194768	1
121	mlp	1786120028.200448	1786120028.317482	1
122	mlp	1786120028.323202	1786120028.441615	1
123	mlp	1786120028.447454	1786120028.565486	1
124	mlp	1786120028.571677	1786120028.689074	1
125	mlp	1786120028.694876	1786120028.811937	1
126	mlp	1786120028.817571	1786120028.935364	1
127	mlp	1786120028.941610	1786120029.060326	1
128	mlp	1786120029.066091	1786120029.184375	1
129	mlp	1786120029.189973	1786120029.307276	1
130	mlp	1786120029.312903	1786120029.429890	1
131	mlp	1786120029.435516	1786120029.552939	1
132	mlp	1786120029.558761	1786120029.675605	1
133	mlp	1786120029.681375	1786120029.798685	1
134	mlp	1786120029.804638	1786120029.921926	1
135	mlp	1786120029.927459	1786120030.044413	1
136	mlp	1786120030.050072	1786120030.167131	1
137	mlp	1786120030.172999	1786120030.291250	1
138	mlp	1786120030.297516	1786120030.415391	1
139	mlp	1786120030.421477	1786120030.539243	1
140	mlp	1786120030.545162	1786120030.662598	1
141	mlp	1786120030.668426	1786120030.786279	1
142	mlp	1786120030.792349	1786120030.911527	1
143	mlp	1786120030.917455	1786120031.034922	1
144	mlp	1786120031.040644	1786120031.158905	1
145	mlp	1786120031.164947	1786120031.282070	1
146	mlp	1786120031.287778	1786120031.405710	1
147	mlp	1786120031.411904	1786120031.530813	1
148	mlp	1786120031.536337	1786120031.654049	1
149	mlp	1786120031.659990	1786120031.777441	1
150	mlp	1786120031.782983	1786120031.900467	1
151	mlp	1786120031.906445	1786120032.024816	1
152	mlp	1786120032.030755	1786120032.148790	1
153	mlp	1786120032.154547	1786120032.272213	1
154	mlp	1786120032.278043	1786120032.394964	1
155	mlp	1786120032.400595	1786120032.517668	1
156	mlp	1786120032.523500	1786120032.642854	1
157	mlp	1786120032.648919	1786120032.766619	1
158	mlp	1786120032.772519	1786120032.890039	1
159	mlp	1786120032.895910	1786120033.013460	1
160	mlp	1786120033.019084	1786120033.136655	1
161	mlp	1786120033.142582	1786120033.261293	1
162	mlp	1786120033.267098	1786120033.385017	1
163	mlp	1786120033.390809	1786120033.508734	1
164	mlp	1786120033.514143	1786120033.631945	1
165	mlp	1786120033.638076	1786120033.755953	1
166	mlp	1786120033.761688	1786120033.881467	1
167	mlp	1786120033.887132	1786120034.004364	1
168	mlp	1786120034.010054	1786120034.127295	1
169	mlp	1786120034.132999	1786120034.250460	1
170	mlp	1786120034.256430	1786120034.374227	1
171	mlp	1786120034.380205	1786120034.498029	1
172	mlp	1786120034.503671	1786120034.621149	1
173	mlp	1786120034.626987	1786120034.744718	1
174	mlp	1786120034.750584	1786120034.868072	1
175	mlp	1786120034.873541	1786120034.991422	1
176	mlp	1786120034.997090	1786120035.114840	1
177	mlp	1786120035.120730	1786120035.238390	1
178	mlp	1786120035.244449	1786120035.362243	1
179	mlp	1786120035.368286	1786120035.485978	1
180	mlp	1786120035.491937	1786120035.610032	1
181	mlp	1786120035.616081	1786120035.733798	1
182	mlp	1786120035.739644	1786120035.857047	1
183	mlp	1786120035.862614	1786120035.980992	1
184	mlp	1786120035.986912	1786120036.104650	1
185	mlp	1786120036.110304	1786120036.229325	1
186	mlp	1786120036.235293	1786120036.353047	1
187	mlp	1786120036.359115	1786120036.476798	1
188	mlp	1786120036.482554	1786120036.600374	1
189	mlp	1786120036.606588	1786120036.724419	1
190	mlp	1786120036.730343	1786120036.848809	1
191	mlp	1786120036.854709	1786120036.972829	1
192	mlp	1786120036.978771	1786120037.095785	1
193	mlp	1786120037.101438	1786120037.220103	1
194	mlp	1786120037.225958	1786120037.343332	1
195	mlp	1786120037.349884	1786120037.467199	1
196	mlp	1786120037.473119	1786120037.590515	1
197	mlp	1786120037.596231	1786120037.714013	1
198	mlp	1786120037.720031	1786120037.837884	1
199	mlp	1786120037.843738	1786120037.961887	1
200	mlp	1786120037.968026	1786120038.085478	1
201	mlp	1786120038.091186	1786120038.209288	1
202	mlp	1786120038.214948	1786120038.333283	1
203	mlp	1786120038.339655	1786120038.457529	1
204	mlp	1786120038.463416	1786120038.582014	1
205	mlp	1786120038.587691	1786120038.705216	1
206	mlp	1786120038.711243	1786120038.828764	1
207	mlp	1786120038.834482	1786120038.952073	1
208	mlp	1786120038.957600	1786120039.075708	1
209	mlp	1786120039.081625	1786120039.199790	1
210	mlp	1786120039.205270	1786120039.322845	1
211	mlp	1786120039.328609	1786120039.446798	1
212	mlp	1786120039.452896	1786120039.570740	1
213	mlp	1786120039.576596	1786120039.694673	1
214	mlp	1786120039.700669	1786120039.818340	1
215	mlp	1786120039.824179	1786120039.942333	1
216	mlp	1786120039.948189	1786120040.065545	1
217	mlp	1786120040.071303	1786120040.189015	1
218	mlp	1786120040.194858	1786120040.312367	1
219	mlp	1786120040.318760	1786120040.436538	1
220	mlp	1786120040.442344	1786120040.559921	1
221	mlp	1786120040.565515	1786120040.683058	1
222	mlp	1786120040.688980	1786120040.806462	1
223	mlp	1786120040.812169	1786120040.930895	1
224	mlp	1786120040.936622	1786120041.054210	1
225	mlp	1786120041.060043	1786120041.177606	1
226	mlp	1786120041.183192	1786120041.300748	1
227	mlp	1786120041.306657	1786120041.426685	1
228	mlp	1786120041.432465	1786120041.550557	1
229	mlp	1786120041.556156	1786120041.673672	1
230	mlp	1786120041.679496	1786120041.798804	1
231	mlp	1786120041.804444	1786120041.922348	1
232	mlp	1786120041.928386	1786120042.045702	1
233	mlp	1786120042.051728	1786120042.169271	1
234	mlp	1786120042.175273	1786120042.293354	1
235	mlp	1786120042.299301	1786120042.416700	1
236	mlp	1786120042.422907	1786120042.540773	1
237	mlp	1786120042.546454	1786120042.664210	1
238	mlp	1786120042.670497	1786120042.788363	1
239	mlp	1786120042.794072	1786120042.912794	1
240	mlp	1786120042.918661	1786120043.036333	1
241	mlp	1786120043.042091	1786120043.160195	1
242	mlp	1786120043.166112	1786120043.285394	1
243	mlp	1786120043.291131	1786120043.411805	1
244	mlp	1786120043.417669	1786120043.535734	1
245	mlp	1786120043.541410	1786120043.659940	1
246	mlp	1786120043.665939	1786120043.783953	1
247	mlp	1786120043.790080	1786120043.907800	1
248	mlp	1786120043.913406	1786120044.030707	1
249	mlp	1786120044.036265	1786120044.154085	1
250	mlp	1786120044.159973	1786120044.278317	1
251	mlp	1786120044.284224	1786120044.402024	1
252	mlp	1786120044.408164	1786120044.526197	1
253	mlp	1786120044.531862	1786120044.650062	1
254	mlp	1786120044.656069	1786120044.773967	1
255	mlp	1786120044.780028	1786120044.897859	1
256	mlp	1786120044.903840	1786120045.023286	1
257	mlp	1786120045.028760	1786120045.146219	1
258	mlp	1786120045.152017	1786120045.269483	1
259	mlp	1786120045.275135	1786120045.392767	1
260	mlp	1786120045.398705	1786120045.516315	1
261	mlp	1786120045.522349	1786120045.640236	1
262	mlp	1786120045.646128	1786120045.763966	1
263	mlp	1786120045.770051	1786120045.887513	1
264	mlp	1786120045.893132	1786120046.010536	1
265	mlp	1786120046.016184	1786120046.134640	1
266	mlp	1786120046.140679	1786120046.258075	1
267	mlp	1786120046.263641	1786120046.381100	1
268	mlp	1786120046.386790	1786120046.504322	1
269	mlp	1786120046.510167	1786120046.628507	1
270	mlp	1786120046.634303	1786120046.751795	1
271	mlp	1786120046.757887	1786120046.876626	1
272	mlp	1786120046.882730	1786120047.000441	1
273	mlp	1786120047.006255	1786120047.123763	1
274	mlp	1786120047.129688	1786120047.247136	1
275	mlp	1786120047.252813	1786120047.372514	1
276	mlp	1786120047.378162	1786120047.496234	1
277	mlp	1786120047.502005	1786120047.619716	1
278	mlp	1786120047.625602	1786120047.743643	1
279	mlp	1786120047.749374	1786120047.867518	1
280	mlp	1786120047.873578	1786120047.992928	1
281	mlp	1786120047.998744	1786120048.116192	1
282	mlp	1786120048.121942	1786120048.239838	1
283	mlp	1786120048.245926	1786120048.362875	1
284	mlp	1786120048.368679	1786120048.486247	1
285	mlp	1786120048.492091	1786120048.609521	1
286	mlp	1786120048.614993	1786120048.732447	1
287	mlp	1786120048.738060	1786120048.855750	1
288	mlp	1786120048.861539	1786120048.979268	1
289	mlp	1786120048.985147	1786120049.102734	1
290	mlp	1786120049.108893	1786120049.226307	1
291	mlp	1786120049.232221	1786120049.350383	1
292	mlp	1786120049.356293	1786120049.474245	1
293	mlp	1786120049.480402	1786120049.598373	1
294	mlp	1786120049.604638	1786120049.724038	1
295	mlp	1786120049.729999	1786120049.846876	1
296	mlp	1786120049.852130	1786120049.969305	1
297	mlp	1786120049.975360	1786120050.092799	1
298	mlp	1786120050.098298	1786120050.215574	1
299	mlp	1786120050.221478	1786120050.339901	1
300	mlp	1786120050.345663	1786120050.463158	1
301	mlp	1786120050.468840	1786120050.586574	1
302	mlp	1786120050.592433	1786120050.710455	1
303	mlp	1786120050.716104	1786120050.833919	1
304	mlp	1786120050.839589	1786120050.957665	1
305	mlp	1786120050.962845	1786120051.080474	1
306	mlp	1786120051.085938	1786120051.203322	1
307	mlp	1786120051.209183	1786120051.327344	1
308	mlp	1786120051.333515	1786120051.451824	1
309	mlp	1786120051.457831	1786120051.574549	1
310	mlp	1786120051.580220	1786120051.697088	1
311	mlp	1786120051.702784	1786120051.819869	1
312	mlp	1786120051.825580	1786120051.943324	1
313	mlp	1786120051.949282	1786120052.067674	1
314	mlp	1786120052.073974	1786120052.191754	1
315	mlp	1786120052.197242	1786120052.314606	1
316	mlp	1786120052.320292	1786120052.438198	1
317	mlp	1786120052.444170	1786120052.561924	1
318	mlp	1786120052.567715	1786120052.686014	1
319	mlp	1786120052.691410	1786120052.808353	1
320	mlp	1786120052.814173	1786120052.931298	1
321	mlp	1786120052.936797	1786120053.053854	1
322	mlp	1786120053.059337	1786120053.176892	1
323	mlp	1786120053.182531	1786120053.303357	1
324	mlp	1786120053.309210	1786120053.427606	1
325	mlp	1786120053.433046	1786120053.550342	1
326	mlp	1786120053.556020	1786120053.673580	1
327	mlp	1786120053.679417	1786120053.797607	1
328	mlp	1786120053.803140	1786120053.920707	1
329	mlp	1786120053.926513	1786120054.043475	1
330	mlp	1786120054.049183	1786120054.167062	1
331	mlp	1786120054.173144	1786120054.290729	1
332	mlp	1786120054.296647	1786120054.415014	1
333	mlp	1786120054.421302	1786120054.539379	1
334	mlp	1786120054.545141	1786120054.662070	1
335	mlp	1786120054.667418	1786120054.784651	1
336	mlp	1786120054.790499	1786120054.907427	1
337	mlp	1786120054.913044	1786120055.030033	1
338	mlp	1786120055.036035	1786120055.153678	1
339	mlp	1786120055.159423	1786120055.276262	1
340	mlp	1786120055.281871	1786120055.398919	1
341	mlp	1786120055.404741	1786120055.522592	1
342	mlp	1786120055.528571	1786120055.646208	1
343	mlp	1786120055.652133	1786120055.769400	1
344	mlp	1786120055.774875	1786120055.892770	1
345	mlp	1786120055.898325	1786120056.015614	1
346	mlp	1786120056.021439	1786120056.138664	1
347	mlp	1786120056.144390	1786120056.263784	1
348	mlp	1786120056.269338	1786120056.387233	1
349	mlp	1786120056.392772	1786120056.510801	1
350	mlp	1786120056.516403	1786120056.634316	1
351	mlp	1786120056.639942	1786120056.757833	1
352	mlp	1786120056.763498	1786120056.881603	1
353	mlp	1786120056.887241	1786120057.004641	1
354	mlp	1786120057.010358	1786120057.127761	1
355	mlp	1786120057.133714	1786120057.250984	1
356	mlp	1786120057.256536	1786120057.374365	1
357	mlp	1786120057.380207	1786120057.498286	1
358	mlp	1786120057.503870	1786120057.621304	1
359	mlp	1786120057.626868	1786120057.744295	1
360	mlp	1786120057.749962	1786120057.867705	1
361	mlp	1786120057.873645	1786120057.991677	1
362	mlp	1786120057.997724	1786120058.115668	1
363	mlp	1786120058.121752	1786120058.239551	1
364	mlp	1786120058.245695	1786120058.363119	1
365	mlp	1786120058.368828	1786120058.486764	1
366	mlp	1786120058.492771	1786120058.610880	1
367	mlp	1786120058.616674	1786120058.734617	1
368	mlp	1786120058.740306	1786120058.858138	1
369	mlp	1786120058.863811	1786120058.981613	1
370	mlp	1786120058.987440	1786120059.104681	1
371	mlp	1786120059.110503	1786120059.229848	1
372	mlp	1786120059.235633	1786120059.353186	1
373	mlp	1786120059.358867	1786120059.477129	1
374	mlp	1786120059.483057	1786120059.600572	1
375	mlp	1786120059.606653	1786120059.724402	1
376	mlp	1786120059.730210	1786120059.847935	1
377	mlp	1786120059.853616	1786120059.971138	1
378	mlp	1786120059.976900	1786120060.096312	1
379	mlp	1786120060.101692	1786120060.219729	1
380	mlp	1786120060.226021	1786120060.346698	1
381	mlp	1786120060.352694	1786120060.470254	1
382	mlp	1786120060.476134	1786120060.594530	1
383	mlp	1786120060.600563	1786120060.718217	1
384	mlp	1786120060.724235	1786120060.842994	1
385	mlp	1786120060.848853	1786120060.968033	1
386	mlp	1786120060.973635	1786120061.091493	1
387	mlp	1786120061.097284	1786120061.215202	1
388	mlp	1786120061.221069	1786120061.339301	1
389	mlp	1786120061.345740	1786120061.463411	1
390	mlp	1786120061.469100	1786120061.586676	1
391	mlp	1786120061.592502	1786120061.710154	1
392	mlp	1786120061.715964	1786120061.833450	1
393	mlp	1786120061.839214	1786120061.960334	1
394	mlp	1786120061.966307	1786120062.084623	1
395	mlp	1786120062.090665	1786120062.208077	1
396	mlp	1786120062.213676	1786120062.331202	1
397	mlp	1786120062.336898	1786120062.455101	1
398	mlp	1786120062.460846	1786120062.580723	1
399	mlp	1786120062.586663	1786120062.705932	1
400	mlp	1786120062.711668	1786120062.829287	1
401	mlp	1786120062.834928	1786120062.953248	1
402	mlp	1786120062.959223	1786120063.077059	1
403	mlp	1786120063.082898	1786120063.200743	1
404	mlp	1786120063.206397	1786120063.324579	1
405	mlp	1786120063.330569	1786120063.449923	1
406	mlp	1786120063.455718	1786120063.573537	1
407	mlp	1786120063.579521	1786120063.697619	1
408	mlp	1786120063.703354	1786120063.821573	1
409	mlp	1786120063.827729	1786120063.945664	1
410	mlp	1786120063.951492	1786120064.069113	1
411	mlp	1786120064.074937	1786120064.192472	1
