win	group	t_start	t_end	alive_after
000	fpbr	1786124166.694843	1786124166.846871	1
001	fpbr	1786124166.852816	1786124166.982082	1
002	fpbr	1786124166.988092	1786124167.117904	1
003	fpbr	1786124167.124285	1786124167.243319	1
004	fpbr	1786124167.249048	1786124167.367703	1
005	fpbr	1786124167.374063	1786124167.492223	1
006	fpbr	1786124167.497901	1786124167.617655	1
007	fpbr	1786124167.623239	1786124167.741161	1
008	fpbr	1786124167.747007	1786124167.864055	1
009	fpbr	1786124167.869585	1786124167.986850	1
010	fpbr	1786124167.992662	1786124168.110429	1
011	fpbr	1786124168.116950	1786124168.234736	1
012	fpbr	1786124168.240201	1786124168.358129	1
013	fpbr	1786124168.363709	1786124168.481244	1
014	fpbr	1786124168.487010	1786124168.604899	1
015	fpbr	1786124168.610819	1786124168.729493	1
016	fpbr	1786124168.735498	1786124168.853180	1
017	fpbr	1786124168.859200	1786124168.977368	1
018	fpbr	1786124168.983256	1786124169.101335	1
019	fpbr	1786124169.107214	1786124169.226389	1
020	fpbr	1786124169.232615	1786124169.351660	1
021	fpbr	1786124169.357646	1786124169.475984	1
022	fpbr	1786124169.481669	1786124169.599690	1
023	fpbr	1786124169.605331	1786124169.722984	1
024	fpbr	1786124169.728668	1786124169.847168	1
025	fpbr	1786124169.853178	1786124169.972316	1
026	fpbr	1786124169.978258	1786124170.097463	1
027	fpbr	1786124170.103436	1786124170.221491	1
028	fpbr	1786124170.227220	1786124170.345135	1
029	fpbr	1786124170.350734	1786124170.467964	1
030	fpbr	1786124170.473785	1786124170.591626	1
031	fpbr	1786124170.597329	1786124170.714636	1
032	fpbr	1786124170.720324	1786124170.837570	1
033	fpbr	1786124170.843171	1786124170.960486	1
034	fpbr	1786124170.966203	1786124171.083735	1
035	fpbr	1786124171.089840	1786124171.207675	1
036	fpbr	1786124171.213571	1786124171.331735	1
037	fpbr	1786124171.337585	1786124171.455373	1
038	fpbr	1786124171.461130	1786124171.579103	1
039	fpbr	1786124171.584620	1786124171.703160	1
040	fpbr	1786124171.709088	1786124171.826935	1
041	fpbr	1786124171.832710	1786124171.950827	1
042	fpbr	1786124171.956526	1786124172.074396	1
043	fpbr	1786124172.080092	1786124172.197978	1
044	fpbr	1786124172.203550	1786124172.322786	1
045	fpbr	1786124172.328401	1786124172.446159	1
046	fpbr	1786124172.451823	1786124172.569536	1
047	fpbr	1786124172.575070	1786124172.692739	1
048	fpbr	1786124172.698320	1786124172.816244	1
049	fpbr	1786124172.822077	1786124172.940177	1
050	fpbr	1786124172.946022	1786124173.063600	1
051	fpbr	1786124173.069710	1786124173.188836	1
052	fpbr	1786124173.194674	1786124173.312847	1
053	fpbr	1786124173.318992	1786124173.437199	1
054	fpbr	1786124173.444025	1786124173.562466	1
055	fpbr	1786124173.568241	1786124173.686441	1
056	fpbr	1786124173.692249	1786124173.810697	1
057	fpbr	1786124173.816167	1786124173.934125	1
058	fpbr	1786124173.939797	1786124174.060287	1
059	fpbr	1786124174.066188	1786124174.184290	1
060	fpbr	1786124174.190048	1786124174.308554	1
061	fpbr	1786124174.314281	1786124174.432356	1
062	fpbr	1786124174.437902	1786124174.556029	1
063	fpbr	1786124174.561603	1786124174.679355	1
064	fpbr	1786124174.684997	1786124174.802676	1
065	fpbr	1786124174.808366	1786124174.926502	1
066	fpbr	1786124174.932040	1786124175.049996	1
067	fpbr	1786124175.055722	1786124175.173785	1
068	fpbr	1786124175.179744	1786124175.298025	1
069	fpbr	1786124175.303613	1786124175.421204	1
070	fpbr	1786124175.427081	1786124175.545333	1
071	fpbr	1786124175.551390	1786124175.670333	1
072	fpbr	1786124175.675960	1786124175.794773	1
073	fpbr	1786124175.800502	1786124175.919000	1
074	fpbr	1786124175.924971	1786124176.043804	1
075	fpbr	1786124176.049796	1786124176.168324	1
076	fpbr	1786124176.174335	1786124176.293665	1
077	fpbr	1786124176.299326	1786124176.417954	1
078	fpbr	1786124176.423847	1786124176.541998	1
079	fpbr	1786124176.547779	1786124176.665767	1
080	fpbr	1786124176.672029	1786124176.789552	1
081	fpbr	1786124176.795276	1786124176.913522	1
082	fpbr	1786124176.919583	1786124177.037475	1
083	fpbr	1786124177.043131	1786124177.160905	1
084	fpbr	1786124177.166262	1786124177.284059	1
085	fpbr	1786124177.289719	1786124177.407847	1
086	fpbr	1786124177.413248	1786124177.531425	1
087	fpbr	1786124177.537142	1786124177.654860	1
088	fpbr	1786124177.660558	1786124177.778449	1
089	fpbr	1786124177.784001	1786124177.901927	1
090	fpbr	1786124177.907727	1786124178.026483	1
091	fpbr	1786124178.032061	1786124178.151171	1
092	fpbr	1786124178.157098	1786124178.275477	1
093	fpbr	1786124178.280993	1786124178.398658	1
094	fpbr	1786124178.404772	1786124178.522560	1
095	fpbr	1786124178.528315	1786124178.646202	1
096	fpbr	1786124178.651881	1786124178.769608	1
097	fpbr	1786124178.775448	1786124178.893256	1
098	fpbr	1786124178.899051	1786124179.018400	1
099	fpbr	1786124179.024115	1786124179.142467	1
100	fpbr	1786124179.148272	1786124179.267138	1
101	fpbr	1786124179.273287	1786124179.391658	1
102	fpbr	1786124179.397700	1786124179.515835	1
103	fpbr	1786124179.521758	1786124179.639341	1
104	fpbr	1786124179.645131	1786124179.763364	1
105	fpbr	1786124179.769446	1786124179.889050	1
106	fpbr	1786124179.894703	1786124180.012505	1
107	fpbr	1786124180.018395	1786124180.136888	1
108	fpbr	1786124180.143108	1786124180.263106	1
109	fpbr	1786124180.268953	1786124180.392651	1
110	fpbr	1786124180.398785	1786124180.517660	1
111	fpbr	1786124180.523841	1786124180.642481	1
112	fpbr	1786124180.648578	1786124180.766537	1
113	fpbr	1786124180.772238	1786124180.890745	1
114	fpbr	1786124180.896695	1786124181.015084	1
115	fpbr	1786124181.020904	1786124181.139649	1
116	fpbr	1786124181.145493	1786124181.263451	1
117	fpbr	1786124181.269066	1786124181.386887	1
118	fpbr	1786124181.392927	1786124181.510994	1
119	fpbr	1786124181.516677	1786124181.635480	1
120	fpbr	1786124181.641380	1786124181.759882	1
121	fpbr	1786124181.765653	1786124181.883715	1
122	fpbr	1786124181.889597	1786124182.009082	1
123	fpbr	1786124182.015313	1786124182.139428	1
124	fpbr	1786124182.145233	1786124182.263822	1
125	fpbr	1786124182.269638	1786124182.388897	1
126	fpbr	1786124182.395136	1786124182.513651	1
127	fpbr	1786124182.519473	1786124182.638458	1
128	fpbr	1786124182.644808	1786124182.763173	1
129	fpbr	1786124182.768889	1786124182.887806	1
130	fpbr	1786124182.894104	1786124183.012332	1
131	fpbr	1786124183.018197	1786124183.137968	1
132	fpbr	1786124183.143991	1786124183.264865	1
133	fpbr	1786124183.270609	1786124183.388467	1
134	fpbr	1786124183.394062	1786124183.512485	1
135	fpbr	1786124183.518102	1786124183.635714	1
136	fpbr	1786124183.641351	1786124183.758697	1
137	fpbr	1786124183.764271	1786124183.882111	1
138	fpbr	1786124183.887464	1786124184.005009	1
139	fpbr	1786124184.010557	1786124184.127985	1
140	fpbr	1786124184.133684	1786124184.251055	1
141	fpbr	1786124184.256776	1786124184.373956	1
142	fpbr	1786124184.379535	1786124184.497087	1
143	fpbr	1786124184.502850	1786124184.619458	1
144	fpbr	1786124184.625225	1786124184.742134	1
145	fpbr	1786124184.747904	1786124184.864393	1
146	fpbr	1786124184.869998	1786124184.986527	1
147	fpbr	1786124184.992092	1786124185.108972	1
148	fpbr	1786124185.114840	1786124185.231604	1
149	fpbr	1786124185.237139	1786124185.354441	1
150	fpbr	1786124185.360174	1786124185.477197	1
151	fpbr	1786124185.482890	1786124185.599601	1
152	fpbr	1786124185.605165	1786124185.722081	1
153	fpbr	1786124185.727684	1786124185.844059	1
154	fpbr	1786124185.849707	1786124185.966280	1
155	fpbr	1786124185.971615	1786124186.088049	1
156	fpbr	1786124186.093714	1786124186.210994	1
157	fpbr	1786124186.216344	1786124186.333391	1
158	fpbr	1786124186.338636	1786124186.455044	1
159	fpbr	1786124186.460552	1786124186.577311	1
160	fpbr	1786124186.582768	1786124186.699420	1
161	fpbr	1786124186.704693	1786124186.820802	1
162	fpbr	1786124186.826476	1786124186.943465	1
163	fpbr	1786124186.948820	1786124187.065101	1
