win	group	t_start	t_end	alive_after
000	cache	1786130006.689934	1786130006.842051	1
001	cache	1786130006.848158	1786130006.982946	1
002	cache	1786130006.989285	1786130007.112920	1
003	cache	1786130007.118324	1786130007.241674	1
004	cache	1786130007.247725	1786130007.366880	1
005	cache	1786130007.372802	1786130007.491971	1
006	cache	1786130007.497743	1786130007.616602	1
007	cache	1786130007.622423	1786130007.741296	1
008	cache	1786130007.747159	1786130007.865689	1
009	cache	1786130007.871593	1786130007.991098	1
010	cache	1786130007.996923	1786130008.118048	1
011	cache	1786130008.123776	1786130008.242561	1
012	cache	1786130008.248370	1786130008.367735	1
013	cache	1786130008.373771	1786130008.493297	1
014	cache	1786130008.499095	1786130008.620543	1
015	cache	1786130008.626527	1786130008.745711	1
016	cache	1786130008.751641	1786130008.871172	1
017	cache	1786130008.877393	1786130008.996777	1
018	cache	1786130009.002196	1786130009.121254	1
019	cache	1786130009.127012	1786130009.246056	1
020	cache	1786130009.251647	1786130009.370525	1
021	cache	1786130009.375864	1786130009.495346	1
022	cache	1786130009.501344	1786130009.621157	1
023	cache	1786130009.627312	1786130009.746497	1
024	cache	1786130009.752340	1786130009.871905	1
025	cache	1786130009.877763	1786130009.996859	1
026	cache	1786130010.002755	1786130010.121036	1
027	cache	1786130010.126867	1786130010.245743	1
028	cache	1786130010.251515	1786130010.370537	1
029	cache	1786130010.376326	1786130010.494839	1
030	cache	1786130010.500578	1786130010.619036	1
031	cache	1786130010.624722	1786130010.743253	1
032	cache	1786130010.748630	1786130010.867722	1
033	cache	1786130010.874013	1786130010.993621	1
034	cache	1786130010.999395	1786130011.118832	1
035	cache	1786130011.124679	1786130011.243917	1
036	cache	1786130011.249657	1786130011.369562	1
037	cache	1786130011.375450	1786130011.495366	1
038	cache	1786130011.501289	1786130011.620548	1
039	cache	1786130011.626257	1786130011.745498	1
040	cache	1786130011.751308	1786130011.871660	1
041	cache	1786130011.877728	1786130011.996764	1
042	cache	1786130012.002538	1786130012.121245	1
043	cache	1786130012.126937	1786130012.245586	1
044	cache	1786130012.251249	1786130012.369875	1
045	cache	1786130012.375599	1786130012.494329	1
046	cache	1786130012.500275	1786130012.619710	1
047	cache	1786130012.625680	1786130012.744855	1
048	cache	1786130012.750755	1786130012.869628	1
049	cache	1786130012.875581	1786130012.994483	1
050	cache	1786130013.000362	1786130013.119750	1
051	cache	1786130013.125457	1786130013.244423	1
052	cache	1786130013.249900	1786130013.368650	1
053	cache	1786130013.374393	1786130013.493567	1
054	cache	1786130013.499409	1786130013.618017	1
055	cache	1786130013.623706	1786130013.744288	1
056	cache	1786130013.750286	1786130013.869158	1
057	cache	1786130013.874916	1786130013.993653	1
058	cache	1786130013.999330	1786130014.118130	1
059	cache	1786130014.123790	1786130014.243196	1
060	cache	1786130014.249139	1786130014.367887	1
061	cache	1786130014.373524	1786130014.492330	1
062	cache	1786130014.498140	1786130014.616903	1
063	cache	1786130014.622592	1786130014.744602	1
064	cache	1786130014.750224	1786130014.869844	1
065	cache	1786130014.875660	1786130014.994541	1
066	cache	1786130015.000262	1786130015.119241	1
067	cache	1786130015.125113	1786130015.244486	1
068	cache	1786130015.250098	1786130015.371098	1
069	cache	1786130015.376753	1786130015.495406	1
070	cache	1786130015.500776	1786130015.619560	1
071	cache	1786130015.625193	1786130015.744412	1
072	cache	1786130015.750204	1786130015.869303	1
073	cache	1786130015.875068	1786130015.994754	1
074	cache	1786130016.000494	1786130016.119436	1
075	cache	1786130016.125003	1786130016.243878	1
076	cache	1786130016.249602	1786130016.370819	1
077	cache	1786130016.376679	1786130016.498771	1
078	cache	1786130016.504502	1786130016.623073	1
079	cache	1786130016.628921	1786130016.747942	1
080	cache	1786130016.753752	1786130016.872913	1
081	cache	1786130016.878520	1786130016.997624	1
082	cache	1786130017.003643	1786130017.122665	1
083	cache	1786130017.128415	1786130017.247129	1
084	cache	1786130017.252666	1786130017.371600	1
085	cache	1786130017.377484	1786130017.496419	1
086	cache	1786130017.502288	1786130017.622779	1
087	cache	1786130017.628522	1786130017.747392	1
088	cache	1786130017.752960	1786130017.872006	1
089	cache	1786130017.877992	1786130017.997031	1
090	cache	1786130018.003001	1786130018.122531	1
091	cache	1786130018.128740	1786130018.247368	1
092	cache	1786130018.253145	1786130018.372140	1
093	cache	1786130018.377902	1786130018.496497	1
094	cache	1786130018.501947	1786130018.620961	1
095	cache	1786130018.626584	1786130018.746800	1
096	cache	1786130018.752481	1786130018.871477	1
097	cache	1786130018.877384	1786130018.996396	1
098	cache	1786130019.002014	1786130019.120814	1
099	cache	1786130019.126889	1786130019.245890	1
100	cache	1786130019.251958	1786130019.370947	1
101	cache	1786130019.376843	1786130019.495712	1
102	cache	1786130019.501600	1786130019.619993	1
103	cache	1786130019.625714	1786130019.744091	1
104	cache	1786130019.749713	1786130019.870593	1
105	cache	1786130019.876567	1786130019.995738	1
106	cache	1786130020.001537	1786130020.120943	1
107	cache	1786130020.126791	1786130020.245776	1
108	cache	1786130020.251708	1786130020.370593	1
109	cache	1786130020.376627	1786130020.495642	1
110	cache	1786130020.501416	1786130020.620004	1
111	cache	1786130020.625733	1786130020.744828	1
112	cache	1786130020.750677	1786130020.869789	1
113	cache	1786130020.875930	1786130020.995530	1
114	cache	1786130021.001123	1786130021.120315	1
115	cache	1786130021.126233	1786130021.244924	1
116	cache	1786130021.250613	1786130021.369975	1
117	cache	1786130021.376452	1786130021.496455	1
118	cache	1786130021.503180	1786130021.622840	1
119	cache	1786130021.628757	1786130021.756748	1
120	cache	1786130021.762286	1786130021.881059	1
121	cache	1786130021.887017	1786130022.006104	1
122	cache	1786130022.012020	1786130022.131128	1
123	cache	1786130022.137067	1786130022.255792	1
124	cache	1786130022.261662	1786130022.381672	1
125	cache	1786130022.387493	1786130022.507053	1
126	cache	1786130022.512620	1786130022.631815	1
127	cache	1786130022.637650	1786130022.756568	1
128	cache	1786130022.762334	1786130022.881231	1
129	cache	1786130022.887054	1786130023.006118	1
130	cache	1786130023.012094	1786130023.130954	1
131	cache	1786130023.136898	1786130023.255895	1
132	cache	1786130023.261670	1786130023.380888	1
133	cache	1786130023.386396	1786130023.505337	1
134	cache	1786130023.511222	1786130023.629946	1
135	cache	1786130023.636007	1786130023.755175	1
136	cache	1786130023.761233	1786130023.881380	1
137	cache	1786130023.887360	1786130024.006733	1
138	cache	1786130024.012583	1786130024.131775	1
139	cache	1786130024.137572	1786130024.256736	1
140	cache	1786130024.262917	1786130024.382464	1
141	cache	1786130024.388302	1786130024.507927	1
142	cache	1786130024.513722	1786130024.633281	1
143	cache	1786130024.639236	1786130024.758672	1
144	cache	1786130024.764689	1786130024.883953	1
145	cache	1786130024.889877	1786130025.009018	1
146	cache	1786130025.014763	1786130025.140058	1
147	cache	1786130025.145734	1786130025.265212	1
148	cache	1786130025.271257	1786130025.390467	1
149	cache	1786130025.396252	1786130025.516721	1
150	cache	1786130025.522713	1786130025.641695	1
151	cache	1786130025.647566	1786130025.766793	1
152	cache	1786130025.772665	1786130025.892008	1
153	cache	1786130025.898235	1786130026.017444	1
154	cache	1786130026.022950	1786130026.142140	1
155	cache	1786130026.147817	1786130026.266594	1
156	cache	1786130026.272266	1786130026.392007	1
157	cache	1786130026.397870	1786130026.517844	1
158	cache	1786130026.523595	1786130026.642953	1
159	cache	1786130026.648715	1786130026.767402	1
160	cache	1786130026.773070	1786130026.892518	1
161	cache	1786130026.898560	1786130027.017915	1
162	cache	1786130027.024026	1786130027.142903	1
163	cache	1786130027.148809	1786130027.267337	1
164	cache	1786130027.273097	1786130027.392151	1
