win	group	t_start	t_end	alive_after
000	fe_lat	1786122404.327503	1786122404.480610	1
001	fe_lat	1786122404.486162	1786122404.620626	1
002	fe_lat	1786122404.626002	1786122404.750367	1
003	fe_lat	1786122404.756180	1786122404.875431	1
004	fe_lat	1786122404.881085	1786122404.999497	1
005	fe_lat	1786122405.005226	1786122405.124547	1
006	fe_lat	1786122405.129977	1786122405.250788	1
007	fe_lat	1786122405.256531	1786122405.375582	1
008	fe_lat	1786122405.381478	1786122405.500348	1
009	fe_lat	1786122405.506272	1786122405.625680	1
010	fe_lat	1786122405.631452	1786122405.750363	1
011	fe_lat	1786122405.756475	1786122405.877416	1
012	fe_lat	1786122405.882942	1786122406.001807	1
013	fe_lat	1786122406.007659	1786122406.126566	1
014	fe_lat	1786122406.132420	1786122406.250892	1
015	fe_lat	1786122406.256837	1786122406.375659	1
016	fe_lat	1786122406.381649	1786122406.501822	1
017	fe_lat	1786122406.508057	1786122406.627875	1
018	fe_lat	1786122406.633622	1786122406.752225	1
019	fe_lat	1786122406.758195	1786122406.877390	1
020	fe_lat	1786122406.883675	1786122407.003008	1
021	fe_lat	1786122407.008810	1786122407.127516	1
022	fe_lat	1786122407.133137	1786122407.251909	1
023	fe_lat	1786122407.257499	1786122407.376847	1
024	fe_lat	1786122407.382783	1786122407.501647	1
025	fe_lat	1786122407.507797	1786122407.626501	1
026	fe_lat	1786122407.632009	1786122407.750707	1
027	fe_lat	1786122407.756496	1786122407.877980	1
028	fe_lat	1786122407.883877	1786122408.004743	1
029	fe_lat	1786122408.010678	1786122408.129413	1
030	fe_lat	1786122408.135433	1786122408.255588	1
031	fe_lat	1786122408.261434	1786122408.380381	1
032	fe_lat	1786122408.386388	1786122408.505698	1
033	fe_lat	1786122408.511630	1786122408.631196	1
034	fe_lat	1786122408.637045	1786122408.755931	1
035	fe_lat	1786122408.761722	1786122408.880684	1
036	fe_lat	1786122408.886594	1786122409.009558	1
037	fe_lat	1786122409.015491	1786122409.136205	1
038	fe_lat	1786122409.141816	1786122409.261330	1
039	fe_lat	1786122409.267307	1786122409.387532	1
040	fe_lat	1786122409.393048	1786122409.512599	1
041	fe_lat	1786122409.518457	1786122409.637763	1
042	fe_lat	1786122409.643867	1786122409.763032	1
043	fe_lat	1786122409.768792	1786122409.887729	1
044	fe_lat	1786122409.893598	1786122410.012542	1
045	fe_lat	1786122410.018259	1786122410.137628	1
046	fe_lat	1786122410.143696	1786122410.262789	1
047	fe_lat	1786122410.268655	1786122410.388718	1
048	fe_lat	1786122410.394527	1786122410.514221	1
049	fe_lat	1786122410.520160	1786122410.639912	1
050	fe_lat	1786122410.645635	1786122410.765042	1
051	fe_lat	1786122410.770878	1786122410.890030	1
