win	group	t_start	t_end	alive_after
000	fe_lat	1786119355.543817	1786119355.692875	1
001	fe_lat	1786119355.698518	1786119355.829562	1
002	fe_lat	1786119355.835260	1786119355.965542	1
003	fe_lat	1786119355.970773	1786119356.090354	1
004	fe_lat	1786119356.096326	1786119356.214979	1
005	fe_lat	1786119356.220597	1786119356.339430	1
006	fe_lat	1786119356.345059	1786119356.465774	1
007	fe_lat	1786119356.471406	1786119356.590473	1
008	fe_lat	1786119356.596340	1786119356.715315	1
009	fe_lat	1786119356.720658	1786119356.840057	1
010	fe_lat	1786119356.845592	1786119356.964308	1
011	fe_lat	1786119356.969740	1786119357.088397	1
012	fe_lat	1786119357.094183	1786119357.214019	1
013	fe_lat	1786119357.219714	1786119357.338956	1
014	fe_lat	1786119357.344634	1786119357.462786	1
015	fe_lat	1786119357.468248	1786119357.590172	1
016	fe_lat	1786119357.595703	1786119357.717989	1
017	fe_lat	1786119357.723695	1786119357.842485	1
018	fe_lat	1786119357.847975	1786119357.966675	1
019	fe_lat	1786119357.972295	1786119358.092382	1
020	fe_lat	1786119358.098478	1786119358.217515	1
021	fe_lat	1786119358.223435	1786119358.342242	1
022	fe_lat	1786119358.347849	1786119358.466805	1
023	fe_lat	1786119358.472552	1786119358.591940	1
024	fe_lat	1786119358.597807	1786119358.717269	1
025	fe_lat	1786119358.722742	1786119358.842118	1
026	fe_lat	1786119358.847725	1786119358.966915	1
027	fe_lat	1786119358.972661	1786119359.091460	1
028	fe_lat	1786119359.097188	1786119359.217370	1
029	fe_lat	1786119359.223583	1786119359.343140	1
030	fe_lat	1786119359.348936	1786119359.468177	1
031	fe_lat	1786119359.473910	1786119359.593167	1
032	fe_lat	1786119359.599021	1786119359.718169	1
033	fe_lat	1786119359.723912	1786119359.843158	1
034	fe_lat	1786119359.848966	1786119359.967971	1
035	fe_lat	1786119359.973679	1786119360.092449	1
036	fe_lat	1786119360.098042	1786119360.216979	1
037	fe_lat	1786119360.222734	1786119360.342358	1
038	fe_lat	1786119360.348280	1786119360.466913	1
039	fe_lat	1786119360.472271	1786119360.591550	1
040	fe_lat	1786119360.597163	1786119360.716003	1
041	fe_lat	1786119360.721587	1786119360.840817	1
042	fe_lat	1786119360.846543	1786119360.965748	1
043	fe_lat	1786119360.971611	1786119361.090930	1
044	fe_lat	1786119361.096749	1786119361.215550	1
045	fe_lat	1786119361.221134	1786119361.339819	1
046	fe_lat	1786119361.345527	1786119361.464622	1
047	fe_lat	1786119361.470552	1786119361.590125	1
048	fe_lat	1786119361.595854	1786119361.714688	1
049	fe_lat	1786119361.720355	1786119361.839847	1
050	fe_lat	1786119361.845576	1786119361.965670	1
051	fe_lat	1786119361.971171	1786119362.091390	1
052	fe_lat	1786119362.097250	1786119362.216403	1
053	fe_lat	1786119362.222325	1786119362.341740	1
054	fe_lat	1786119362.347364	1786119362.466696	1
055	fe_lat	1786119362.472612	1786119362.592493	1
056	fe_lat	1786119362.598235	1786119362.717128	1
057	fe_lat	1786119362.722539	1786119362.841679	1
058	fe_lat	1786119362.847076	1786119362.966937	1
059	fe_lat	1786119362.972920	1786119363.091739	1
060	fe_lat	1786119363.097563	1786119363.216472	1
061	fe_lat	1786119363.222336	1786119363.341472	1
062	fe_lat	1786119363.347271	1786119363.466675	1
063	fe_lat	1786119363.472724	1786119363.591849	1
064	fe_lat	1786119363.597517	1786119363.718136	1
065	fe_lat	1786119363.723360	1786119363.841915	1
066	fe_lat	1786119363.847408	1786119363.966896	1
067	fe_lat	1786119363.972806	1786119364.091780	1
068	fe_lat	1786119364.097383	1786119364.216136	1
069	fe_lat	1786119364.221655	1786119364.340714	1
070	fe_lat	1786119364.346142	1786119364.465336	1
071	fe_lat	1786119364.471440	1786119364.591427	1
072	fe_lat	1786119364.597386	1786119364.717037	1
073	fe_lat	1786119364.723267	1786119364.844362	1
074	fe_lat	1786119364.850155	1786119364.969320	1
075	fe_lat	1786119364.975422	1786119365.095274	1
076	fe_lat	1786119365.101480	1786119365.221514	1
077	fe_lat	1786119365.227561	1786119365.348653	1
078	fe_lat	1786119365.354805	1786119365.474519	1
079	fe_lat	1786119365.480595	1786119365.599388	1
080	fe_lat	1786119365.605214	1786119365.724527	1
081	fe_lat	1786119365.730132	1786119365.848919	1
082	fe_lat	1786119365.854555	1786119365.974199	1
083	fe_lat	1786119365.980000	1786119366.098916	1
084	fe_lat	1786119366.104342	1786119366.223937	1
085	fe_lat	1786119366.229698	1786119366.348678	1
086	fe_lat	1786119366.354520	1786119366.474462	1
087	fe_lat	1786119366.480690	1786119366.600030	1
088	fe_lat	1786119366.605878	1786119366.725261	1
089	fe_lat	1786119366.731428	1786119366.851696	1
090	fe_lat	1786119366.857622	1786119366.977205	1
091	fe_lat	1786119366.983400	1786119367.102895	1
092	fe_lat	1786119367.108747	1786119367.228337	1
093	fe_lat	1786119367.235032	1786119367.354676	1
094	fe_lat	1786119367.360870	1786119367.481004	1
095	fe_lat	1786119367.487002	1786119367.606742	1
096	fe_lat	1786119367.612481	1786119367.731916	1
097	fe_lat	1786119367.737703	1786119367.857138	1
098	fe_lat	1786119367.862962	1786119367.982604	1
099	fe_lat	1786119367.988511	1786119368.107710	1
100	fe_lat	1786119368.114149	1786119368.233534	1
