task,group,run,win,t0,dur,fence,instructions,tag,metric,value
astropy,fpbr,run_1,000,1786127189.032,0.158,tool,861576256,idle,IPC,2.6413
astropy,fpbr,run_1,000,1786127189.032,0.158,tool,861576256,idle,branch_MPKI,1.8542
astropy,fpbr,run_1,001,1786127189.195,0.132,harness,7144067,harness,IPC,1.1043
astropy,fpbr,run_1,001,1786127189.195,0.132,harness,7144067,harness,branch_MPKI,7.4117
astropy,fpbr,run_1,001,1786127189.195,0.132,tool,337919859,idle,IPC,1.6777
astropy,fpbr,run_1,001,1786127189.195,0.132,tool,337919859,idle,branch_MPKI,5.5632
astropy,fpbr,run_1,003,1786127189.466,0.119,tool,402396309,idle,IPC,1.4263
astropy,fpbr,run_1,003,1786127189.466,0.119,tool,402396309,idle,branch_MPKI,7.0437
astropy,fpbr,run_1,003,1786127189.466,0.119,tool,402396309,idle,vecFP_pct,0.0
astropy,fpbr,run_1,005,1786127189.715,0.12,tool,29499419,shell,IPC,1.2665
astropy,fpbr,run_1,005,1786127189.715,0.12,tool,29499419,shell,branch_MPKI,6.8594
astropy,fpbr,run_1,006,1786127189.841,0.119,tool,258033625,idle,IPC,1.4331
astropy,fpbr,run_1,006,1786127189.841,0.119,tool,258033625,idle,branch_MPKI,6.6666
astropy,fpbr,run_1,006,1786127189.841,0.119,tool,258033625,idle,vecFP_pct,0.0
astropy,fpbr,run_1,009,1786127190.217,0.124,harness,3780854,harness,IPC,0.6105
astropy,fpbr,run_1,009,1786127190.217,0.124,harness,3780854,harness,branch_MPKI,15.2815
astropy,fpbr,run_1,009,1786127190.217,0.124,tool,16012012,shell,IPC,0.9461
astropy,fpbr,run_1,009,1786127190.217,0.124,tool,16012012,shell,branch_MPKI,7.7128
astropy,fpbr,run_1,010,1786127190.346,0.12,harness,1775235,harness,IPC,0.4613
astropy,fpbr,run_1,010,1786127190.346,0.12,harness,1775235,harness,branch_MPKI,19.8779
astropy,fpbr,run_1,010,1786127190.346,0.12,tool,13309728,idle,IPC,0.926
astropy,fpbr,run_1,010,1786127190.346,0.12,tool,13309728,idle,branch_MPKI,8.3416
astropy,fpbr,run_1,011,1786127190.471,0.118,harness,4795017,harness,IPC,0.7431
astropy,fpbr,run_1,011,1786127190.471,0.118,harness,4795017,harness,branch_MPKI,12.484
astropy,fpbr,run_1,011,1786127190.471,0.118,tool,23945010,idle,IPC,1.2211
astropy,fpbr,run_1,011,1786127190.471,0.118,tool,23945010,idle,branch_MPKI,5.6966
astropy,fpbr,run_1,012,1786127190.595,0.119,tool,611678602,idle,IPC,3.3109
astropy,fpbr,run_1,012,1786127190.595,0.119,tool,611678602,idle,branch_MPKI,1.0414
astropy,fpbr,run_1,013,1786127190.72,0.119,tool,700467609,git,IPC,3.2343
astropy,fpbr,run_1,013,1786127190.72,0.119,tool,700467609,git,branch_MPKI,1.1471
astropy,fpbr,run_1,014,1786127190.845,0.118,harness,92054122,harness,IPC,3.2004
astropy,fpbr,run_1,014,1786127190.845,0.118,harness,92054122,harness,branch_MPKI,1.4305
astropy,fpbr,run_1,014,1786127190.845,0.118,tool,17284015,idle,IPC,1.0461
astropy,fpbr,run_1,014,1786127190.845,0.118,tool,17284015,idle,branch_MPKI,6.1453
astropy,fpbr,run_1,015,1786127190.968,0.119,harness,1785386,harness,IPC,0.4357
astropy,fpbr,run_1,015,1786127190.968,0.119,harness,1785386,harness,branch_MPKI,19.8635
astropy,fpbr,run_1,015,1786127190.968,0.119,tool,13560230,idle,IPC,0.9124
astropy,fpbr,run_1,015,1786127190.968,0.119,tool,13560230,idle,branch_MPKI,8.2752
astropy,fpbr,run_1,016,1786127191.093,0.118,harness,37158235,harness,IPC,0.961
astropy,fpbr,run_1,016,1786127191.093,0.118,harness,37158235,harness,branch_MPKI,11.7563
astropy,fpbr,run_1,016,1786127191.093,0.118,tool,64204632,idle,IPC,1.1725
astropy,fpbr,run_1,016,1786127191.093,0.118,tool,64204632,idle,branch_MPKI,6.3161
astropy,fpbr,run_1,017,1786127191.217,0.117,harness,1881718,harness,IPC,0.4632
astropy,fpbr,run_1,017,1786127191.217,0.117,harness,1881718,harness,branch_MPKI,19.8345
astropy,fpbr,run_1,017,1786127191.217,0.117,tool,66462752,shell,IPC,1.3591
astropy,fpbr,run_1,017,1786127191.217,0.117,tool,66462752,shell,branch_MPKI,6.6724
astropy,fpbr,run_1,018,1786127191.339,0.118,tool,451624607,idle,IPC,1.7948
astropy,fpbr,run_1,018,1786127191.339,0.118,tool,451624607,idle,branch_MPKI,5.8038
astropy,fpbr,run_1,019,1786127191.463,0.119,tool,560298311,idle,IPC,2.0918
astropy,fpbr,run_1,019,1786127191.463,0.119,tool,560298311,idle,branch_MPKI,3.9521
astropy,fpbr,run_1,020,1786127191.588,0.119,tool,291414483,idle,IPC,2.0524
astropy,fpbr,run_1,020,1786127191.588,0.119,tool,291414483,idle,branch_MPKI,2.982
astropy,fpbr,run_1,021,1786127191.713,0.118,tool,147985765,pkg/build,IPC,2.1815
astropy,fpbr,run_1,021,1786127191.713,0.118,tool,147985765,pkg/build,branch_MPKI,2.3559
astropy,fpbr,run_1,022,1786127191.837,0.118,tool,412434478,idle,IPC,2.1547
astropy,fpbr,run_1,022,1786127191.837,0.118,tool,412434478,idle,branch_MPKI,3.6631
astropy,fpbr,run_1,023,1786127191.961,0.119,tool,482683389,idle,IPC,1.5034
astropy,fpbr,run_1,023,1786127191.961,0.119,tool,482683389,idle,branch_MPKI,3.3457
astropy,fpbr,run_1,023,1786127191.961,0.119,tool,482683389,idle,vecFP_pct,0.0
astropy,fpbr,run_1,024,1786127192.086,0.119,tool,603076201,idle,IPC,1.8616
astropy,fpbr,run_1,024,1786127192.086,0.119,tool,603076201,idle,branch_MPKI,5.6239
astropy,fpbr,run_1,025,1786127192.211,0.119,tool,460135739,pkg/build,IPC,1.8707
astropy,fpbr,run_1,025,1786127192.211,0.119,tool,460135739,pkg/build,branch_MPKI,4.3784
astropy,fpbr,run_1,026,1786127192.335,0.118,tool,304033746,idle,IPC,2.525
astropy,fpbr,run_1,026,1786127192.335,0.118,tool,304033746,idle,branch_MPKI,1.6521
astropy,fpbr,run_1,027,1786127192.459,0.118,tool,23121541,idle,IPC,1.3513
astropy,fpbr,run_1,027,1786127192.459,0.118,tool,23121541,idle,branch_MPKI,0.5155
astropy,fpbr,run_1,028,1786127192.583,0.12,tool,478419906,idle,IPC,1.8309
astropy,fpbr,run_1,028,1786127192.583,0.12,tool,478419906,idle,branch_MPKI,3.172
astropy,fpbr,run_1,029,1786127192.709,0.119,tool,669059618,pkg/build,IPC,2.0648
astropy,fpbr,run_1,029,1786127192.709,0.119,tool,669059618,pkg/build,branch_MPKI,4.4126
astropy,fpbr,run_1,030,1786127192.833,0.118,tool,216687002,idle,IPC,0.9908
astropy,fpbr,run_1,030,1786127192.833,0.118,tool,216687002,idle,branch_MPKI,6.3609
astropy,fpbr,run_1,031,1786127192.957,0.118,harness,1902662,harness,IPC,0.3972
astropy,fpbr,run_1,031,1786127192.957,0.118,harness,1902662,harness,branch_MPKI,19.6903
astropy,fpbr,run_1,031,1786127192.957,0.118,tool,25698047,idle,IPC,1.0763
astropy,fpbr,run_1,031,1786127192.957,0.118,tool,25698047,idle,branch_MPKI,5.4126
astropy,fpbr,run_1,032,1786127193.081,0.117,harness,1763552,harness,IPC,0.5363
astropy,fpbr,run_1,032,1786127193.081,0.117,harness,1763552,harness,branch_MPKI,19.7822
astropy,fpbr,run_1,032,1786127193.081,0.117,tool,13105902,idle,IPC,1.0083
astropy,fpbr,run_1,032,1786127193.081,0.117,tool,13105902,idle,branch_MPKI,7.5856
astropy,fpbr,run_1,033,1786127193.203,0.118,harness,6585567,harness,IPC,0.6591
astropy,fpbr,run_1,033,1786127193.203,0.118,harness,6585567,harness,branch_MPKI,15.6797
astropy,fpbr,run_1,033,1786127193.203,0.118,tool,33510612,shell,IPC,1.0582
astropy,fpbr,run_1,033,1786127193.203,0.118,tool,33510612,shell,branch_MPKI,7.1822
astropy,fpbr,run_1,034,1786127193.328,0.118,harness,4904867,harness,IPC,0.638
astropy,fpbr,run_1,034,1786127193.328,0.118,harness,4904867,harness,branch_MPKI,17.7383
astropy,fpbr,run_1,034,1786127193.328,0.118,tool,23236768,idle,IPC,1.0315
astropy,fpbr,run_1,034,1786127193.328,0.118,tool,23236768,idle,branch_MPKI,8.054
astropy,fpbr,run_1,035,1786127193.451,0.118,harness,7361918,harness,IPC,0.7361
astropy,fpbr,run_1,035,1786127193.451,0.118,harness,7361918,harness,branch_MPKI,10.9121
astropy,fpbr,run_1,035,1786127193.451,0.118,tool,26153010,idle,IPC,1.4204
astropy,fpbr,run_1,035,1786127193.451,0.118,tool,26153010,idle,branch_MPKI,4.6245
astropy,fpbr,run_1,036,1786127193.575,0.118,harness,10255889,harness,IPC,0.9596
astropy,fpbr,run_1,036,1786127193.575,0.118,harness,10255889,harness,branch_MPKI,10.6244
