task,group,run,win,t0,dur,fence,instructions,tag,metric,value
babel,fpbr,run_1,001,1786101573.069,0.13,tool,16715898,idle,IPC,0.9629
babel,fpbr,run_1,001,1786101573.069,0.13,tool,16715898,idle,branch_MPKI,5.3469
babel,fpbr,run_1,004,1786101573.46,0.118,harness,2153598,harness,IPC,0.4031
babel,fpbr,run_1,004,1786101573.46,0.118,harness,2153598,harness,branch_MPKI,18.0484
babel,fpbr,run_1,004,1786101573.46,0.118,tool,22336293,idle,IPC,0.9357
babel,fpbr,run_1,004,1786101573.46,0.118,tool,22336293,idle,branch_MPKI,6.1605
babel,fpbr,run_1,005,1786101573.584,0.12,harness,2224903,harness,IPC,0.6753
babel,fpbr,run_1,005,1786101573.584,0.12,harness,2224903,harness,branch_MPKI,15.2438
babel,fpbr,run_1,005,1786101573.584,0.12,tool,11207912,idle,IPC,0.922
babel,fpbr,run_1,005,1786101573.584,0.12,tool,11207912,idle,branch_MPKI,7.6685
babel,fpbr,run_1,006,1786101573.709,0.119,harness,4810993,harness,IPC,0.7752
babel,fpbr,run_1,006,1786101573.709,0.119,harness,4810993,harness,branch_MPKI,12.5234
babel,fpbr,run_1,006,1786101573.709,0.119,tool,25257967,idle,IPC,1.1693
babel,fpbr,run_1,006,1786101573.709,0.119,tool,25257967,idle,branch_MPKI,5.7471
babel,fpbr,run_1,007,1786101573.834,0.118,tool,1439875287,git,IPC,1.7218
babel,fpbr,run_1,007,1786101573.834,0.118,tool,1439875287,git,branch_MPKI,1.2017
babel,fpbr,run_1,008,1786101573.958,0.118,tool,864915051,idle,IPC,2.672
babel,fpbr,run_1,008,1786101573.958,0.118,tool,864915051,idle,branch_MPKI,0.9587
babel,fpbr,run_1,009,1786101574.082,0.118,tool,862433957,idle,IPC,2.6627
babel,fpbr,run_1,009,1786101574.082,0.118,tool,862433957,idle,branch_MPKI,1.0666
babel,fpbr,run_1,010,1786101574.207,0.119,tool,790150294,idle,IPC,2.4387
babel,fpbr,run_1,010,1786101574.207,0.119,tool,790150294,idle,branch_MPKI,1.1905
babel,fpbr,run_1,011,1786101574.332,0.12,tool,653598191,git,IPC,2.0181
babel,fpbr,run_1,011,1786101574.332,0.12,tool,653598191,git,branch_MPKI,1.275
babel,fpbr,run_1,012,1786101574.458,0.12,tool,1205578630,idle,IPC,1.9378
babel,fpbr,run_1,012,1786101574.458,0.12,tool,1205578630,idle,branch_MPKI,1.0267
babel,fpbr,run_1,013,1786101574.584,0.121,tool,690364997,idle,IPC,2.1344
babel,fpbr,run_1,013,1786101574.584,0.121,tool,690364997,idle,branch_MPKI,1.0263
babel,fpbr,run_1,014,1786101574.711,0.119,tool,1354718630,idle,IPC,2.1225
babel,fpbr,run_1,014,1786101574.711,0.119,tool,1354718630,idle,branch_MPKI,1.2889
babel,fpbr,run_1,015,1786101574.836,0.119,tool,666364949,git,IPC,2.0463
babel,fpbr,run_1,015,1786101574.836,0.119,tool,666364949,git,branch_MPKI,1.291
babel,fpbr,run_1,016,1786101574.961,0.118,harness,137334877,harness,IPC,3.5106
babel,fpbr,run_1,016,1786101574.961,0.118,harness,137334877,harness,branch_MPKI,1.0135
babel,fpbr,run_1,016,1786101574.961,0.118,tool,17057868,idle,IPC,0.989
babel,fpbr,run_1,016,1786101574.961,0.118,tool,17057868,idle,branch_MPKI,6.343
babel,fpbr,run_1,017,1786101575.085,0.121,harness,1793050,harness,IPC,0.4082
babel,fpbr,run_1,017,1786101575.085,0.121,harness,1793050,harness,branch_MPKI,20.1043
babel,fpbr,run_1,017,1786101575.085,0.121,tool,13330530,idle,IPC,0.8789
babel,fpbr,run_1,017,1786101575.085,0.121,tool,13330530,idle,branch_MPKI,8.3383
babel,fpbr,run_1,018,1786101575.211,0.118,harness,37159389,harness,IPC,0.9429
babel,fpbr,run_1,018,1786101575.211,0.118,harness,37159389,harness,branch_MPKI,11.6666
babel,fpbr,run_1,018,1786101575.211,0.118,tool,63509933,idle,IPC,1.146
babel,fpbr,run_1,018,1786101575.211,0.118,tool,63509933,idle,branch_MPKI,6.356
babel,fpbr,run_1,019,1786101575.336,0.12,harness,1878079,harness,IPC,0.4124
babel,fpbr,run_1,019,1786101575.336,0.12,harness,1878079,harness,branch_MPKI,20.3564
babel,fpbr,run_1,019,1786101575.336,0.12,tool,28383636,shell,IPC,1.0754
babel,fpbr,run_1,019,1786101575.336,0.12,tool,28383636,shell,branch_MPKI,5.3689
babel,fpbr,run_1,020,1786101575.462,0.118,harness,1864911,harness,IPC,0.3914
babel,fpbr,run_1,020,1786101575.462,0.118,harness,1864911,harness,branch_MPKI,20.3012
babel,fpbr,run_1,020,1786101575.462,0.118,tool,25839816,idle,IPC,1.0988
babel,fpbr,run_1,020,1786101575.462,0.118,tool,25839816,idle,branch_MPKI,5.2948
babel,fpbr,run_1,021,1786101575.586,0.119,harness,1765858,harness,IPC,0.44
babel,fpbr,run_1,021,1786101575.586,0.119,harness,1765858,harness,branch_MPKI,19.7315
babel,fpbr,run_1,021,1786101575.586,0.119,tool,4752658,idle,IPC,0.8086
babel,fpbr,run_1,021,1786101575.586,0.119,tool,4752658,idle,branch_MPKI,9.8892
babel,fpbr,run_1,022,1786101575.711,0.12,harness,6580493,harness,IPC,0.6371
babel,fpbr,run_1,022,1786101575.711,0.12,harness,6580493,harness,branch_MPKI,15.8057
babel,fpbr,run_1,022,1786101575.711,0.12,tool,33283657,idle,IPC,1.0517
babel,fpbr,run_1,022,1786101575.711,0.12,tool,33283657,idle,branch_MPKI,7.1206
babel,fpbr,run_1,023,1786101575.838,0.118,harness,4899900,harness,IPC,0.5738
babel,fpbr,run_1,023,1786101575.838,0.118,harness,4899900,harness,branch_MPKI,17.6514
babel,fpbr,run_1,023,1786101575.838,0.118,tool,23092243,shell,IPC,0.967
babel,fpbr,run_1,023,1786101575.838,0.118,tool,23092243,shell,branch_MPKI,7.9667
babel,fpbr,run_1,024,1786101575.961,0.119,harness,7697487,harness,IPC,0.7343
babel,fpbr,run_1,024,1786101575.961,0.119,harness,7697487,harness,branch_MPKI,10.5738
babel,fpbr,run_1,024,1786101575.961,0.119,tool,82393256,idle,IPC,1.8008
babel,fpbr,run_1,024,1786101575.961,0.119,tool,82393256,idle,branch_MPKI,3.3784
babel,fpbr,run_1,025,1786101576.086,0.119,tool,48239959,idle,IPC,1.6293
babel,fpbr,run_1,025,1786101576.086,0.119,tool,48239959,idle,branch_MPKI,0.5243
babel,fpbr,run_1,026,1786101576.211,0.118,harness,10284057,harness,IPC,0.8951
babel,fpbr,run_1,026,1786101576.211,0.118,harness,10284057,harness,branch_MPKI,10.6552
babel,fpbr,run_1,026,1786101576.211,0.118,tool,56499258,idle,IPC,1.2946
babel,fpbr,run_1,026,1786101576.211,0.118,tool,56499258,idle,branch_MPKI,6.9321
babel,fpbr,run_1,027,1786101576.336,0.118,harness,77470707,harness,IPC,2.0067
babel,fpbr,run_1,027,1786101576.336,0.118,harness,77470707,harness,branch_MPKI,3.5279
babel,fpbr,run_1,027,1786101576.336,0.118,tool,20857302,shell,IPC,0.9982
babel,fpbr,run_1,027,1786101576.336,0.118,tool,20857302,shell,branch_MPKI,6.8241
babel,fpbr,run_1,028,1786101576.46,0.118,harness,1928349,harness,IPC,0.483
babel,fpbr,run_1,028,1786101576.46,0.118,harness,1928349,harness,branch_MPKI,18.3665
babel,fpbr,run_1,028,1786101576.46,0.118,tool,62104015,idle,IPC,1.3549
babel,fpbr,run_1,028,1786101576.46,0.118,tool,62104015,idle,branch_MPKI,6.9623
babel,fpbr,run_1,029,1786101576.584,0.119,harness,61718617,harness,IPC,1.8229
babel,fpbr,run_1,029,1786101576.584,0.119,harness,61718617,harness,branch_MPKI,4.1045
babel,fpbr,run_1,029,1786101576.584,0.119,tool,20516890,idle,IPC,1.017
babel,fpbr,run_1,029,1786101576.584,0.119,tool,20516890,idle,branch_MPKI,6.9382
babel,fpbr,run_1,030,1786101576.709,0.118,harness,1960987,harness,IPC,0.4403
babel,fpbr,run_1,030,1786101576.709,0.118,harness,1960987,harness,branch_MPKI,19.0266
babel,fpbr,run_1,030,1786101576.709,0.118,tool,42997146,idle,IPC,1.2834
babel,fpbr,run_1,030,1786101576.709,0.118,tool,42997146,idle,branch_MPKI,6.9868
babel,fpbr,run_1,031,1786101576.833,0.119,harness,45706265,harness,IPC,1.6743
babel,fpbr,run_1,031,1786101576.833,0.119,harness,45706265,harness,branch_MPKI,5.1095
babel,fpbr,run_1,031,1786101576.833,0.119,tool,18577567,shell,IPC,0.994
babel,fpbr,run_1,031,1786101576.833,0.119,tool,18577567,shell,branch_MPKI,7.5416
babel,fpbr,run_1,032,1786101576.958,0.117,harness,1780091,harness,IPC,0.4465
babel,fpbr,run_1,032,1786101576.958,0.117,harness,1780091,harness,branch_MPKI,19.7484
