task,group,run,win,t0,dur,fence,instructions,tag,metric,value
fmtlib,fpbr,run_1,002,1786102296.781,0.129,harness,2185855,harness,IPC,0.4091
fmtlib,fpbr,run_1,002,1786102296.781,0.129,harness,2185855,harness,branch_MPKI,17.9385
fmtlib,fpbr,run_1,002,1786102296.781,0.129,tool,22187197,idle,IPC,0.9346
fmtlib,fpbr,run_1,002,1786102296.781,0.129,tool,22187197,idle,branch_MPKI,6.2107
fmtlib,fpbr,run_1,003,1786102296.916,0.117,harness,1769664,harness,IPC,0.4635
fmtlib,fpbr,run_1,003,1786102296.916,0.117,harness,1769664,harness,branch_MPKI,20.1688
fmtlib,fpbr,run_1,003,1786102296.916,0.117,tool,13190455,idle,IPC,0.9365
fmtlib,fpbr,run_1,003,1786102296.916,0.117,tool,13190455,idle,branch_MPKI,8.2569
fmtlib,fpbr,run_1,004,1786102297.039,0.118,harness,4807532,harness,IPC,0.7894
fmtlib,fpbr,run_1,004,1786102297.039,0.118,harness,4807532,harness,branch_MPKI,12.4503
fmtlib,fpbr,run_1,004,1786102297.039,0.118,tool,25546674,idle,IPC,1.191
fmtlib,fpbr,run_1,004,1786102297.039,0.118,tool,25546674,idle,branch_MPKI,5.6729
fmtlib,fpbr,run_1,005,1786102297.162,0.117,tool,201246329,git,IPC,2.1958
fmtlib,fpbr,run_1,005,1786102297.162,0.117,tool,201246329,git,branch_MPKI,2.0178
fmtlib,fpbr,run_1,006,1786102297.285,0.118,harness,87244121,harness,IPC,3.1804
fmtlib,fpbr,run_1,006,1786102297.285,0.118,harness,87244121,harness,branch_MPKI,1.4762
fmtlib,fpbr,run_1,006,1786102297.285,0.118,tool,18437452,idle,IPC,1.0713
fmtlib,fpbr,run_1,006,1786102297.285,0.118,tool,18437452,idle,branch_MPKI,5.8291
fmtlib,fpbr,run_1,007,1786102297.408,0.118,harness,1787466,harness,IPC,0.4446
fmtlib,fpbr,run_1,007,1786102297.408,0.118,harness,1787466,harness,branch_MPKI,19.9411
fmtlib,fpbr,run_1,007,1786102297.408,0.118,tool,12350578,idle,IPC,0.9578
fmtlib,fpbr,run_1,007,1786102297.408,0.118,tool,12350578,idle,branch_MPKI,8.1109
fmtlib,fpbr,run_1,008,1786102297.532,0.117,harness,4309128,harness,IPC,0.5786
fmtlib,fpbr,run_1,008,1786102297.532,0.117,harness,4309128,harness,branch_MPKI,16.4523
fmtlib,fpbr,run_1,008,1786102297.532,0.117,tool,45565025,idle,IPC,1.1116
fmtlib,fpbr,run_1,008,1786102297.532,0.117,tool,45565025,idle,branch_MPKI,6.2726
fmtlib,fpbr,run_1,009,1786102297.655,0.117,tool,172204649,shell,IPC,1.6116
fmtlib,fpbr,run_1,009,1786102297.655,0.117,tool,172204649,shell,branch_MPKI,6.332
fmtlib,fpbr,run_1,010,1786102297.778,0.118,tool,446635996,idle,IPC,1.8485
fmtlib,fpbr,run_1,010,1786102297.778,0.118,tool,446635996,idle,branch_MPKI,5.2504
fmtlib,fpbr,run_1,011,1786102297.902,0.119,tool,722158045,idle,IPC,2.5944
fmtlib,fpbr,run_1,011,1786102297.902,0.119,tool,722158045,idle,branch_MPKI,2.6151
fmtlib,fpbr,run_1,012,1786102298.026,0.118,tool,461629476,idle,IPC,1.8493
fmtlib,fpbr,run_1,012,1786102298.026,0.118,tool,461629476,idle,branch_MPKI,2.9835
fmtlib,fpbr,run_1,013,1786102298.15,0.117,tool,725948206,pkg/build,IPC,3.3997
fmtlib,fpbr,run_1,013,1786102298.15,0.117,tool,725948206,pkg/build,branch_MPKI,0.8675
fmtlib,fpbr,run_1,014,1786102298.273,0.117,tool,316345704,idle,IPC,2.0756
fmtlib,fpbr,run_1,014,1786102298.273,0.117,tool,316345704,idle,branch_MPKI,0.5692
fmtlib,fpbr,run_1,015,1786102298.396,0.118,tool,159559602,idle,IPC,0.8433
fmtlib,fpbr,run_1,015,1786102298.396,0.118,tool,159559602,idle,branch_MPKI,8.3097
fmtlib,fpbr,run_1,016,1786102298.52,0.119,tool,628661650,idle,IPC,1.9429
fmtlib,fpbr,run_1,016,1786102298.52,0.119,tool,628661650,idle,branch_MPKI,5.2498
fmtlib,fpbr,run_1,016,1786102298.52,0.119,tool,628661650,idle,vecFP_pct,0.0
fmtlib,fpbr,run_1,017,1786102298.645,0.118,tool,823069615,pkg/build,IPC,2.5413
fmtlib,fpbr,run_1,017,1786102298.645,0.118,tool,823069615,pkg/build,branch_MPKI,2.9387
fmtlib,fpbr,run_1,018,1786102298.768,0.118,tool,316738317,idle,IPC,2.0323
fmtlib,fpbr,run_1,018,1786102298.768,0.118,tool,316738317,idle,branch_MPKI,0.7196
fmtlib,fpbr,run_1,019,1786102298.892,0.118,tool,824828396,idle,IPC,2.8478
fmtlib,fpbr,run_1,019,1786102298.892,0.118,tool,824828396,idle,branch_MPKI,0.7145
fmtlib,fpbr,run_1,020,1786102299.016,0.118,tool,12569348,idle,IPC,1.4629
fmtlib,fpbr,run_1,020,1786102299.016,0.118,tool,12569348,idle,branch_MPKI,2.4973
fmtlib,fpbr,run_1,021,1786102299.139,0.117,tool,19166291,pkg/build,IPC,2.0489
fmtlib,fpbr,run_1,021,1786102299.139,0.117,tool,19166291,pkg/build,branch_MPKI,0.2528
fmtlib,fpbr,run_1,022,1786102299.261,0.117,tool,31541199,idle,IPC,2.1026
fmtlib,fpbr,run_1,022,1786102299.261,0.117,tool,31541199,idle,branch_MPKI,0.23
fmtlib,fpbr,run_1,023,1786102299.384,0.117,tool,60196221,idle,IPC,1.6372
fmtlib,fpbr,run_1,023,1786102299.384,0.117,tool,60196221,idle,branch_MPKI,0.3547
fmtlib,fpbr,run_1,024,1786102299.507,0.118,tool,481027730,idle,IPC,1.485
fmtlib,fpbr,run_1,024,1786102299.507,0.118,tool,481027730,idle,branch_MPKI,6.5815
fmtlib,fpbr,run_1,025,1786102299.631,0.119,tool,493842310,pkg/build,IPC,1.5231
fmtlib,fpbr,run_1,025,1786102299.631,0.119,tool,493842310,pkg/build,branch_MPKI,5.1269
fmtlib,fpbr,run_1,026,1786102299.755,0.118,harness,1876124,harness,IPC,0.3857
fmtlib,fpbr,run_1,026,1786102299.755,0.118,harness,1876124,harness,branch_MPKI,19.7796
fmtlib,fpbr,run_1,026,1786102299.755,0.118,tool,117722587,idle,IPC,0.7452
fmtlib,fpbr,run_1,026,1786102299.755,0.118,tool,117722587,idle,branch_MPKI,6.6106
fmtlib,fpbr,run_1,027,1786102299.879,0.117,harness,1758216,harness,IPC,0.4749
fmtlib,fpbr,run_1,027,1786102299.879,0.117,harness,1758216,harness,branch_MPKI,19.753
fmtlib,fpbr,run_1,027,1786102299.879,0.117,tool,22961380,idle,IPC,0.9765
fmtlib,fpbr,run_1,027,1786102299.879,0.117,tool,22961380,idle,branch_MPKI,6.589
fmtlib,fpbr,run_1,028,1786102300.002,0.117,harness,1761892,harness,IPC,0.4516
fmtlib,fpbr,run_1,028,1786102300.002,0.117,harness,1761892,harness,branch_MPKI,19.7952
fmtlib,fpbr,run_1,028,1786102300.002,0.117,tool,12905756,idle,IPC,0.9944
fmtlib,fpbr,run_1,028,1786102300.002,0.117,tool,12905756,idle,branch_MPKI,7.5524
fmtlib,fpbr,run_1,029,1786102300.124,0.117,harness,6572191,harness,IPC,0.6634
fmtlib,fpbr,run_1,029,1786102300.124,0.117,harness,6572191,harness,branch_MPKI,15.6455
fmtlib,fpbr,run_1,029,1786102300.124,0.117,tool,32893845,idle,IPC,1.0947
fmtlib,fpbr,run_1,029,1786102300.124,0.117,tool,32893845,idle,branch_MPKI,7.1065
fmtlib,fpbr,run_1,030,1786102300.247,0.117,harness,4927703,harness,IPC,0.6028
fmtlib,fpbr,run_1,030,1786102300.247,0.117,harness,4927703,harness,branch_MPKI,17.4233
fmtlib,fpbr,run_1,030,1786102300.247,0.117,tool,21932659,idle,IPC,1.0215
fmtlib,fpbr,run_1,030,1786102300.247,0.117,tool,21932659,idle,branch_MPKI,8.2969
fmtlib,fpbr,run_1,031,1786102300.37,0.117,harness,7331943,harness,IPC,0.7298
fmtlib,fpbr,run_1,031,1786102300.37,0.117,harness,7331943,harness,branch_MPKI,10.7304
fmtlib,fpbr,run_1,031,1786102300.37,0.117,tool,20241444,idle,IPC,1.2219
fmtlib,fpbr,run_1,031,1786102300.37,0.117,tool,20241444,idle,branch_MPKI,5.2408
fmtlib,fpbr,run_1,032,1786102300.493,0.117,harness,10237614,harness,IPC,0.9484
fmtlib,fpbr,run_1,032,1786102300.493,0.117,harness,10237614,harness,branch_MPKI,10.6695
fmtlib,fpbr,run_1,032,1786102300.493,0.117,tool,112261772,idle,IPC,1.4595
fmtlib,fpbr,run_1,032,1786102300.493,0.117,tool,112261772,idle,branch_MPKI,6.982
fmtlib,fpbr,run_1,033,1786102300.616,0.118,harness,33254992,harness,IPC,1.3794
fmtlib,fpbr,run_1,033,1786102300.616,0.118,harness,33254992,harness,branch_MPKI,7.1418
fmtlib,fpbr,run_1,033,1786102300.616,0.118,tool,127789689,idle,IPC,1.5323
fmtlib,fpbr,run_1,033,1786102300.616,0.118,tool,127789689,idle,branch_MPKI,6.4543
fmtlib,fpbr,run_1,034,1786102300.739,0.118,harness,1920477,harness,IPC,0.406
fmtlib,fpbr,run_1,034,1786102300.739,0.118,harness,1920477,harness,branch_MPKI,19.402
fmtlib,fpbr,run_1,034,1786102300.739,0.118,tool,12551248,shell,IPC,0.9233
fmtlib,fpbr,run_1,034,1786102300.739,0.118,tool,12551248,shell,branch_MPKI,7.3615
fmtlib,fpbr,run_1,035,1786102300.863,0.118,harness,47261422,harness,IPC,1.5433
fmtlib,fpbr,run_1,035,1786102300.863,0.118,harness,47261422,harness,branch_MPKI,5.4842
