task,group,run,win,t0,dur,fence,instructions,tag,metric,value
google,fpbr,run_1,001,1786120804.604,0.132,harness,3965511,harness,IPC,0.6378
google,fpbr,run_1,001,1786120804.604,0.132,harness,3965511,harness,branch_MPKI,15.0606
google,fpbr,run_1,001,1786120804.604,0.132,tool,30790694,idle,IPC,1.0825
google,fpbr,run_1,001,1786120804.604,0.132,tool,30790694,idle,branch_MPKI,4.6538
google,fpbr,run_1,003,1786120804.877,0.117,tool,7734694,idle,IPC,0.878
google,fpbr,run_1,003,1786120804.877,0.117,tool,7734694,idle,branch_MPKI,5.4104
google,fpbr,run_1,006,1786120805.256,0.117,harness,2170934,harness,IPC,0.4111
google,fpbr,run_1,006,1786120805.256,0.117,harness,2170934,harness,branch_MPKI,18.0756
google,fpbr,run_1,006,1786120805.256,0.117,tool,21694040,idle,IPC,0.9113
google,fpbr,run_1,006,1786120805.256,0.117,tool,21694040,idle,branch_MPKI,6.4691
google,fpbr,run_1,007,1786120805.38,0.118,harness,913187,harness,IPC,0.5165
google,fpbr,run_1,007,1786120805.38,0.118,harness,913187,harness,branch_MPKI,20.1372
google,fpbr,run_1,007,1786120805.38,0.118,tool,10343666,idle,IPC,0.9052
google,fpbr,run_1,007,1786120805.38,0.118,tool,10343666,idle,branch_MPKI,8.2912
google,fpbr,run_1,008,1786120805.503,0.117,harness,4823815,harness,IPC,0.7868
google,fpbr,run_1,008,1786120805.503,0.117,harness,4823815,harness,branch_MPKI,12.6541
google,fpbr,run_1,008,1786120805.503,0.117,tool,24939977,idle,IPC,1.1797
google,fpbr,run_1,008,1786120805.503,0.117,tool,24939977,idle,branch_MPKI,5.9104
google,fpbr,run_1,009,1786120805.626,0.118,tool,179189491,shell,IPC,1.9312
google,fpbr,run_1,009,1786120805.626,0.118,tool,179189491,shell,branch_MPKI,2.2347
google,fpbr,run_1,010,1786120805.75,0.118,harness,85721697,harness,IPC,3.1386
google,fpbr,run_1,010,1786120805.75,0.118,harness,85721697,harness,branch_MPKI,1.5106
google,fpbr,run_1,010,1786120805.75,0.118,tool,17633310,idle,IPC,1.047
google,fpbr,run_1,010,1786120805.75,0.118,tool,17633310,idle,branch_MPKI,6.1606
google,fpbr,run_1,011,1786120805.873,0.118,harness,1766579,harness,IPC,0.4479
google,fpbr,run_1,011,1786120805.873,0.118,harness,1766579,harness,branch_MPKI,19.767
google,fpbr,run_1,011,1786120805.873,0.118,tool,12429743,idle,IPC,0.8775
google,fpbr,run_1,011,1786120805.873,0.118,tool,12429743,idle,branch_MPKI,8.8556
google,fpbr,run_1,012,1786120805.997,0.118,harness,37162498,harness,IPC,0.9575
google,fpbr,run_1,012,1786120805.997,0.118,harness,37162498,harness,branch_MPKI,11.7947
google,fpbr,run_1,012,1786120805.997,0.118,tool,62772629,idle,IPC,1.1381
google,fpbr,run_1,012,1786120805.997,0.118,tool,62772629,idle,branch_MPKI,6.5518
google,fpbr,run_1,013,1786120806.121,0.117,harness,1876754,harness,IPC,0.4605
google,fpbr,run_1,013,1786120806.121,0.117,harness,1876754,harness,branch_MPKI,19.8902
google,fpbr,run_1,013,1786120806.121,0.117,tool,27422123,shell,IPC,1.1002
google,fpbr,run_1,013,1786120806.121,0.117,tool,27422123,shell,branch_MPKI,5.4994
google,fpbr,run_1,014,1786120806.244,0.117,tool,19271300,idle,IPC,1.2915
google,fpbr,run_1,014,1786120806.244,0.117,tool,19271300,idle,branch_MPKI,4.3297
google,fpbr,run_1,015,1786120806.366,0.117,harness,1757721,harness,IPC,0.5176
google,fpbr,run_1,015,1786120806.366,0.117,harness,1757721,harness,branch_MPKI,19.8177
google,fpbr,run_1,015,1786120806.366,0.117,tool,12131906,idle,IPC,0.9808
google,fpbr,run_1,015,1786120806.366,0.117,tool,12131906,idle,branch_MPKI,8.039
google,fpbr,run_1,016,1786120806.489,0.117,harness,6579566,harness,IPC,0.6803
google,fpbr,run_1,016,1786120806.489,0.117,harness,6579566,harness,branch_MPKI,15.769
google,fpbr,run_1,016,1786120806.489,0.117,tool,32549772,idle,IPC,1.0767
google,fpbr,run_1,016,1786120806.489,0.117,tool,32549772,idle,branch_MPKI,7.379
google,fpbr,run_1,017,1786120806.612,0.117,harness,4891009,harness,IPC,0.6026
google,fpbr,run_1,017,1786120806.612,0.117,harness,4891009,harness,branch_MPKI,17.6013
google,fpbr,run_1,017,1786120806.612,0.117,tool,22337881,shell,IPC,0.9909
google,fpbr,run_1,017,1786120806.612,0.117,tool,22337881,shell,branch_MPKI,8.2335
google,fpbr,run_1,018,1786120806.735,0.118,harness,7306566,harness,IPC,0.7112
google,fpbr,run_1,018,1786120806.735,0.118,harness,7306566,harness,branch_MPKI,10.777
google,fpbr,run_1,018,1786120806.735,0.118,tool,13235694,idle,IPC,0.9957
google,fpbr,run_1,018,1786120806.735,0.118,tool,13235694,idle,branch_MPKI,7.0883
google,fpbr,run_1,019,1786120806.859,0.117,harness,10228983,harness,IPC,0.9799
google,fpbr,run_1,019,1786120806.859,0.117,harness,10228983,harness,branch_MPKI,10.6081
google,fpbr,run_1,019,1786120806.859,0.117,tool,15329530,idle,IPC,0.9592
google,fpbr,run_1,019,1786120806.859,0.117,tool,15329530,idle,branch_MPKI,7.3739
google,fpbr,run_1,020,1786120806.981,0.118,harness,35852859,harness,IPC,1.3871
google,fpbr,run_1,020,1786120806.981,0.118,harness,35852859,harness,branch_MPKI,7.3597
google,fpbr,run_1,020,1786120806.981,0.118,tool,22156510,idle,IPC,0.9753
google,fpbr,run_1,020,1786120806.981,0.118,tool,22156510,idle,branch_MPKI,7.7782
google,fpbr,run_1,021,1786120807.105,0.12,harness,1871904,harness,IPC,0.4311
google,fpbr,run_1,021,1786120807.105,0.12,harness,1871904,harness,branch_MPKI,19.3835
google,fpbr,run_1,021,1786120807.105,0.12,tool,15047160,shell,IPC,0.908
google,fpbr,run_1,021,1786120807.105,0.12,tool,15047160,shell,branch_MPKI,7.5083
google,fpbr,run_1,022,1786120807.23,0.118,harness,12197191,harness,IPC,1.2436
google,fpbr,run_1,022,1786120807.23,0.118,harness,12197191,harness,branch_MPKI,8.6347
google,fpbr,run_1,022,1786120807.23,0.118,tool,41112352,idle,IPC,1.5629
google,fpbr,run_1,022,1786120807.23,0.118,tool,41112352,idle,branch_MPKI,3.5667
google,fpbr,run_1,023,1786120807.353,0.118,harness,6063247,harness,IPC,1.2857
google,fpbr,run_1,023,1786120807.353,0.118,harness,6063247,harness,branch_MPKI,8.854
google,fpbr,run_1,023,1786120807.353,0.118,tool,5870315,idle,IPC,0.9544
google,fpbr,run_1,023,1786120807.353,0.118,tool,5870315,idle,branch_MPKI,7.4269
google,fpbr,run_1,024,1786120807.477,0.117,harness,1768415,harness,IPC,0.4964
google,fpbr,run_1,024,1786120807.477,0.117,harness,1768415,harness,branch_MPKI,20.0021
google,fpbr,run_1,024,1786120807.477,0.117,tool,16741140,idle,IPC,1.0255
google,fpbr,run_1,024,1786120807.477,0.117,tool,16741140,idle,branch_MPKI,7.0765
google,fpbr,run_1,025,1786120807.6,0.118,harness,35975803,harness,IPC,1.1709
google,fpbr,run_1,025,1786120807.6,0.118,harness,35975803,harness,branch_MPKI,9.1069
google,fpbr,run_1,025,1786120807.6,0.118,tool,21677886,shell,IPC,0.9842
google,fpbr,run_1,025,1786120807.6,0.118,tool,21677886,shell,branch_MPKI,7.6271
google,fpbr,run_1,026,1786120807.724,0.118,harness,1762145,harness,IPC,0.5784
google,fpbr,run_1,026,1786120807.724,0.118,harness,1762145,harness,branch_MPKI,19.0762
google,fpbr,run_1,026,1786120807.724,0.118,tool,15745114,idle,IPC,0.9902
google,fpbr,run_1,026,1786120807.724,0.118,tool,15745114,idle,branch_MPKI,7.1058
google,fpbr,run_1,027,1786120807.847,0.118,harness,28466056,harness,IPC,1.2602
google,fpbr,run_1,027,1786120807.847,0.118,harness,28466056,harness,branch_MPKI,8.998
google,fpbr,run_1,027,1786120807.847,0.118,tool,17412041,idle,IPC,1.0378
google,fpbr,run_1,027,1786120807.847,0.118,tool,17412041,idle,branch_MPKI,8.0701
google,fpbr,run_1,028,1786120807.97,0.117,harness,1793857,harness,IPC,0.4486
google,fpbr,run_1,028,1786120807.97,0.117,harness,1793857,harness,branch_MPKI,19.9615
google,fpbr,run_1,028,1786120807.97,0.117,tool,15007157,idle,IPC,1.0007
google,fpbr,run_1,028,1786120807.97,0.117,tool,15007157,idle,branch_MPKI,7.3735
google,fpbr,run_1,029,1786120808.093,0.117,harness,37999769,harness,IPC,1.4254
google,fpbr,run_1,029,1786120808.093,0.117,harness,37999769,harness,branch_MPKI,7.2447
google,fpbr,run_1,029,1786120808.093,0.117,tool,26826244,shell,IPC,1.0976
google,fpbr,run_1,029,1786120808.093,0.117,tool,26826244,shell,branch_MPKI,6.5359
google,fpbr,run_1,030,1786120808.216,0.118,harness,1810236,harness,IPC,0.4413
google,fpbr,run_1,030,1786120808.216,0.118,harness,1810236,harness,branch_MPKI,19.7991
google,fpbr,run_1,030,1786120808.216,0.118,tool,15585305,idle,IPC,0.9958
google,fpbr,run_1,030,1786120808.216,0.118,tool,15585305,idle,branch_MPKI,7.5336
google,fpbr,run_1,031,1786120808.339,0.118,harness,47272242,harness,IPC,1.6082
google,fpbr,run_1,031,1786120808.339,0.118,harness,47272242,harness,branch_MPKI,5.8274
google,fpbr,run_1,031,1786120808.339,0.118,tool,22015025,idle,IPC,1.0821
google,fpbr,run_1,031,1786120808.339,0.118,tool,22015025,idle,branch_MPKI,7.0097
google,fpbr,run_1,032,1786120808.462,0.117,harness,992060,harness,IPC,0.4948
google,fpbr,run_1,032,1786120808.462,0.117,harness,992060,harness,branch_MPKI,17.0211
google,fpbr,run_1,032,1786120808.462,0.117,tool,5875856,idle,IPC,0.9922
google,fpbr,run_1,032,1786120808.462,0.117,tool,5875856,idle,branch_MPKI,7.0378
google,fpbr,run_1,033,1786120808.585,0.118,harness,1764531,harness,IPC,0.4404
google,fpbr,run_1,033,1786120808.585,0.118,harness,1764531,harness,branch_MPKI,20.0036
google,fpbr,run_1,033,1786120808.585,0.118,tool,36996165,shell,IPC,1.3975
google,fpbr,run_1,033,1786120808.585,0.118,tool,36996165,shell,branch_MPKI,4.3411
google,fpbr,run_1,034,1786120808.708,0.117,harness,37451909,harness,IPC,1.4219
