task,group,run,win,t0,dur,fence,instructions,tag,metric,value
php-cs-fixer,fpbr,run_1,000,1786125399.152,0.146,harness,14669341,harness,IPC,2.0908
php-cs-fixer,fpbr,run_1,000,1786125399.152,0.146,harness,14669341,harness,branch_MPKI,3.2115
php-cs-fixer,fpbr,run_1,000,1786125399.152,0.146,tool,651852616,idle,IPC,1.9768
php-cs-fixer,fpbr,run_1,000,1786125399.152,0.146,tool,651852616,idle,branch_MPKI,3.8424
php-cs-fixer,fpbr,run_1,001,1786125399.304,0.129,tool,926005766,idle,IPC,2.7816
php-cs-fixer,fpbr,run_1,001,1786125399.304,0.129,tool,926005766,idle,branch_MPKI,1.6791
php-cs-fixer,fpbr,run_1,002,1786125399.439,0.13,harness,8751479,harness,IPC,1.0879
php-cs-fixer,fpbr,run_1,002,1786125399.439,0.13,harness,8751479,harness,branch_MPKI,7.5505
php-cs-fixer,fpbr,run_1,002,1786125399.439,0.13,tool,311787974,idle,IPC,1.6859
php-cs-fixer,fpbr,run_1,002,1786125399.439,0.13,tool,311787974,idle,branch_MPKI,5.6252
php-cs-fixer,fpbr,run_1,004,1786125399.698,0.118,harness,4676328,harness,IPC,0.5692
php-cs-fixer,fpbr,run_1,004,1786125399.698,0.118,harness,4676328,harness,branch_MPKI,15.9161
php-cs-fixer,fpbr,run_1,004,1786125399.698,0.118,tool,56654166,idle,IPC,1.293
php-cs-fixer,fpbr,run_1,004,1786125399.698,0.118,tool,56654166,idle,branch_MPKI,4.7351
php-cs-fixer,fpbr,run_1,007,1786125400.071,0.118,tool,3703978,shell,IPC,0.7877
php-cs-fixer,fpbr,run_1,007,1786125400.071,0.118,tool,3703978,shell,branch_MPKI,5.2927
php-cs-fixer,fpbr,run_1,009,1786125400.318,0.117,harness,2153699,harness,IPC,0.4064
php-cs-fixer,fpbr,run_1,009,1786125400.318,0.117,harness,2153699,harness,branch_MPKI,18.2054
php-cs-fixer,fpbr,run_1,009,1786125400.318,0.117,tool,20366853,idle,IPC,0.8996
php-cs-fixer,fpbr,run_1,009,1786125400.318,0.117,tool,20366853,idle,branch_MPKI,6.6396
php-cs-fixer,fpbr,run_1,010,1786125400.441,0.117,harness,3795960,harness,IPC,0.5917
