task,group,run,win,t0,dur,fence,instructions,tag,metric,value
prometheus,fpbr,run_1,000,1786132283.198,0.152,tool,656836789,agent-tool,IPC,2.0148
prometheus,fpbr,run_1,000,1786132283.198,0.152,tool,656836789,agent-tool,branch_MPKI,3.4748
prometheus,fpbr,run_1,001,1786132283.356,0.125,tool,1012211908,idle,IPC,3.0737
prometheus,fpbr,run_1,001,1786132283.356,0.125,tool,1012211908,idle,branch_MPKI,1.077
prometheus,fpbr,run_1,002,1786132283.487,0.133,harness,4789376,harness,IPC,0.562
prometheus,fpbr,run_1,002,1786132283.487,0.133,harness,4789376,harness,branch_MPKI,15.7119
prometheus,fpbr,run_1,002,1786132283.487,0.133,tool,166026824,idle,IPC,1.6681
prometheus,fpbr,run_1,002,1786132283.487,0.133,tool,166026824,idle,branch_MPKI,5.3161
prometheus,fpbr,run_1,005,1786132283.873,0.117,tool,17421303,idle,IPC,0.988
prometheus,fpbr,run_1,005,1786132283.873,0.117,tool,17421303,idle,branch_MPKI,5.0876
prometheus,fpbr,run_1,008,1786132284.248,0.118,harness,2165865,harness,IPC,0.4086
prometheus,fpbr,run_1,008,1786132284.248,0.118,harness,2165865,harness,branch_MPKI,18.0113
prometheus,fpbr,run_1,008,1786132284.248,0.118,tool,22565513,shell,IPC,0.9323
prometheus,fpbr,run_1,008,1786132284.248,0.118,tool,22565513,shell,branch_MPKI,6.212
prometheus,fpbr,run_1,009,1786132284.372,0.117,harness,996071,harness,IPC,0.3688
prometheus,fpbr,run_1,009,1786132284.372,0.117,harness,996071,harness,branch_MPKI,20.5718
prometheus,fpbr,run_1,009,1786132284.372,0.117,tool,2936492,idle,IPC,0.6967
prometheus,fpbr,run_1,009,1786132284.372,0.117,tool,2936492,idle,branch_MPKI,11.7552
prometheus,fpbr,run_1,010,1786132284.495,0.118,harness,4812064,harness,IPC,0.748
prometheus,fpbr,run_1,010,1786132284.495,0.118,harness,4812064,harness,branch_MPKI,12.4747
prometheus,fpbr,run_1,010,1786132284.495,0.118,tool,26538266,idle,IPC,1.1093
prometheus,fpbr,run_1,010,1786132284.495,0.118,tool,26538266,idle,branch_MPKI,5.7929
prometheus,fpbr,run_1,011,1786132284.619,0.119,tool,255511700,idle,IPC,2.6075
prometheus,fpbr,run_1,011,1786132284.619,0.119,tool,255511700,idle,branch_MPKI,1.3629
prometheus,fpbr,run_1,012,1786132284.743,0.119,tool,533223070,git,IPC,3.2191
prometheus,fpbr,run_1,012,1786132284.743,0.119,tool,533223070,git,branch_MPKI,1.1999
