task,group,run,win,t0,dur,fence,instructions,tag,metric,value
rubocop,fpbr,run_1,000,1786119757.492,0.153,tool,457688586,idle,IPC,1.8421
rubocop,fpbr,run_1,000,1786119757.492,0.153,tool,457688586,idle,branch_MPKI,4.6057
rubocop,fpbr,run_1,001,1786119757.651,0.128,harness,4705204,harness,IPC,0.5694
rubocop,fpbr,run_1,001,1786119757.651,0.128,harness,4705204,harness,branch_MPKI,15.8002
rubocop,fpbr,run_1,001,1786119757.651,0.128,tool,57387069,idle,IPC,1.3292
rubocop,fpbr,run_1,001,1786119757.651,0.128,tool,57387069,idle,branch_MPKI,4.6588
rubocop,fpbr,run_1,004,1786119758.044,0.117,tool,4260129,idle,IPC,0.8089
rubocop,fpbr,run_1,004,1786119758.044,0.117,tool,4260129,idle,branch_MPKI,5.0489
rubocop,fpbr,run_1,006,1786119758.289,0.117,harness,2138007,harness,IPC,0.4168
rubocop,fpbr,run_1,006,1786119758.289,0.117,harness,2138007,harness,branch_MPKI,18.0589
rubocop,fpbr,run_1,006,1786119758.289,0.117,tool,21171376,shell,IPC,0.9248
rubocop,fpbr,run_1,006,1786119758.289,0.117,tool,21171376,shell,branch_MPKI,6.4346
rubocop,fpbr,run_1,007,1786119758.412,0.117,harness,3786863,harness,IPC,0.6048
rubocop,fpbr,run_1,007,1786119758.412,0.117,harness,3786863,harness,branch_MPKI,15.3599
rubocop,fpbr,run_1,007,1786119758.412,0.117,tool,15964411,idle,IPC,0.959
rubocop,fpbr,run_1,007,1786119758.412,0.117,tool,15964411,idle,branch_MPKI,7.6656
rubocop,fpbr,run_1,008,1786119758.535,0.118,harness,1777985,harness,IPC,0.4436
rubocop,fpbr,run_1,008,1786119758.535,0.118,harness,1777985,harness,branch_MPKI,19.9366
rubocop,fpbr,run_1,008,1786119758.535,0.118,tool,19368954,idle,IPC,0.9969
rubocop,fpbr,run_1,008,1786119758.535,0.118,tool,19368954,idle,branch_MPKI,7.1222
