task,group,run,win,t0,dur,fence,instructions,tag,metric,value
scikit-learn,fpbr,run_1,000,1786124166.695,0.152,harness,4759413,harness,IPC,0.5712
scikit-learn,fpbr,run_1,000,1786124166.695,0.152,harness,4759413,harness,branch_MPKI,15.7854
scikit-learn,fpbr,run_1,000,1786124166.695,0.152,tool,77290944,idle,IPC,1.2602
scikit-learn,fpbr,run_1,000,1786124166.695,0.152,tool,77290944,idle,branch_MPKI,5.0453
scikit-learn,fpbr,run_1,001,1786124166.853,0.129,tool,228690572,idle,IPC,1.418
scikit-learn,fpbr,run_1,001,1786124166.853,0.129,tool,228690572,idle,branch_MPKI,6.5073
scikit-learn,fpbr,run_1,001,1786124166.853,0.129,tool,228690572,idle,vecFP_pct,0.0
scikit-learn,fpbr,run_1,003,1786124167.124,0.119,tool,330198436,idle,IPC,1.551
scikit-learn,fpbr,run_1,003,1786124167.124,0.119,tool,330198436,idle,branch_MPKI,6.9304
scikit-learn,fpbr,run_1,003,1786124167.124,0.119,tool,330198436,idle,vecFP_pct,0.0
scikit-learn,fpbr,run_1,006,1786124167.498,0.12,harness,2138527,harness,IPC,0.4025
scikit-learn,fpbr,run_1,006,1786124167.498,0.12,harness,2138527,harness,branch_MPKI,18.1087
scikit-learn,fpbr,run_1,006,1786124167.498,0.12,tool,20708648,shell,IPC,0.9173
scikit-learn,fpbr,run_1,006,1786124167.498,0.12,tool,20708648,shell,branch_MPKI,6.4335
scikit-learn,fpbr,run_1,007,1786124167.623,0.118,harness,3785475,harness,IPC,0.5982
scikit-learn,fpbr,run_1,007,1786124167.623,0.118,harness,3785475,harness,branch_MPKI,15.3806
scikit-learn,fpbr,run_1,007,1786124167.623,0.118,tool,14509629,idle,IPC,0.8855
scikit-learn,fpbr,run_1,007,1786124167.623,0.118,tool,14509629,idle,branch_MPKI,8.5667
scikit-learn,fpbr,run_1,008,1786124167.747,0.117,harness,1773222,harness,IPC,0.4383
scikit-learn,fpbr,run_1,008,1786124167.747,0.117,harness,1773222,harness,branch_MPKI,19.9417
scikit-learn,fpbr,run_1,008,1786124167.747,0.117,tool,18929315,idle,IPC,0.9837
scikit-learn,fpbr,run_1,008,1786124167.747,0.117,tool,18929315,idle,branch_MPKI,7.1971
scikit-learn,fpbr,run_1,009,1786124167.87,0.117,harness,4799492,harness,IPC,0.7285
scikit-learn,fpbr,run_1,009,1786124167.87,0.117,harness,4799492,harness,branch_MPKI,12.5197
scikit-learn,fpbr,run_1,009,1786124167.87,0.117,tool,403105486,idle,IPC,2.8259
scikit-learn,fpbr,run_1,009,1786124167.87,0.117,tool,403105486,idle,branch_MPKI,1.4839
scikit-learn,fpbr,run_1,010,1786124167.993,0.118,harness,17680045,harness,IPC,2.1238
scikit-learn,fpbr,run_1,010,1786124167.993,0.118,harness,17680045,harness,branch_MPKI,2.7148
scikit-learn,fpbr,run_1,010,1786124167.993,0.118,tool,322224640,shell,IPC,2.3395
scikit-learn,fpbr,run_1,010,1786124167.993,0.118,tool,322224640,shell,branch_MPKI,1.9005
scikit-learn,fpbr,run_1,011,1786124168.117,0.118,harness,1777942,harness,IPC,0.4215
scikit-learn,fpbr,run_1,011,1786124168.117,0.118,harness,1777942,harness,branch_MPKI,19.7532
scikit-learn,fpbr,run_1,011,1786124168.117,0.118,tool,14605089,idle,IPC,0.9606
scikit-learn,fpbr,run_1,011,1786124168.117,0.118,tool,14605089,idle,branch_MPKI,7.7185
scikit-learn,fpbr,run_1,012,1786124168.24,0.118,harness,37269661,harness,IPC,0.9472
scikit-learn,fpbr,run_1,012,1786124168.24,0.118,harness,37269661,harness,branch_MPKI,11.7362
scikit-learn,fpbr,run_1,012,1786124168.24,0.118,tool,51108500,idle,IPC,1.1983
scikit-learn,fpbr,run_1,012,1786124168.24,0.118,tool,51108500,idle,branch_MPKI,6.8871
scikit-learn,fpbr,run_1,013,1786124168.364,0.118,harness,1888240,harness,IPC,0.4499
scikit-learn,fpbr,run_1,013,1786124168.364,0.118,harness,1888240,harness,branch_MPKI,19.8381
scikit-learn,fpbr,run_1,013,1786124168.364,0.118,tool,31334238,idle,IPC,1.1126
scikit-learn,fpbr,run_1,013,1786124168.364,0.118,tool,31334238,idle,branch_MPKI,5.4475
scikit-learn,fpbr,run_1,014,1786124168.487,0.118,tool,481125977,idle,IPC,1.726
scikit-learn,fpbr,run_1,014,1786124168.487,0.118,tool,481125977,idle,branch_MPKI,6.1365
scikit-learn,fpbr,run_1,015,1786124168.611,0.119,tool,657636209,pkg/build,IPC,2.0251
scikit-learn,fpbr,run_1,015,1786124168.611,0.119,tool,657636209,pkg/build,branch_MPKI,4.1875
scikit-learn,fpbr,run_1,016,1786124168.735,0.118,tool,343740754,idle,IPC,2.6316
scikit-learn,fpbr,run_1,016,1786124168.735,0.118,tool,343740754,idle,branch_MPKI,1.5715
scikit-learn,fpbr,run_1,017,1786124168.859,0.118,tool,29199632,idle,IPC,1.2891
scikit-learn,fpbr,run_1,017,1786124168.859,0.118,tool,29199632,idle,branch_MPKI,5.4596
scikit-learn,fpbr,run_1,018,1786124168.983,0.118,tool,481612444,idle,IPC,2.2911
scikit-learn,fpbr,run_1,018,1786124168.983,0.118,tool,481612444,idle,branch_MPKI,2.9229
scikit-learn,fpbr,run_1,019,1786124169.107,0.119,tool,474371192,pkg/build,IPC,1.4724
scikit-learn,fpbr,run_1,019,1786124169.107,0.119,tool,474371192,pkg/build,branch_MPKI,3.7162
scikit-learn,fpbr,run_1,019,1786124169.107,0.119,tool,474371192,pkg/build,vecFP_pct,0.0
scikit-learn,fpbr,run_1,020,1786124169.233,0.119,tool,620133059,idle,IPC,1.9163
