task,group,run,win,t0,dur,fence,instructions,tag,metric,value
sympy,fpbr,run_1,000,1786129683.122,0.149,harness,8601593,harness,IPC,1.1518
sympy,fpbr,run_1,000,1786129683.122,0.149,harness,8601593,harness,branch_MPKI,7.4502
sympy,fpbr,run_1,000,1786129683.122,0.149,tool,650496387,idle,IPC,1.9954
sympy,fpbr,run_1,000,1786129683.122,0.149,tool,650496387,idle,branch_MPKI,3.5702
sympy,fpbr,run_1,001,1786129683.277,0.128,tool,1010170199,agent-tool,IPC,3.0959
sympy,fpbr,run_1,001,1786129683.277,0.128,tool,1010170199,agent-tool,branch_MPKI,1.0107
sympy,fpbr,run_1,002,1786129683.411,0.131,harness,4810955,harness,IPC,0.514
sympy,fpbr,run_1,002,1786129683.411,0.131,harness,4810955,harness,branch_MPKI,16.329
sympy,fpbr,run_1,002,1786129683.411,0.131,tool,293826313,idle,IPC,1.4778
sympy,fpbr,run_1,002,1786129683.411,0.131,tool,293826313,idle,branch_MPKI,6.0712
sympy,fpbr,run_1,003,1786129683.548,0.118,tool,223692116,idle,IPC,1.3879
sympy,fpbr,run_1,003,1786129683.548,0.118,tool,223692116,idle,branch_MPKI,6.5416
sympy,fpbr,run_1,003,1786129683.548,0.118,tool,223692116,idle,vecFP_pct,0.0
sympy,fpbr,run_1,005,1786129683.796,0.118,tool,302988651,python-other,IPC,1.5391
sympy,fpbr,run_1,005,1786129683.796,0.118,tool,302988651,python-other,branch_MPKI,7.0608
sympy,fpbr,run_1,005,1786129683.796,0.118,tool,302988651,python-other,vecFP_pct,0.0
sympy,fpbr,run_1,006,1786129683.92,0.119,tool,5479781,idle,IPC,1.0461
sympy,fpbr,run_1,006,1786129683.92,0.119,tool,5479781,idle,branch_MPKI,4.5664
sympy,fpbr,run_1,008,1786129684.168,0.117,harness,2173549,harness,IPC,0.4058
sympy,fpbr,run_1,008,1786129684.168,0.117,harness,2173549,harness,branch_MPKI,18.1252
sympy,fpbr,run_1,008,1786129684.168,0.117,tool,20731088,idle,IPC,0.9183
sympy,fpbr,run_1,008,1786129684.168,0.117,tool,20731088,idle,branch_MPKI,6.438
sympy,fpbr,run_1,009,1786129684.291,0.117,harness,3782725,harness,IPC,0.6236
sympy,fpbr,run_1,009,1786129684.291,0.117,harness,3782725,harness,branch_MPKI,15.4487
sympy,fpbr,run_1,009,1786129684.291,0.117,tool,14084664,shell,IPC,0.9264
sympy,fpbr,run_1,009,1786129684.291,0.117,tool,14084664,shell,branch_MPKI,8.3235
sympy,fpbr,run_1,010,1786129684.414,0.117,harness,1768416,harness,IPC,0.4382
sympy,fpbr,run_1,010,1786129684.414,0.117,harness,1768416,harness,branch_MPKI,19.9365
sympy,fpbr,run_1,010,1786129684.414,0.117,tool,19127463,idle,IPC,0.9791
sympy,fpbr,run_1,010,1786129684.414,0.117,tool,19127463,idle,branch_MPKI,7.2291
sympy,fpbr,run_1,011,1786129684.537,0.12,harness,4811178,harness,IPC,0.7592
sympy,fpbr,run_1,011,1786129684.537,0.12,harness,4811178,harness,branch_MPKI,12.5508
sympy,fpbr,run_1,011,1786129684.537,0.12,tool,115471041,idle,IPC,1.5543
sympy,fpbr,run_1,011,1786129684.537,0.12,tool,115471041,idle,branch_MPKI,2.6952
sympy,fpbr,run_1,012,1786129684.662,0.119,tool,691125547,idle,IPC,3.8289
sympy,fpbr,run_1,012,1786129684.662,0.119,tool,691125547,idle,branch_MPKI,0.9583
sympy,fpbr,run_1,013,1786129684.787,0.118,harness,2652308,harness,IPC,0.5678
sympy,fpbr,run_1,013,1786129684.787,0.118,harness,2652308,harness,branch_MPKI,14.4927
sympy,fpbr,run_1,013,1786129684.787,0.118,tool,200591472,shell,IPC,1.8464
sympy,fpbr,run_1,013,1786129684.787,0.118,tool,200591472,shell,branch_MPKI,2.2818
sympy,fpbr,run_1,014,1786129684.911,0.118,harness,1773749,harness,IPC,0.5199
sympy,fpbr,run_1,014,1786129684.911,0.118,harness,1773749,harness,branch_MPKI,19.6014
sympy,fpbr,run_1,014,1786129684.911,0.118,tool,14558103,idle,IPC,0.97
sympy,fpbr,run_1,014,1786129684.911,0.118,tool,14558103,idle,branch_MPKI,7.7014
sympy,fpbr,run_1,015,1786129685.035,0.118,harness,37086009,harness,IPC,0.9788
sympy,fpbr,run_1,015,1786129685.035,0.118,harness,37086009,harness,branch_MPKI,11.8379
sympy,fpbr,run_1,015,1786129685.035,0.118,tool,50986044,idle,IPC,1.2075
sympy,fpbr,run_1,015,1786129685.035,0.118,tool,50986044,idle,branch_MPKI,6.8626
sympy,fpbr,run_1,016,1786129685.158,0.118,harness,1872436,harness,IPC,0.5014
sympy,fpbr,run_1,016,1786129685.158,0.118,harness,1872436,harness,branch_MPKI,20.2485
sympy,fpbr,run_1,016,1786129685.158,0.118,tool,31441405,idle,IPC,1.0865
sympy,fpbr,run_1,016,1786129685.158,0.118,tool,31441405,idle,branch_MPKI,5.6333
sympy,fpbr,run_1,017,1786129685.282,0.118,tool,249172855,pkg/build,IPC,1.5873
sympy,fpbr,run_1,017,1786129685.282,0.118,tool,249172855,pkg/build,branch_MPKI,6.3893
sympy,fpbr,run_1,018,1786129685.406,0.118,tool,380897592,idle,IPC,1.7448
sympy,fpbr,run_1,018,1786129685.406,0.118,tool,380897592,idle,branch_MPKI,5.8228
sympy,fpbr,run_1,019,1786129685.53,0.118,tool,496999459,idle,IPC,1.9592
sympy,fpbr,run_1,019,1786129685.53,0.118,tool,496999459,idle,branch_MPKI,4.0049
sympy,fpbr,run_1,020,1786129685.654,0.118,tool,255416348,idle,IPC,2.4978
