task,group,run,win,t0,dur,fence,instructions,tag,metric,value
tokio-rs,fpbr,run_1,000,1786121861.016,0.15,harness,7048299,harness,IPC,1.1288
tokio-rs,fpbr,run_1,000,1786121861.016,0.15,harness,7048299,harness,branch_MPKI,7.3287
tokio-rs,fpbr,run_1,000,1786121861.016,0.15,tool,757777473,idle,IPC,2.3385
tokio-rs,fpbr,run_1,000,1786121861.016,0.15,tool,757777473,idle,branch_MPKI,2.5708
tokio-rs,fpbr,run_1,001,1786121861.172,0.129,tool,548195815,idle,IPC,1.9968
tokio-rs,fpbr,run_1,001,1786121861.172,0.129,tool,548195815,idle,branch_MPKI,3.9726
tokio-rs,fpbr,run_1,002,1786121861.307,0.131,harness,4684313,harness,IPC,0.5669
tokio-rs,fpbr,run_1,002,1786121861.307,0.131,harness,4684313,harness,branch_MPKI,15.6998
tokio-rs,fpbr,run_1,002,1786121861.307,0.131,tool,56590935,idle,IPC,1.3855
tokio-rs,fpbr,run_1,002,1786121861.307,0.131,tool,56590935,idle,branch_MPKI,4.7146
tokio-rs,fpbr,run_1,005,1786121861.69,0.121,tool,3638394,shell,IPC,0.7536
tokio-rs,fpbr,run_1,005,1786121861.69,0.121,tool,3638394,shell,branch_MPKI,5.5827
tokio-rs,fpbr,run_1,007,1786121861.941,0.117,harness,2130148,harness,IPC,0.4062
tokio-rs,fpbr,run_1,007,1786121861.941,0.117,harness,2130148,harness,branch_MPKI,18.1443
tokio-rs,fpbr,run_1,007,1786121861.941,0.117,tool,19965727,idle,IPC,0.8987
tokio-rs,fpbr,run_1,007,1786121861.941,0.117,tool,19965727,idle,branch_MPKI,6.6739
tokio-rs,fpbr,run_1,008,1786121862.063,0.117,harness,3791858,harness,IPC,0.5687
tokio-rs,fpbr,run_1,008,1786121862.063,0.117,harness,3791858,harness,branch_MPKI,15.287
tokio-rs,fpbr,run_1,008,1786121862.063,0.117,tool,15321898,idle,IPC,0.8859
tokio-rs,fpbr,run_1,008,1786121862.063,0.117,tool,15321898,idle,branch_MPKI,8.0238
tokio-rs,fpbr,run_1,009,1786121862.186,0.117,harness,1785029,harness,IPC,0.4068
tokio-rs,fpbr,run_1,009,1786121862.186,0.117,harness,1785029,harness,branch_MPKI,19.9537
tokio-rs,fpbr,run_1,009,1786121862.186,0.117,tool,12393977,shell,IPC,0.8857
tokio-rs,fpbr,run_1,009,1786121862.186,0.117,tool,12393977,shell,branch_MPKI,8.494
tokio-rs,fpbr,run_1,010,1786121862.309,0.117,harness,4801637,harness,IPC,0.7364
tokio-rs,fpbr,run_1,010,1786121862.309,0.117,harness,4801637,harness,branch_MPKI,12.5124
tokio-rs,fpbr,run_1,010,1786121862.309,0.117,tool,28757487,idle,IPC,1.2095
tokio-rs,fpbr,run_1,010,1786121862.309,0.117,tool,28757487,idle,branch_MPKI,5.0969
tokio-rs,fpbr,run_1,011,1786121862.432,0.119,tool,327373083,idle,IPC,2.5197
tokio-rs,fpbr,run_1,011,1786121862.432,0.119,tool,327373083,idle,branch_MPKI,1.5251
tokio-rs,fpbr,run_1,012,1786121862.557,0.118,harness,100504925,harness,IPC,3.2905
tokio-rs,fpbr,run_1,012,1786121862.557,0.118,harness,100504925,harness,branch_MPKI,1.3153
tokio-rs,fpbr,run_1,012,1786121862.557,0.118,tool,18026514,idle,IPC,1.066
tokio-rs,fpbr,run_1,012,1786121862.557,0.118,tool,18026514,idle,branch_MPKI,6.0902
tokio-rs,fpbr,run_1,013,1786121862.68,0.118,harness,1782748,harness,IPC,0.4487
tokio-rs,fpbr,run_1,013,1786121862.68,0.118,harness,1782748,harness,branch_MPKI,19.8676
tokio-rs,fpbr,run_1,013,1786121862.68,0.118,tool,12812231,shell,IPC,0.9057
tokio-rs,fpbr,run_1,013,1786121862.68,0.118,tool,12812231,shell,branch_MPKI,8.5535
tokio-rs,fpbr,run_1,014,1786121862.803,0.117,harness,4247392,harness,IPC,0.6049
tokio-rs,fpbr,run_1,014,1786121862.803,0.117,harness,4247392,harness,branch_MPKI,15.8139
tokio-rs,fpbr,run_1,014,1786121862.803,0.117,tool,45320970,idle,IPC,1.1237
tokio-rs,fpbr,run_1,014,1786121862.803,0.117,tool,45320970,idle,branch_MPKI,6.3846
tokio-rs,fpbr,run_1,015,1786121862.926,0.118,tool,10392412,idle,IPC,1.0795
tokio-rs,fpbr,run_1,015,1786121862.926,0.118,tool,10392412,idle,branch_MPKI,4.0029
tokio-rs,fpbr,run_1,016,1786121863.05,0.118,harness,1774957,harness,IPC,0.4458
tokio-rs,fpbr,run_1,016,1786121863.05,0.118,harness,1774957,harness,branch_MPKI,19.7858
tokio-rs,fpbr,run_1,016,1786121863.05,0.118,tool,21996270,idle,IPC,0.9607
tokio-rs,fpbr,run_1,016,1786121863.05,0.118,tool,21996270,idle,branch_MPKI,7.0006
tokio-rs,fpbr,run_1,017,1786121863.173,0.117,harness,1768283,harness,IPC,0.4727
tokio-rs,fpbr,run_1,017,1786121863.173,0.117,harness,1768283,harness,branch_MPKI,20.0471
tokio-rs,fpbr,run_1,017,1786121863.173,0.117,tool,12460671,shell,IPC,0.9704
tokio-rs,fpbr,run_1,017,1786121863.173,0.117,tool,12460671,shell,branch_MPKI,7.9615
tokio-rs,fpbr,run_1,018,1786121863.296,0.117,harness,6575471,harness,IPC,0.6881
tokio-rs,fpbr,run_1,018,1786121863.296,0.117,harness,6575471,harness,branch_MPKI,15.8156
tokio-rs,fpbr,run_1,018,1786121863.296,0.117,tool,32449535,idle,IPC,1.066
tokio-rs,fpbr,run_1,018,1786121863.296,0.117,tool,32449535,idle,branch_MPKI,7.3896
tokio-rs,fpbr,run_1,019,1786121863.419,0.117,harness,4969185,harness,IPC,0.6173
tokio-rs,fpbr,run_1,019,1786121863.419,0.117,harness,4969185,harness,branch_MPKI,17.5306
tokio-rs,fpbr,run_1,019,1786121863.419,0.117,tool,21207379,idle,IPC,1.0381
tokio-rs,fpbr,run_1,019,1786121863.419,0.117,tool,21207379,idle,branch_MPKI,8.3662
tokio-rs,fpbr,run_1,020,1786121863.542,0.118,harness,7371267,harness,IPC,0.7092
tokio-rs,fpbr,run_1,020,1786121863.542,0.118,harness,7371267,harness,branch_MPKI,11.0498
tokio-rs,fpbr,run_1,020,1786121863.542,0.118,tool,66789894,idle,IPC,1.483
tokio-rs,fpbr,run_1,020,1786121863.542,0.118,tool,66789894,idle,branch_MPKI,4.3123
tokio-rs,fpbr,run_1,021,1786121863.665,0.118,tool,1527903,shell,IPC,0.6272
tokio-rs,fpbr,run_1,021,1786121863.665,0.118,tool,1527903,shell,branch_MPKI,6.8905
tokio-rs,fpbr,run_1,022,1786121863.789,0.118,harness,10239430,harness,IPC,0.8995
tokio-rs,fpbr,run_1,022,1786121863.789,0.118,harness,10239430,harness,branch_MPKI,10.6993
tokio-rs,fpbr,run_1,022,1786121863.789,0.118,tool,89059834,idle,IPC,1.273
tokio-rs,fpbr,run_1,022,1786121863.789,0.118,tool,89059834,idle,branch_MPKI,7.5143
tokio-rs,fpbr,run_1,023,1786121863.912,0.118,harness,41503737,harness,IPC,1.4531
tokio-rs,fpbr,run_1,023,1786121863.912,0.118,harness,41503737,harness,branch_MPKI,6.3119
tokio-rs,fpbr,run_1,023,1786121863.912,0.118,tool,36218738,idle,IPC,1.0962
tokio-rs,fpbr,run_1,023,1786121863.912,0.118,tool,36218738,idle,branch_MPKI,7.1273
tokio-rs,fpbr,run_1,024,1786121864.036,0.117,harness,1923138,harness,IPC,0.4266
tokio-rs,fpbr,run_1,024,1786121864.036,0.117,harness,1923138,harness,branch_MPKI,19.1479
tokio-rs,fpbr,run_1,024,1786121864.036,0.117,tool,73574975,idle,IPC,1.2583
tokio-rs,fpbr,run_1,024,1786121864.036,0.117,tool,73574975,idle,branch_MPKI,6.8935
tokio-rs,fpbr,run_1,025,1786121864.159,0.117,harness,44717784,harness,IPC,1.6252
tokio-rs,fpbr,run_1,025,1786121864.159,0.117,harness,44717784,harness,branch_MPKI,5.1274
tokio-rs,fpbr,run_1,025,1786121864.159,0.117,tool,99701360,shell,IPC,1.3057
tokio-rs,fpbr,run_1,025,1786121864.159,0.117,tool,99701360,shell,branch_MPKI,7.8824
tokio-rs,fpbr,run_1,026,1786121864.282,0.118,harness,1789837,harness,IPC,0.4675
tokio-rs,fpbr,run_1,026,1786121864.282,0.118,harness,1789837,harness,branch_MPKI,20.0152
tokio-rs,fpbr,run_1,026,1786121864.282,0.118,tool,35017302,idle,IPC,1.0821
tokio-rs,fpbr,run_1,026,1786121864.282,0.118,tool,35017302,idle,branch_MPKI,6.6204
tokio-rs,fpbr,run_1,027,1786121864.405,0.117,harness,26063370,harness,IPC,1.1657
tokio-rs,fpbr,run_1,027,1786121864.405,0.117,harness,26063370,harness,branch_MPKI,8.9765
tokio-rs,fpbr,run_1,027,1786121864.405,0.117,tool,96787843,idle,IPC,1.3025
tokio-rs,fpbr,run_1,027,1786121864.405,0.117,tool,96787843,idle,branch_MPKI,8.0045
tokio-rs,fpbr,run_1,028,1786121864.529,0.118,harness,1804289,harness,IPC,0.4169
tokio-rs,fpbr,run_1,028,1786121864.529,0.118,harness,1804289,harness,branch_MPKI,19.8233
tokio-rs,fpbr,run_1,028,1786121864.529,0.118,tool,168246363,idle,IPC,1.4241
tokio-rs,fpbr,run_1,028,1786121864.529,0.118,tool,168246363,idle,branch_MPKI,7.3194
tokio-rs,fpbr,run_1,029,1786121864.652,0.118,harness,37180376,harness,IPC,1.5954
tokio-rs,fpbr,run_1,029,1786121864.652,0.118,harness,37180376,harness,branch_MPKI,5.4875
tokio-rs,fpbr,run_1,029,1786121864.652,0.118,tool,89659615,shell,IPC,1.3473
tokio-rs,fpbr,run_1,029,1786121864.652,0.118,tool,89659615,shell,branch_MPKI,7.9754
tokio-rs,fpbr,run_1,030,1786121864.775,0.117,harness,1787290,harness,IPC,0.4606
tokio-rs,fpbr,run_1,030,1786121864.775,0.117,harness,1787290,harness,branch_MPKI,19.8608
tokio-rs,fpbr,run_1,030,1786121864.775,0.117,tool,51034624,idle,IPC,1.1474
tokio-rs,fpbr,run_1,030,1786121864.775,0.117,tool,51034624,idle,branch_MPKI,5.7629
tokio-rs,fpbr,run_1,031,1786121864.898,0.118,harness,26184951,harness,IPC,1.2502
tokio-rs,fpbr,run_1,031,1786121864.898,0.118,harness,26184951,harness,branch_MPKI,8.2314
tokio-rs,fpbr,run_1,031,1786121864.898,0.118,tool,89637635,idle,IPC,1.3359
tokio-rs,fpbr,run_1,031,1786121864.898,0.118,tool,89637635,idle,branch_MPKI,7.9436
tokio-rs,fpbr,run_1,032,1786121865.021,0.118,tool,161588226,idle,IPC,1.4742
tokio-rs,fpbr,run_1,032,1786121865.021,0.118,tool,161588226,idle,branch_MPKI,7.0925
tokio-rs,fpbr,run_1,033,1786121865.145,0.118,tool,83084391,shell,IPC,1.3964
tokio-rs,fpbr,run_1,033,1786121865.145,0.118,tool,83084391,shell,branch_MPKI,7.8774
tokio-rs,fpbr,run_1,034,1786121865.269,0.118,harness,261384402,harness,IPC,2.7358
tokio-rs,fpbr,run_1,034,1786121865.269,0.118,harness,261384402,harness,branch_MPKI,1.9714
tokio-rs,fpbr,run_1,034,1786121865.269,0.118,tool,99515327,idle,IPC,1.4523
tokio-rs,fpbr,run_1,034,1786121865.269,0.118,tool,99515327,idle,branch_MPKI,6.8216
tokio-rs,fpbr,run_1,035,1786121865.392,0.121,harness,1762288,harness,IPC,0.3955
tokio-rs,fpbr,run_1,035,1786121865.392,0.121,harness,1762288,harness,branch_MPKI,19.7907
tokio-rs,fpbr,run_1,035,1786121865.392,0.121,tool,29120223,idle,IPC,1.1159
tokio-rs,fpbr,run_1,035,1786121865.392,0.121,tool,29120223,idle,branch_MPKI,6.9165
tokio-rs,fpbr,run_1,036,1786121865.519,0.118,harness,34073404,harness,IPC,1.3089
tokio-rs,fpbr,run_1,036,1786121865.519,0.118,harness,34073404,harness,branch_MPKI,7.6583
tokio-rs,fpbr,run_1,036,1786121865.519,0.118,tool,18289101,idle,IPC,0.9856
tokio-rs,fpbr,run_1,036,1786121865.519,0.118,tool,18289101,idle,branch_MPKI,7.8449
tokio-rs,fpbr,run_1,037,1786121865.642,0.118,harness,1866454,harness,IPC,0.4125
tokio-rs,fpbr,run_1,037,1786121865.642,0.118,harness,1866454,harness,branch_MPKI,19.252
tokio-rs,fpbr,run_1,037,1786121865.642,0.118,tool,81188702,idle,IPC,1.2926
tokio-rs,fpbr,run_1,037,1786121865.642,0.118,tool,81188702,idle,branch_MPKI,7.8841
tokio-rs,fpbr,run_1,038,1786121865.766,0.118,harness,86549566,harness,IPC,2.0829
tokio-rs,fpbr,run_1,038,1786121865.766,0.118,harness,86549566,harness,branch_MPKI,3.5568
tokio-rs,fpbr,run_1,038,1786121865.766,0.118,tool,95017823,idle,IPC,1.3066
tokio-rs,fpbr,run_1,038,1786121865.766,0.118,tool,95017823,idle,branch_MPKI,8.0135
tokio-rs,fpbr,run_1,039,1786121865.889,0.118,harness,1802313,harness,IPC,0.4286
tokio-rs,fpbr,run_1,039,1786121865.889,0.118,harness,1802313,harness,branch_MPKI,19.6952
tokio-rs,fpbr,run_1,039,1786121865.889,0.118,tool,21696718,idle,IPC,1.0468
tokio-rs,fpbr,run_1,039,1786121865.889,0.118,tool,21696718,idle,branch_MPKI,6.4136
tokio-rs,fpbr,run_1,040,1786121866.012,0.118,harness,44802730,harness,IPC,1.554
tokio-rs,fpbr,run_1,040,1786121866.012,0.118,harness,44802730,harness,branch_MPKI,6.0662
tokio-rs,fpbr,run_1,040,1786121866.012,0.118,tool,88943775,idle,IPC,1.3206
tokio-rs,fpbr,run_1,040,1786121866.012,0.118,tool,88943775,idle,branch_MPKI,8.0398
tokio-rs,fpbr,run_1,041,1786121866.136,0.118,harness,1831078,harness,IPC,0.4084
tokio-rs,fpbr,run_1,041,1786121866.136,0.118,harness,1831078,harness,branch_MPKI,19.5819
tokio-rs,fpbr,run_1,041,1786121866.136,0.118,tool,170231269,idle,IPC,1.4152
