task,group,run,win,t0,dur,fence,instructions,tag,metric,value
vuejs,fpbr,run_1,000,1786118975.037,0.156,tool,534909294,idle,IPC,1.978
vuejs,fpbr,run_1,000,1786118975.037,0.156,tool,534909294,idle,branch_MPKI,4.0149
vuejs,fpbr,run_1,001,1786118975.198,0.13,harness,3974956,harness,IPC,0.6438
vuejs,fpbr,run_1,001,1786118975.198,0.13,harness,3974956,harness,branch_MPKI,15.1914
vuejs,fpbr,run_1,001,1786118975.198,0.13,tool,70092382,idle,IPC,1.2943
vuejs,fpbr,run_1,001,1786118975.198,0.13,tool,70092382,idle,branch_MPKI,4.9012
vuejs,fpbr,run_1,003,1786118975.461,0.119,tool,7929987,idle,IPC,0.8874
vuejs,fpbr,run_1,003,1786118975.461,0.119,tool,7929987,idle,branch_MPKI,5.5223
vuejs,fpbr,run_1,006,1786118975.833,0.119,harness,2161844,harness,IPC,0.4046
vuejs,fpbr,run_1,006,1786118975.833,0.119,harness,2161844,harness,branch_MPKI,18.0267
vuejs,fpbr,run_1,006,1786118975.833,0.119,tool,22266983,idle,IPC,0.9369
vuejs,fpbr,run_1,006,1786118975.833,0.119,tool,22266983,idle,branch_MPKI,6.1755
vuejs,fpbr,run_1,007,1786118975.959,0.118,harness,3794046,harness,IPC,0.5795
vuejs,fpbr,run_1,007,1786118975.959,0.118,harness,3794046,harness,branch_MPKI,15.2046
vuejs,fpbr,run_1,007,1786118975.959,0.118,tool,14300411,idle,IPC,0.8897
vuejs,fpbr,run_1,007,1786118975.959,0.118,tool,14300411,idle,branch_MPKI,8.3183
vuejs,fpbr,run_1,008,1786118976.083,0.118,harness,1792684,harness,IPC,0.379
vuejs,fpbr,run_1,008,1786118976.083,0.118,harness,1792684,harness,branch_MPKI,21.2324
vuejs,fpbr,run_1,008,1786118976.083,0.118,tool,18242250,idle,IPC,0.9237
vuejs,fpbr,run_1,008,1786118976.083,0.118,tool,18242250,idle,branch_MPKI,7.5478
vuejs,fpbr,run_1,009,1786118976.206,0.117,tool,226929378,git,IPC,2.8148
vuejs,fpbr,run_1,009,1786118976.206,0.117,tool,226929378,git,branch_MPKI,1.3468
vuejs,fpbr,run_1,010,1786118976.328,0.117,harness,89369084,harness,IPC,3.2245
vuejs,fpbr,run_1,010,1786118976.328,0.117,harness,89369084,harness,branch_MPKI,1.419
vuejs,fpbr,run_1,010,1786118976.328,0.117,tool,68381883,idle,IPC,1.4565
vuejs,fpbr,run_1,010,1786118976.328,0.117,tool,68381883,idle,branch_MPKI,3.6817
vuejs,fpbr,run_1,011,1786118976.452,0.119,harness,1774672,harness,IPC,0.4582
vuejs,fpbr,run_1,011,1786118976.452,0.119,harness,1774672,harness,branch_MPKI,19.9299
vuejs,fpbr,run_1,011,1786118976.452,0.119,tool,14477787,idle,IPC,0.9648
vuejs,fpbr,run_1,011,1786118976.452,0.119,tool,14477787,idle,branch_MPKI,7.763
vuejs,fpbr,run_1,012,1786118976.576,0.117,harness,37216952,harness,IPC,0.9257
vuejs,fpbr,run_1,012,1786118976.576,0.117,harness,37216952,harness,branch_MPKI,12.001
vuejs,fpbr,run_1,012,1786118976.576,0.117,tool,50516760,idle,IPC,1.1715
vuejs,fpbr,run_1,012,1786118976.576,0.117,tool,50516760,idle,branch_MPKI,6.9549
vuejs,fpbr,run_1,013,1786118976.699,0.118,harness,1867211,harness,IPC,0.4842
vuejs,fpbr,run_1,013,1786118976.699,0.118,harness,1867211,harness,branch_MPKI,19.9174
vuejs,fpbr,run_1,013,1786118976.699,0.118,tool,30765317,shell,IPC,1.128
vuejs,fpbr,run_1,013,1786118976.699,0.118,tool,30765317,shell,branch_MPKI,5.3518
vuejs,fpbr,run_1,014,1786118976.822,0.118,harness,1860199,harness,IPC,0.3843
vuejs,fpbr,run_1,014,1786118976.822,0.118,harness,1860199,harness,branch_MPKI,20.5333
vuejs,fpbr,run_1,014,1786118976.822,0.118,tool,17464940,idle,IPC,1.1263
vuejs,fpbr,run_1,014,1786118976.822,0.118,tool,17464940,idle,branch_MPKI,6.0341
vuejs,fpbr,run_1,015,1786118976.945,0.117,harness,1768820,harness,IPC,0.4198
vuejs,fpbr,run_1,015,1786118976.945,0.117,harness,1768820,harness,branch_MPKI,19.9528
vuejs,fpbr,run_1,015,1786118976.945,0.117,tool,14960824,idle,IPC,0.9286
vuejs,fpbr,run_1,015,1786118976.945,0.117,tool,14960824,idle,branch_MPKI,7.9665
vuejs,fpbr,run_1,016,1786118977.068,0.118,harness,1771665,harness,IPC,0.4309
vuejs,fpbr,run_1,016,1786118977.068,0.118,harness,1771665,harness,branch_MPKI,19.8994
vuejs,fpbr,run_1,016,1786118977.068,0.118,tool,12876152,idle,IPC,0.9871
vuejs,fpbr,run_1,016,1786118977.068,0.118,tool,12876152,idle,branch_MPKI,7.6083
vuejs,fpbr,run_1,017,1786118977.192,0.118,harness,6188231,harness,IPC,0.7139
vuejs,fpbr,run_1,017,1786118977.192,0.118,harness,6188231,harness,branch_MPKI,15.4063
vuejs,fpbr,run_1,017,1786118977.192,0.118,tool,32046767,shell,IPC,1.1279
vuejs,fpbr,run_1,017,1786118977.192,0.118,tool,32046767,shell,branch_MPKI,6.643
vuejs,fpbr,run_1,018,1786118977.315,0.118,harness,7322774,harness,IPC,0.7532
vuejs,fpbr,run_1,018,1786118977.315,0.118,harness,7322774,harness,branch_MPKI,10.9261
vuejs,fpbr,run_1,018,1786118977.315,0.118,tool,4529575,idle,IPC,0.9171
vuejs,fpbr,run_1,018,1786118977.315,0.118,tool,4529575,idle,branch_MPKI,9.9541
vuejs,fpbr,run_1,019,1786118977.439,0.119,harness,10231632,harness,IPC,0.9836
vuejs,fpbr,run_1,019,1786118977.439,0.119,harness,10231632,harness,branch_MPKI,10.6024
vuejs,fpbr,run_1,019,1786118977.439,0.119,tool,19322920,idle,IPC,1.1473
vuejs,fpbr,run_1,019,1786118977.439,0.119,tool,19322920,idle,branch_MPKI,5.0856
vuejs,fpbr,run_1,020,1786118977.563,0.118,harness,37702861,harness,IPC,1.4901
vuejs,fpbr,run_1,020,1786118977.563,0.118,harness,37702861,harness,branch_MPKI,6.3745
vuejs,fpbr,run_1,020,1786118977.563,0.118,tool,119307839,idle,IPC,1.4184
vuejs,fpbr,run_1,020,1786118977.563,0.118,tool,119307839,idle,branch_MPKI,7.0669
vuejs,fpbr,run_1,021,1786118977.686,0.119,tool,194454358,idle,IPC,1.5993
