task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
astropy,run_1,10.009894276,harness,25.11,19.67,39.47,17.0,26.51,12.97,11.46,5.54,1.22,19.21
astropy,run_1,10.009894276,tool,31.33,16.95,32.37,20.86,16.68,15.69,12.78,8.07,2.96,16.23
astropy,run_1,20.01990468,harness,39.22,11.65,20.62,29.69,10.1,10.52,23.97,5.72,0.93,9.83
astropy,run_1,20.01990468,tool,26.24,19.0,36.44,19.49,19.64,16.8,11.57,7.92,2.82,18.33
astropy,run_1,30.029893026,harness,44.87,9.42,16.11,29.47,8.11,8.0,23.94,5.54,0.9,8.29
astropy,run_1,30.029893026,tool,26.51,18.57,36.24,19.63,19.84,16.41,11.68,7.96,2.83,17.89
astropy,run_1,40.039920935,harness,40.87,9.04,14.85,35.15,7.7,7.16,28.44,6.7,0.95,8.05
astropy,run_1,40.039920935,tool,42.03,7.56,26.26,25.65,13.48,12.78,11.57,14.09,5.99,7.08
astropy,run_1,50.050281747,harness,42.61,9.21,14.27,33.49,6.97,7.3,27.37,6.12,1.19,7.92
astropy,run_1,50.050281747,tool,42.88,8.46,27.59,25.3,14.31,13.28,12.09,13.21,5.63,8.0
astropy,run_1,60.060610139,harness,40.01,8.81,14.88,38.0,7.09,7.79,32.27,5.73,0.98,7.94
astropy,run_1,60.060610139,tool,41.06,8.8,27.86,24.72,14.46,13.4,11.5,13.22,5.62,8.32
astropy,run_1,70.07089587,harness,41.85,7.7,15.31,36.52,4.96,10.36,29.49,7.03,1.76,5.67
astropy,run_1,70.07089587,tool,40.69,8.82,27.83,24.76,14.43,13.4,11.54,13.22,5.62,8.33
astropy,run_1,80.080890856,harness,42.19,7.02,12.79,35.55,4.83,7.96,29.09,6.46,1.69,5.58
astropy,run_1,80.080890856,tool,40.65,8.86,27.88,24.73,14.46,13.42,11.54,13.18,5.6,8.38
astropy,run_1,90.090890655,harness,39.88,6.89,14.16,38.31,4.71,9.45,31.26,7.05,1.43,5.82
astropy,run_1,90.090890655,tool,40.71,8.82,27.89,24.68,14.48,13.41,11.47,13.22,5.61,8.33
astropy,run_1,100.100891071,harness,40.28,6.86,13.16,38.38,4.51,8.65,31.64,6.74,1.25,5.29
astropy,run_1,100.100891071,tool,40.72,8.8,27.89,24.68,14.48,13.41,11.45,13.23,5.62,8.32
astropy,run_1,110.11089559,harness,37.93,6.04,12.67,41.73,4.44,8.23,34.11,7.62,1.22,4.84
astropy,run_1,110.11089559,tool,40.78,8.74,27.84,24.71,14.46,13.38,11.43,13.28,5.65,8.26
astropy,run_1,120.12088896,harness,41.21,6.41,13.79,38.98,4.71,9.08,31.15,7.83,1.33,5.18
astropy,run_1,120.12088896,tool,39.61,9.34,27.5,24.16,14.48,13.02,10.89,13.28,5.34,8.74
astropy,run_1,130.125890404,harness,38.63,6.47,13.47,41.81,4.11,9.36,34.18,7.63,1.61,5.27
astropy,run_1,130.125890404,tool,39.39,8.98,27.19,25.01,14.45,12.74,11.16,13.84,5.35,8.37
