task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
babel,run_1,10.009928411,harness,27.98,18.26,37.06,17.18,25.13,11.93,11.44,5.73,1.4,17.19
babel,run_1,10.009928411,tool,32.5,9.47,28.31,30.28,12.64,15.67,21.48,8.8,2.93,8.97
babel,run_1,20.021932153,harness,42.01,13.91,22.35,24.17,9.92,12.43,18.99,5.18,1.13,12.21
babel,run_1,20.021932153,tool,30.65,12.57,30.49,26.7,14.88,15.61,18.43,8.27,2.84,12.09
babel,run_1,30.031935408,harness,46.65,13.06,19.6,23.21,8.44,11.15,16.72,6.49,1.3,11.37
babel,run_1,30.031935408,tool,29.97,13.59,36.96,19.89,20.48,16.48,13.35,6.54,2.74,13.08
babel,run_1,40.041927388,harness,33.69,11.35,15.95,41.53,7.74,8.21,34.67,6.87,1.46,10.1
babel,run_1,40.041927388,tool,29.74,13.61,36.14,22.87,19.99,16.16,15.19,7.68,2.37,13.07
babel,run_1,40.047947912,harness,26.6,11.34,28.66,33.91,20.31,8.35,22.7,11.21,3.21,10.6
babel,run_2,10.009995396,harness,27.74,17.85,37.67,16.56,25.36,12.31,11.28,5.28,1.22,16.83
babel,run_2,10.009995396,tool,33.19,9.31,27.65,30.89,11.75,15.9,21.32,9.57,3.03,9.04
babel,run_2,20.020001551,harness,42.99,12.98,22.83,23.34,10.53,12.3,17.8,5.53,0.93,12.06
babel,run_2,20.020001551,tool,29.34,13.07,31.18,25.54,15.64,15.55,16.9,8.63,2.87,12.59
babel,run_2,30.030003035,harness,47.29,11.05,19.33,23.07,7.87,11.46,16.88,6.18,1.47,9.18
babel,run_2,30.030003035,tool,30.05,13.64,36.65,20.57,20.4,16.25,13.36,7.21,2.92,13.2
babel,run_2,39.963887766,harness,35.11,9.46,14.3,40.23,6.61,7.68,34.32,5.9,1.54,8.33
babel,run_2,39.963887766,tool,31.05,12.62,34.67,24.41,18.58,16.09,16.49,7.93,2.95,12.23
babel,run_3,10.009845447,harness,27.58,17.69,37.46,16.77,25.42,12.04,11.06,5.71,1.31,16.74
babel,run_3,10.009845447,tool,33.8,8.93,28.0,30.85,12.19,15.82,21.47,9.38,3.09,8.53
babel,run_3,20.020172915,harness,41.94,13.19,23.55,22.98,11.28,12.27,17.57,5.41,1.33,11.81
babel,run_3,20.020172915,tool,30.98,12.47,30.86,25.73,15.22,15.64,16.99,8.75,3.08,12.08
babel,run_3,30.029849879,harness,47.31,11.92,21.36,22.07,9.39,11.97,17.16,4.91,1.36,11.21
babel,run_3,30.029849879,tool,30.09,13.4,37.09,20.06,20.59,16.5,13.55,6.5,2.98,12.82
babel,run_3,40.039852572,harness,34.89,10.42,16.43,41.77,7.29,9.14,37.32,4.45,1.47,9.36
babel,run_3,40.039852572,tool,29.65,12.94,36.41,22.6,20.47,15.93,15.53,7.07,2.82,12.3
babel,run_3,40.117459361,harness,15.74,9.03,9.28,66.35,4.55,4.73,56.18,10.17,0.79,8.63
babel,run_4,10.009943818,harness,28.01,17.86,37.62,16.84,24.78,12.84,11.53,5.31,1.37,17.08
babel,run_4,10.009943818,tool,33.45,9.08,28.38,30.86,12.83,15.55,21.24,9.62,3.12,8.42
babel,run_4,20.02093481,harness,41.36,12.71,23.47,24.12,12.04,11.43,19.07,5.06,1.13,11.39
babel,run_4,20.02093481,tool,31.37,12.16,30.57,26.62,15.09,15.49,17.72,8.9,3.14,11.53
babel,run_4,30.031937609,harness,46.99,12.11,20.59,21.72,9.6,10.98,16.34,5.38,1.03,10.74
babel,run_4,30.031937609,tool,29.99,13.49,37.38,20.07,20.75,16.63,13.25,6.82,2.92,12.89
