task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
fmtlib,run_1,10.009983296,harness,25.3,19.3,39.62,16.06,27.0,12.62,10.94,5.12,1.17,18.35
fmtlib,run_1,10.009983296,tool,29.33,16.44,29.58,25.82,16.07,13.51,13.48,12.33,2.31,15.67
fmtlib,run_1,20.019983623,harness,40.86,13.29,22.99,23.58,11.94,11.05,17.53,6.05,0.89,11.68
fmtlib,run_1,20.019983623,tool,27.84,17.97,33.41,22.23,18.7,14.71,11.95,10.28,2.23,17.21
fmtlib,run_1,30.031983311,harness,43.7,12.54,19.35,27.09,8.49,10.86,20.7,6.39,0.92,11.1
fmtlib,run_1,30.031983311,tool,30.67,15.91,33.21,21.76,17.24,15.98,13.36,8.4,2.33,15.16
fmtlib,run_1,40.041981604,harness,50.02,13.51,21.19,19.36,10.05,11.13,13.15,6.21,0.95,11.92
fmtlib,run_1,40.041981604,tool,31.48,15.71,31.4,21.6,16.21,15.19,13.49,8.11,2.37,14.93
fmtlib,run_1,50.051989472,tool,29.83,19.99,34.31,19.29,20.3,14.01,12.17,7.12,1.63,19.24
fmtlib,run_1,60.062982725,tool,29.02,19.26,30.59,20.78,17.92,12.67,12.94,7.84,1.18,18.49
fmtlib,run_1,70.064545275,harness,40.53,10.1,18.85,33.23,8.8,10.04,27.48,5.75,0.85,9.15
fmtlib,run_1,70.064545275,tool,28.74,18.34,35.05,22.4,18.94,16.1,16.34,6.06,1.6,17.93
fmtlib,run_1,80.074987741,harness,46.5,12.47,19.25,29.36,9.19,10.06,23.1,6.26,0.84,11.42
fmtlib,run_1,80.074987741,tool,30.47,20.95,34.92,14.06,19.6,15.32,6.52,7.53,1.24,20.18
fmtlib,run_1,90.085987164,tool,25.88,16.47,31.0,22.41,19.24,11.76,15.9,6.51,1.96,16.08
fmtlib,run_1,100.096332397,harness,41.11,12.44,17.45,28.33,8.92,8.53,25.34,2.99,0.97,10.72
fmtlib,run_1,100.096332397,tool,29.0,16.28,34.22,21.63,18.48,15.74,14.56,7.08,2.15,15.71
fmtlib,run_1,110.105988732,tool,27.94,18.98,35.77,19.46,19.98,15.79,12.92,6.55,1.62,18.39
fmtlib,run_1,120.11598658,tool,27.54,19.42,33.05,20.06,18.92,14.13,12.72,7.33,1.56,18.95
fmtlib,run_1,130.12798774,harness,52.64,12.12,20.63,21.17,9.24,11.39,11.22,9.95,1.07,10.57
fmtlib,run_1,130.12798774,tool,33.3,15.73,24.81,27.3,11.82,12.99,17.0,10.3,1.57,15.05
fmtlib,run_1,135.920664745,harness,32.81,12.49,15.66,41.31,9.07,6.6,34.87,6.45,0.86,11.35
fmtlib,run_1,135.920664745,tool,34.15,17.06,31.9,23.61,14.46,17.44,14.41,9.2,1.65,16.48
fmtlib,run_2,10.009832202,harness,25.29,19.12,39.21,16.19,26.67,12.53,10.7,5.5,1.01,18.35
fmtlib,run_2,10.009832202,tool,29.26,16.86,28.66,26.06,15.52,13.14,12.76,13.3,2.17,16.07
fmtlib,run_2,20.020827436,harness,40.88,15.01,23.41,23.21,11.57,11.83,17.78,5.43,1.16,12.75
fmtlib,run_2,20.020827436,tool,27.98,18.08,33.88,20.93,18.72,15.17,11.68,9.26,2.27,17.3
fmtlib,run_2,30.030823086,harness,43.47,12.8,19.28,27.3,8.69,10.59,21.65,5.66,1.06,11.15
fmtlib,run_2,30.030823086,tool,30.7,14.91,32.72,21.44,16.79,15.93,13.6,7.84,2.2,14.13
fmtlib,run_2,40.04081818,harness,50.67,13.83,22.78,16.53,11.42,11.36,11.31,5.22,0.86,12.23
fmtlib,run_2,40.04081818,tool,28.06,19.31,37.43,16.36,21.46,15.97,9.93,6.43,1.61,18.92
fmtlib,run_2,50.050819404,tool,30.13,20.12,33.89,20.37,20.46,13.44,12.58,7.79,1.63,19.68
fmtlib,run_2,60.060824551,tool,30.2,19.61,30.24,21.57,17.78,12.46,12.16,9.41,1.18,19.22
fmtlib,run_2,70.070825563,harness,42.08,11.64,18.77,31.71,9.34,9.42,26.6,5.11,0.79,10.07
fmtlib,run_2,70.070825563,tool,28.28,17.63,35.7,21.6,20.16,15.54,16.16,5.44,1.6,17.23
fmtlib,run_2,80.080824009,harness,43.97,13.58,19.85,24.86,9.46,10.39,21.27,3.59,0.93,11.93
fmtlib,run_2,80.080824009,tool,30.43,21.07,35.29,16.62,19.64,15.65,8.72,7.9,1.61,20.28
fmtlib,run_2,90.090822759,tool,27.06,17.25,30.98,23.18,19.4,11.58,15.05,8.13,1.18,16.86
fmtlib,run_2,100.100825848,harness,45.97,13.53,19.77,29.78,9.13,10.64,25.23,4.55,0.89,11.92
fmtlib,run_2,100.100825848,tool,28.38,17.28,34.91,21.02,18.84,16.06,14.17,6.85,2.26,16.59
fmtlib,run_2,110.110826024,tool,27.99,19.04,35.02,20.05,19.61,15.41,13.29,6.76,1.67,18.49
fmtlib,run_2,120.122849922,tool,28.41,19.8,32.83,19.76,19.05,13.78,11.58,8.18,1.51,19.38
fmtlib,run_2,130.13382024,harness,44.83,13.66,18.92,27.04,9.62,9.3,19.34,7.69,0.99,11.99
fmtlib,run_2,130.13382024,tool,33.1,15.3,23.96,28.1,10.67,13.28,17.54,10.56,1.86,14.59
fmtlib,run_2,135.293097994,harness,35.29,9.39,15.59,40.24,5.56,10.03,34.62,5.62,1.28,8.46
fmtlib,run_2,135.293097994,tool,32.2,16.38,32.36,22.95,17.44,14.91,14.11,8.84,1.82,15.77
fmtlib,run_3,10.009970986,harness,25.68,19.09,39.39,16.37,26.34,13.05,10.89,5.48,1.06,17.95
fmtlib,run_3,10.009970986,tool,28.41,17.24,28.79,26.35,15.65,13.14,13.22,13.13,2.01,16.07
fmtlib,run_3,20.019966687,harness,41.02,12.91,22.21,23.68,11.11,11.1,18.44,5.24,1.34,11.98
fmtlib,run_3,20.019966687,tool,26.73,17.75,34.88,21.54,19.12,15.76,11.69,9.85,2.13,17.06
fmtlib,run_3,30.030965521,harness,44.16,11.9,19.26,27.51,8.23,11.03,21.52,5.99,1.37,10.62
fmtlib,run_3,30.030965521,tool,29.51,15.87,34.97,21.33,18.27,16.7,13.4,7.93,1.95,14.9
fmtlib,run_3,40.040961585,harness,52.84,11.85,20.21,17.03,9.91,10.31,9.73,7.3,1.2,11.36
fmtlib,run_3,40.040961585,tool,28.08,19.03,37.41,18.82,21.83,15.58,12.4,6.41,1.62,18.61
fmtlib,run_3,50.050963276,tool,29.95,19.65,33.37,20.83,20.13,13.24,13.0,7.83,1.66,18.94
fmtlib,run_3,60.060964701,tool,31.37,18.83,29.41,21.57,16.9,12.52,12.95,8.62,1.18,18.44
fmtlib,run_3,70.070960332,harness,38.88,11.88,15.22,36.78,8.08,7.14,29.04,7.73,1.21,9.58
fmtlib,run_3,70.070960332,tool,28.68,16.9,34.89,22.05,19.29,15.6,16.33,5.71,1.6,16.52
fmtlib,run_3,80.081960203,harness,42.32,10.73,16.83,29.6,8.23,8.6,24.98,4.62,1.26,9.69
fmtlib,run_3,80.081960203,tool,31.6,21.35,34.16,15.92,19.99,14.17,8.76,7.16,1.24,20.57
fmtlib,run_3,90.092324052,tool,25.1,16.47,31.37,23.16,18.82,12.55,14.67,8.49,1.18,16.08
fmtlib,run_3,100.1019623,harness,44.23,11.47,16.54,28.59,9.12,7.42,22.97,5.62,1.2,10.62
fmtlib,run_3,100.1019623,tool,28.62,16.24,34.52,21.63,18.69,15.83,14.97,6.66,2.27,15.63
fmtlib,run_3,110.111970459,tool,27.65,19.13,35.51,19.61,19.92,15.59,13.2,6.41,1.57,18.64
fmtlib,run_3,120.122387955,tool,28.17,19.75,32.61,19.9,18.99,13.62,11.73,8.17,1.45,19.32
fmtlib,run_3,130.132963008,harness,50.2,10.8,16.73,20.8,8.43,8.3,14.67,6.13,1.28,9.77
fmtlib,run_3,130.132963008,tool,31.94,16.44,24.91,26.74,12.19,12.72,16.76,9.98,1.57,15.67
fmtlib,run_3,135.314324782,harness,35.62,8.64,15.52,41.21,5.21,10.31,35.36,5.85,1.37,7.76
fmtlib,run_3,135.314324782,tool,32.61,17.13,31.87,22.49,14.26,17.61,14.68,7.8,1.56,16.43
fmtlib,run_4,10.009959486,harness,24.85,18.84,39.05,16.69,27.65,11.4,11.24,5.45,1.18,18.04
fmtlib,run_4,10.009959486,tool,27.8,17.19,29.83,25.9,16.92,12.91,12.83,13.07,2.15,16.54
fmtlib,run_4,20.020962053,harness,40.55,12.81,24.09,23.78,12.32,11.77,18.38,5.4,0.85,11.64
fmtlib,run_4,20.020962053,tool,27.15,18.65,34.6,20.37,19.13,15.46,10.99,9.38,2.02,17.87
fmtlib,run_4,30.030965925,harness,43.86,10.77,19.03,26.82,7.99,11.04,21.05,5.77,1.45,8.93
fmtlib,run_4,30.030965925,tool,30.69,15.41,33.27,22.13,17.88,15.4,13.18,8.96,2.05,15.21
fmtlib,run_4,40.04197363,harness,53.05,10.2,18.16,18.21,7.57,10.59,12.71,5.5,1.57,8.64
fmtlib,run_4,40.04197363,tool,28.36,18.37,36.8,18.02,21.11,15.69,11.65,6.36,1.61,17.95
fmtlib,run_4,50.051966646,tool,30.15,19.36,34.95,21.07,20.34,14.61,13.28,7.79,1.64,18.64
fmtlib,run_4,60.064294446,tool,30.98,18.53,29.08,21.96,16.7,12.38,13.33,8.63,1.18,18.05
fmtlib,run_4,70.073964192,harness,39.65,9.68,15.01,33.82,6.83,8.18,29.45,4.37,1.42,9.51
fmtlib,run_4,70.073964192,tool,27.53,18.03,35.62,23.85,19.68,15.94,17.16,6.69,1.6,17.28
fmtlib,run_4,80.083964046,harness,46.9,10.64,16.38,27.9,7.68,8.7,21.47,6.43,1.48,9.16
fmtlib,run_4,80.083964046,tool,29.73,20.31,34.64,15.11,19.62,15.02,8.74,6.37,1.6,19.51
fmtlib,run_4,90.093963321,tool,26.27,16.11,31.79,24.37,19.34,12.45,15.07,9.29,1.57,15.72
fmtlib,run_4,100.103970826,harness,44.29,11.05,14.2,26.09,7.35,6.85,21.81,4.28,1.4,8.93
fmtlib,run_4,100.103970826,tool,28.48,16.18,34.6,21.68,18.15,16.45,14.8,6.88,1.97,15.69
fmtlib,run_4,110.115274122,tool,27.84,19.19,35.14,19.7,19.91,15.22,13.0,6.7,1.52,18.7
fmtlib,run_4,120.124967631,tool,27.87,19.35,32.81,20.03,18.72,14.09,12.43,7.61,1.44,18.76
fmtlib,run_4,130.134974024,harness,54.98,10.4,17.02,16.23,7.86,9.16,11.11,5.11,1.61,8.75
fmtlib,run_4,130.134974024,tool,31.12,16.89,26.31,26.31,13.1,13.21,16.49,9.82,1.63,16.51
fmtlib,run_4,135.625459997,harness,36.05,10.57,14.18,41.94,7.96,6.22,35.72,6.23,1.49,9.0
fmtlib,run_4,135.625459997,tool,33.2,17.55,33.68,21.44,14.62,19.05,13.53,7.92,1.87,16.9
fmtlib,run_5,10.009418767,harness,24.8,18.82,39.33,16.77,27.62,11.71,11.49,5.28,1.04,18.09
fmtlib,run_5,10.009418767,tool,28.93,16.53,28.39,26.82,15.44,12.95,13.5,13.33,2.33,15.9
