task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
google,run_1,10.009964143,harness,27.66,18.99,38.49,14.79,25.56,12.92,9.45,5.34,1.28,18.0
google,run_1,10.009964143,tool,27.68,17.26,32.99,22.73,19.81,13.18,12.8,9.93,2.57,16.52
google,run_1,20.020333692,harness,39.89,13.46,21.49,26.26,10.73,10.76,21.0,5.27,0.99,11.79
google,run_1,20.020333692,tool,29.67,18.73,30.93,21.51,18.59,12.34,11.51,10.0,2.58,17.97
google,run_1,30.030736857,harness,52.17,14.05,24.84,19.78,13.39,11.46,5.15,14.63,0.92,12.61
google,run_1,30.030736857,tool,31.23,18.85,29.19,22.42,16.88,12.31,11.11,11.3,2.53,18.16
google,run_1,40.040962743,harness,52.06,14.22,20.41,16.58,8.96,11.45,10.87,5.71,0.96,12.69
google,run_1,40.040962743,tool,31.6,18.9,28.57,22.89,16.28,12.29,11.27,11.62,2.47,18.21
google,run_1,50.050963592,harness,43.5,11.85,17.96,28.47,8.03,9.93,23.7,4.77,0.85,10.54
google,run_1,50.050963592,tool,29.4,19.02,31.64,20.96,18.34,13.3,10.63,10.33,2.27,18.35
google,run_1,60.061293889,harness,48.02,11.72,16.8,26.2,8.63,8.17,19.59,6.61,0.86,11.38
google,run_1,60.061293889,tool,30.15,19.33,30.54,21.28,17.56,12.97,10.61,10.67,2.22,18.68
google,run_1,70.07096823,harness,45.32,11.66,16.22,30.96,9.16,7.06,24.8,6.16,0.85,11.29
google,run_1,70.07096823,tool,31.19,18.86,28.82,22.36,16.25,12.57,11.31,11.06,2.05,18.1
google,run_1,80.080967057,harness,44.25,12.08,16.81,29.05,9.02,7.8,22.61,6.44,0.83,11.21
google,run_1,80.080967057,tool,32.18,19.6,29.47,20.95,16.5,12.98,10.57,10.38,2.08,18.94
google,run_1,82.364025707,harness,25.06,11.28,13.01,53.94,7.81,5.19,48.43,5.51,0.92,10.9
google,run_1,82.364025707,tool,26.44,19.25,33.64,21.92,20.31,13.33,12.06,9.86,2.2,18.36
google,run_2,10.009999351,harness,28.7,18.63,37.72,14.57,24.93,12.79,9.36,5.21,1.02,17.7
google,run_2,10.009999351,tool,26.88,17.57,33.35,22.54,20.14,13.21,12.36,10.18,2.77,17.05
google,run_2,20.020001875,harness,39.83,13.42,23.02,25.78,11.02,12.0,20.45,5.34,0.98,11.56
google,run_2,20.020001875,tool,29.7,20.02,31.83,19.98,18.28,13.55,9.94,10.04,2.06,19.5
google,run_2,30.030008471,harness,47.46,14.75,22.29,16.67,12.47,9.83,11.23,5.44,0.88,13.39
google,run_2,30.030008471,tool,33.01,20.5,27.91,20.44,15.69,12.22,9.12,11.32,1.76,19.95
google,run_2,40.039999818,harness,51.09,14.74,22.66,15.81,9.17,13.49,10.4,5.4,0.87,12.5
google,run_2,40.039999818,tool,32.46,20.39,28.67,20.35,16.22,12.46,9.09,11.25,1.82,19.86
google,run_2,50.050340875,harness,44.98,11.95,19.23,27.82,9.46,9.77,21.99,5.83,0.86,10.88
google,run_2,50.050340875,tool,30.33,19.11,30.3,21.71,17.74,12.56,11.01,10.7,1.94,18.59
google,run_2,60.059996212,harness,47.41,9.6,17.4,25.04,6.35,11.06,19.59,5.45,1.53,8.35
google,run_2,60.059996212,tool,30.51,19.5,30.52,21.24,17.83,12.68,10.43,10.81,1.83,18.95
google,run_2,70.069999206,harness,41.62,9.01,15.92,33.05,6.26,9.67,27.63,5.42,1.5,8.69
google,run_2,70.069999206,tool,31.95,18.96,28.84,22.15,16.34,12.5,10.93,11.22,2.03,18.48
google,run_2,80.079996379,harness,46.11,9.38,14.41,28.28,6.21,8.2,22.79,5.48,1.49,8.6
google,run_2,80.079996379,tool,31.05,19.69,29.44,20.4,16.67,12.77,10.06,10.34,2.08,19.12
google,run_2,81.386089924,harness,22.91,8.52,10.98,57.47,3.64,7.33,51.86,5.61,1.53,7.62
google,run_2,81.386089924,tool,27.8,16.47,35.46,20.12,20.95,14.51,11.32,8.8,2.44,15.93
google,run_3,10.009340056,harness,30.07,19.18,36.93,15.02,24.6,12.34,9.66,5.36,1.3,17.89
google,run_3,10.009340056,tool,27.66,17.46,32.22,22.8,18.87,13.35,12.32,10.48,2.42,16.8
google,run_3,20.019352384,harness,39.05,13.24,22.25,26.19,11.16,11.09,20.63,5.56,0.89,12.73
google,run_3,20.019352384,tool,30.03,18.9,30.44,21.45,17.46,12.97,11.38,10.07,2.07,18.47
google,run_3,30.029344503,harness,51.16,13.77,18.93,17.01,7.39,11.54,11.52,5.49,1.03,12.99
google,run_3,30.029344503,tool,31.78,19.42,28.41,21.82,16.33,12.09,10.8,11.03,1.92,18.74
google,run_3,40.040510708,harness,52.92,14.01,22.37,14.34,9.61,12.76,9.79,4.55,0.96,11.63
google,run_3,40.040510708,tool,31.72,19.2,28.19,22.12,16.23,11.97,11.2,10.92,1.97,18.62
google,run_3,50.05034127,harness,45.54,13.27,18.81,26.68,7.66,11.15,20.44,6.24,1.04,11.79
google,run_3,50.05034127,tool,31.21,19.18,29.28,21.84,16.97,12.32,11.31,10.53,1.93,18.51
google,run_3,60.060350208,harness,46.77,12.95,19.18,26.82,9.48,9.69,21.17,5.66,1.1,11.69
google,run_3,60.060350208,tool,31.14,19.2,29.17,21.91,16.88,12.3,11.31,10.6,1.9,18.57
google,run_3,70.070346937,harness,40.24,13.79,16.49,31.9,9.37,7.12,26.09,5.81,1.1,10.2
google,run_3,70.070346937,tool,32.16,19.04,30.0,20.72,16.87,13.13,10.24,10.48,1.68,18.36
google,run_3,80.080339921,harness,45.24,12.97,16.64,30.38,9.53,7.11,23.93,6.45,1.14,11.4
google,run_3,80.080339921,tool,32.13,18.98,30.23,20.7,17.11,13.12,10.27,10.44,1.71,18.29
google,run_3,81.267161321,harness,20.02,8.24,10.09,62.43,4.16,5.93,55.67,6.75,0.84,7.45
google,run_3,81.267161321,tool,31.13,17.72,32.94,19.0,18.97,13.98,9.17,9.84,1.36,17.11
google,run_4,10.009935253,harness,30.04,18.78,37.17,15.5,24.85,12.32,9.98,5.52,0.92,17.74
google,run_4,10.009935253,tool,26.98,17.93,33.57,23.19,19.77,13.8,12.58,10.62,2.4,17.14
google,run_4,20.019936823,harness,40.32,13.9,23.08,26.0,12.17,10.92,20.51,5.49,0.94,12.48
google,run_4,20.019936823,tool,29.93,20.67,31.1,20.22,17.97,13.13,9.89,10.33,2.21,20.06
google,run_4,30.028049567,harness,47.69,14.11,22.1,17.78,12.06,10.04,12.29,5.49,1.01,12.85
google,run_4,30.028049567,tool,31.77,19.43,28.75,21.96,16.25,12.5,10.92,11.04,2.12,18.74
google,run_4,40.037934208,harness,51.26,14.87,20.67,14.88,10.79,9.88,9.39,5.49,1.0,13.61
google,run_4,40.037934208,tool,31.5,19.85,28.37,21.88,16.15,12.22,10.34,11.54,1.98,19.11
google,run_4,50.047934729,harness,44.15,13.39,19.26,26.41,9.53,9.73,20.98,5.43,1.01,11.94
google,run_4,50.047934729,tool,30.75,20.03,28.89,21.91,16.6,12.29,10.56,11.35,2.1,19.36
google,run_4,60.058452051,harness,48.65,13.89,19.07,24.48,11.19,7.87,20.48,4.0,1.06,12.6
google,run_4,60.058452051,tool,30.91,19.76,28.99,22.3,16.56,12.43,10.73,11.57,2.15,19.03
google,run_4,70.068863074,harness,40.66,11.48,15.99,30.29,9.42,6.57,25.56,4.72,1.09,10.28
google,run_4,70.068863074,tool,31.69,18.81,28.88,22.08,16.18,12.7,11.48,10.59,1.85,18.27
google,run_4,80.078937555,harness,45.06,12.88,18.38,30.23,10.2,8.18,24.52,5.71,1.06,11.63
google,run_4,80.078937555,tool,31.48,18.9,29.17,21.86,16.33,12.84,11.32,10.54,1.81,18.35
google,run_4,81.229137291,harness,21.05,8.27,10.94,61.31,4.44,6.5,55.09,6.22,0.82,7.76
google,run_4,81.229137291,tool,28.71,19.0,32.95,20.38,20.31,12.64,11.58,8.8,1.42,18.52
google,run_5,10.009840841,harness,30.33,19.2,36.55,15.4,23.06,13.48,9.54,5.86,1.49,18.46
google,run_5,10.009840841,tool,28.01,17.78,32.81,22.12,19.48,13.33,11.4,10.72,2.64,17.18
google,run_5,20.019844788,harness,39.74,13.55,21.27,26.24,10.44,10.82,20.79,5.44,1.16,12.03
google,run_5,20.019844788,tool,29.6,19.39,30.81,21.09,18.07,12.74,10.88,10.21,2.14,18.7
google,run_5,30.029839331,harness,51.62,12.95,24.34,16.03,10.87,13.47,10.77,5.26,0.9,12.05
google,run_5,30.029839331,tool,32.63,19.96,28.54,21.55,15.84,12.7,10.28,11.26,1.84,19.35
google,run_5,40.04029435,harness,52.46,13.62,22.46,16.68,10.43,12.03,10.57,6.11,1.0,11.06
google,run_5,40.04029435,tool,31.67,20.93,29.86,19.75,17.02,12.83,9.29,10.45,1.84,20.29
google,run_5,50.05067445,harness,44.88,11.81,19.29,27.92,8.89,10.4,22.07,5.85,0.95,10.7
google,run_5,50.05067445,tool,31.09,20.59,30.37,19.66,17.69,12.68,9.35,10.31,2.03,19.98
google,run_5,60.060834175,harness,45.43,12.41,18.54,26.9,8.55,9.99,20.77,6.13,0.93,11.33
google,run_5,60.060834175,tool,31.64,21.02,29.96,19.36,17.15,12.81,9.04,10.32,1.89,20.4
google,run_5,70.071838778,harness,42.71,12.03,17.1,32.18,6.34,10.75,26.55,5.63,0.88,11.06
google,run_5,70.071838778,tool,32.0,19.13,29.51,21.27,16.28,13.23,10.43,10.84,2.17,18.59
google,run_5,80.081840074,harness,43.97,12.17,16.39,32.31,9.28,7.11,26.95,5.36,0.9,11.16
google,run_5,80.081840074,tool,31.01,19.48,30.49,20.57,17.13,13.36,9.92,10.65,1.63,18.89
google,run_5,81.306341733,harness,25.54,8.38,11.29,56.07,5.76,5.53,50.42,5.65,0.86,7.49
google,run_5,81.306341733,tool,29.1,17.31,33.63,21.84,20.28,13.35,12.02,9.82,1.59,16.92
google,run_6,10.009517594,harness,28.3,18.98,37.36,14.89,24.89,12.47,9.54,5.35,1.18,17.68
google,run_6,10.009517594,tool,27.74,17.82,32.49,22.39,19.27,13.21,12.07,10.32,2.35,17.2
google,run_6,20.019511791,harness,40.33,13.57,23.05,26.81,11.64,11.41,21.26,5.55,0.88,12.37
google,run_6,20.019511791,tool,29.37,19.56,30.96,20.96,18.08,12.87,10.55,10.41,1.97,18.79
google,run_6,30.029515681,harness,50.85,14.72,23.86,13.2,12.39,11.47,7.94,5.26,0.84,13.78
google,run_6,30.029515681,tool,32.1,19.1,28.76,21.49,16.07,12.69,10.5,10.99,1.58,18.44
google,run_6,40.039997131,harness,52.52,14.11,22.83,17.28,10.03,12.8,11.79,5.49,0.96,12.81
google,run_6,40.039997131,tool,31.34,19.61,29.82,20.51,16.69,13.13,9.69,10.82,1.61,18.96
