task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
jqlang,run_1,10.010017572,harness,28.96,17.85,37.42,15.58,24.23,13.18,10.1,5.48,1.17,16.9
jqlang,run_1,10.010017572,tool,29.85,16.24,28.2,26.46,15.07,13.14,13.42,13.04,2.47,15.53
jqlang,run_1,20.019937052,tool,32.73,19.51,33.79,16.13,17.41,16.38,8.41,7.72,2.41,18.73
jqlang,run_1,30.029953187,harness,5.88,6.64,64.91,24.47,59.64,5.27,18.99,5.49,0.67,6.63
jqlang,run_1,30.029953187,tool,31.28,18.24,37.77,12.76,21.94,15.82,6.49,6.27,2.82,17.78
jqlang,run_1,40.039936284,harness,39.35,17.28,30.31,15.63,17.05,13.26,10.39,5.24,1.17,15.43
jqlang,run_1,40.039936284,tool,30.42,21.91,35.47,14.41,18.53,16.94,6.43,7.97,2.21,21.17
jqlang,run_1,50.049939401,harness,31.75,12.54,21.21,35.58,10.29,10.92,30.02,5.56,1.17,11.35
jqlang,run_1,50.049939401,tool,35.05,17.76,33.05,16.46,18.04,15.01,8.15,8.31,2.43,17.08
jqlang,run_1,60.060751576,harness,48.16,14.81,23.18,16.63,8.91,14.27,11.22,5.4,1.18,13.55
jqlang,run_1,60.060751576,tool,32.35,19.32,34.54,15.74,18.44,16.1,7.67,8.07,2.47,18.59
jqlang,run_1,70.070936769,harness,44.02,12.66,20.4,24.64,8.98,11.42,19.67,4.97,1.18,12.23
jqlang,run_1,70.070936769,tool,32.07,18.72,34.85,16.32,18.93,15.91,8.17,8.15,2.47,18.04
jqlang,run_1,80.080938144,harness,45.36,13.23,20.84,23.47,9.0,11.84,18.17,5.29,1.18,12.29
jqlang,run_1,80.080938144,tool,32.31,17.91,35.12,16.6,19.15,15.97,8.53,8.07,2.58,17.26
jqlang,run_1,90.09221731,harness,43.12,11.19,18.8,28.19,6.55,12.25,22.81,5.38,0.88,10.02
jqlang,run_1,90.09221731,tool,32.16,17.64,35.25,16.85,19.33,15.92,8.85,7.99,2.61,16.99
jqlang,run_1,94.686030694,harness,30.54,9.72,15.26,47.7,5.2,10.06,41.41,6.3,0.82,7.78
jqlang,run_1,94.686030694,tool,31.3,17.66,35.45,17.53,19.71,15.73,9.27,8.26,2.54,16.98
jqlang,run_2,10.009996473,harness,28.91,17.61,36.96,15.59,23.56,13.39,9.8,5.79,1.4,16.69
jqlang,run_2,10.009996473,tool,30.03,16.24,28.15,26.47,14.95,13.2,13.51,12.96,2.23,15.4
jqlang,run_2,20.021284786,tool,31.09,19.4,34.56,15.22,18.15,16.42,8.19,7.03,2.1,19.06
jqlang,run_2,30.030982214,harness,6.18,6.44,51.24,40.44,45.65,5.59,20.89,19.55,0.57,6.44
jqlang,run_2,30.030982214,tool,31.58,17.59,33.67,17.28,17.86,15.81,9.18,8.1,2.36,17.11
jqlang,run_2,40.040990108,harness,39.5,15.59,29.07,15.72,15.69,13.38,10.1,5.61,1.34,14.59
jqlang,run_2,40.040990108,tool,31.93,17.96,33.65,17.0,17.65,16.0,9.07,7.93,2.25,17.51
jqlang,run_2,50.051983518,harness,32.77,12.7,21.36,35.15,9.16,12.2,29.04,6.11,0.97,11.29
jqlang,run_2,50.051983518,tool,32.69,16.83,34.35,16.62,18.08,16.28,8.95,7.67,2.55,16.32
jqlang,run_2,60.061985396,harness,47.96,14.64,23.71,16.64,10.51,13.2,10.98,5.66,1.18,13.16
