task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
php-cs-fixer,run_1,10.009939678,harness,30.6,17.25,35.95,15.34,22.59,13.36,9.86,5.48,1.22,15.98
php-cs-fixer,run_1,10.009939678,tool,30.82,12.99,38.75,18.12,21.77,16.98,11.18,6.93,3.23,12.11
php-cs-fixer,run_1,20.019938209,harness,44.09,12.5,22.06,22.11,9.11,12.95,15.92,6.18,1.18,10.88
php-cs-fixer,run_1,20.019938209,tool,28.84,14.73,35.8,20.94,20.43,15.37,12.84,8.1,3.12,13.87
php-cs-fixer,run_1,30.029938494,harness,41.85,11.04,19.5,29.75,7.81,11.69,23.62,6.13,1.03,9.43
php-cs-fixer,run_1,30.029938494,tool,30.02,14.28,34.89,21.6,19.61,15.28,13.38,8.22,2.99,13.54
php-cs-fixer,run_1,40.040940806,harness,44.48,12.0,19.02,29.13,8.44,10.59,21.64,7.49,0.91,10.43
php-cs-fixer,run_1,40.040940806,tool,30.06,14.07,35.44,21.56,19.95,15.49,12.9,8.65,3.1,13.26
php-cs-fixer,run_1,50.052465978,tool,30.12,14.85,33.48,22.5,18.18,15.3,12.93,9.57,3.34,13.93
php-cs-fixer,run_1,60.061938217,tool,30.03,14.87,33.37,22.65,18.11,15.25,13.02,9.64,3.33,13.96
php-cs-fixer,run_1,70.07229396,harness,53.19,12.66,21.98,18.82,10.07,11.91,12.38,6.44,1.24,11.1
php-cs-fixer,run_1,70.07229396,tool,30.11,14.36,33.86,22.32,18.71,15.15,12.95,9.37,3.25,13.59
php-cs-fixer,run_1,80.081938638,tool,30.44,14.95,33.53,21.87,18.22,15.3,12.53,9.34,3.32,14.16
php-cs-fixer,run_1,90.092304112,harness,38.39,12.07,18.9,34.78,9.1,9.8,28.23,6.55,0.94,10.5
php-cs-fixer,run_1,90.092304112,tool,28.97,15.05,31.13,25.18,17.48,13.65,14.68,10.5,3.24,14.39
php-cs-fixer,run_1,100.101937786,harness,42.83,12.0,18.85,33.06,9.03,9.82,27.33,5.73,0.91,10.44
php-cs-fixer,run_1,100.101937786,tool,28.98,14.41,32.04,25.37,18.28,13.75,15.17,10.19,3.35,13.75
php-cs-fixer,run_1,110.111934418,harness,42.79,12.0,19.34,30.09,8.58,10.76,24.27,5.81,0.9,10.43
php-cs-fixer,run_1,110.111934418,tool,28.87,14.46,31.73,25.25,18.06,13.68,14.87,10.38,3.36,13.8
php-cs-fixer,run_1,120.121936152,tool,29.67,14.63,31.04,24.89,17.28,13.76,14.2,10.69,3.18,13.89
php-cs-fixer,run_1,130.131933025,harness,32.48,11.95,17.95,36.21,8.9,9.05,29.31,6.89,0.88,10.39
php-cs-fixer,run_1,130.131933025,tool,29.84,15.13,31.45,23.98,17.23,14.22,13.51,10.47,3.29,14.4
php-cs-fixer,run_1,140.141939588,tool,29.68,15.02,30.83,24.73,16.95,13.88,13.88,10.84,3.18,14.39
php-cs-fixer,run_1,150.146185807,harness,37.61,11.9,19.48,32.71,8.82,10.66,26.88,5.83,0.86,10.34
php-cs-fixer,run_1,150.146185807,tool,29.23,15.2,30.63,24.95,17.31,13.32,14.17,10.78,3.14,14.59
php-cs-fixer,run_1,160.155938728,harness,42.68,8.23,16.14,31.83,5.14,11.0,25.95,5.88,1.57,7.04
php-cs-fixer,run_1,160.155938728,tool,29.46,15.01,30.8,24.83,17.46,13.34,14.29,10.54,3.16,14.39
php-cs-fixer,run_1,164.573287115,harness,32.23,8.08,13.78,46.69,5.07,8.72,39.14,7.56,1.57,6.89
php-cs-fixer,run_1,164.573287115,tool,27.77,16.49,34.9,21.53,19.9,15.0,12.3,9.23,2.59,16.04
php-cs-fixer,run_2,10.009798313,harness,31.98,17.07,35.47,15.59,22.55,12.93,10.15,5.44,1.38,15.91
php-cs-fixer,run_2,10.009798313,tool,26.79,12.8,38.37,22.09,22.53,15.84,13.69,8.41,2.66,12.28
php-cs-fixer,run_2,20.019798222,harness,40.57,12.41,20.69,28.21,9.14,11.56,21.62,6.6,1.02,10.82
