task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
prometheus,run_1,10.009954461,harness,34.89,15.36,32.04,16.59,18.3,13.75,10.69,5.9,1.67,14.3
prometheus,run_1,10.009954461,tool,33.03,13.45,37.82,16.43,20.02,17.79,9.88,6.55,2.96,12.31
prometheus,run_1,20.019956955,harness,42.22,11.67,21.9,25.41,9.91,11.99,19.18,6.23,1.41,10.8
prometheus,run_1,20.019956955,tool,24.64,17.13,39.48,18.14,14.46,25.01,12.09,6.05,2.12,17.15
prometheus,run_1,30.029959167,harness,41.64,10.78,18.74,30.47,7.68,11.06,23.74,6.73,1.2,8.5
prometheus,run_1,30.029959167,tool,28.17,15.88,38.15,18.72,21.22,16.94,11.56,7.17,2.62,15.36
prometheus,run_1,40.040386249,harness,45.74,10.87,20.2,29.24,9.44,10.76,22.2,7.03,1.49,9.69
prometheus,run_1,40.040386249,tool,28.59,15.8,36.62,20.35,21.09,15.53,12.41,7.95,2.15,15.22
prometheus,run_1,50.04995707,harness,40.14,8.56,16.64,35.25,5.19,11.45,26.8,8.45,1.15,7.33
prometheus,run_1,50.04995707,tool,28.43,15.83,36.27,21.82,20.82,15.45,14.05,7.77,2.13,15.27
prometheus,run_1,60.061734091,harness,41.21,8.55,14.85,30.6,4.92,9.94,24.59,6.01,1.15,7.32
prometheus,run_1,60.061734091,tool,28.66,14.94,34.59,22.89,20.7,13.89,13.62,9.27,2.14,14.52
prometheus,run_1,70.072058998,harness,39.65,8.5,15.78,34.78,5.07,10.71,28.24,6.54,1.15,7.27
prometheus,run_1,70.072058998,tool,28.55,15.18,34.77,22.42,20.89,13.89,13.08,9.34,2.12,14.74
prometheus,run_1,80.082399808,harness,42.12,8.81,15.95,33.24,4.59,11.35,25.81,7.44,1.16,7.62
prometheus,run_1,80.082399808,tool,28.6,15.18,35.42,21.74,20.86,14.55,13.21,8.53,2.12,14.77
prometheus,run_1,90.091965074,tool,29.09,15.69,35.8,21.97,20.48,15.32,13.7,8.27,2.32,15.05
prometheus,run_1,100.101952384,tool,27.09,17.64,34.2,22.43,19.81,14.39,14.84,7.58,1.65,17.16
prometheus,run_1,110.111954961,harness,38.58,7.14,15.87,39.67,4.34,11.53,32.34,7.33,1.18,6.08
prometheus,run_1,110.111954961,tool,28.04,17.29,27.37,29.32,16.95,10.42,18.62,10.7,1.72,16.79
prometheus,run_1,120.121953265,tool,27.42,17.32,33.44,23.2,19.28,14.17,15.26,7.94,1.71,16.88
prometheus,run_1,130.13195357,tool,26.59,17.97,33.19,23.85,19.32,13.87,16.06,7.79,1.58,17.52
prometheus,run_1,140.141953444,harness,49.31,8.5,20.28,26.24,4.72,15.55,18.8,7.44,1.16,7.28
prometheus,run_1,140.141953444,tool,27.64,16.92,32.94,23.65,18.9,14.04,15.49,8.16,1.79,16.44
prometheus,run_1,150.1522791,tool,26.92,17.88,33.34,23.11,19.38,13.97,15.22,7.89,1.6,17.38
prometheus,run_1,160.161959647,tool,27.02,17.76,33.75,23.16,19.58,14.17,15.24,7.92,1.62,17.28
prometheus,run_1,170.172519526,harness,39.48,8.4,15.32,34.2,4.56,10.76,26.78,7.42,1.16,7.19
prometheus,run_1,170.172519526,tool,27.57,17.03,32.92,23.66,18.91,14.01,15.52,8.14,1.77,16.55
prometheus,run_1,180.18290279,harness,38.13,8.32,15.16,35.66,4.44,10.71,30.62,5.03,1.17,7.13
prometheus,run_1,180.18290279,tool,29.28,16.03,31.62,24.35,18.08,13.54,15.5,8.85,2.08,15.36
prometheus,run_1,190.19296371,harness,39.4,8.36,16.76,36.45,4.52,12.23,28.01,8.44,1.56,7.16
prometheus,run_1,190.19296371,tool,28.71,16.09,32.68,23.69,18.81,13.87,15.14,8.56,2.04,15.4
prometheus,run_1,200.203955523,harness,39.67,8.18,16.19,35.74,5.06,11.13,27.32,8.42,1.55,6.98
prometheus,run_1,200.203955523,tool,29.39,16.55,28.58,27.13,15.93,12.66,17.71,9.42,1.79,15.83
prometheus,run_1,210.214425368,harness,39.64,7.94,16.96,36.68,4.41,12.55,28.6,8.08,1.56,6.76
prometheus,run_1,210.214425368,tool,28.13,14.36,29.34,29.02,16.38,12.96,18.13,10.88,1.92,13.84
prometheus,run_1,220.225306459,harness,38.32,7.62,15.98,37.47,4.81,11.17,29.39,8.09,1.18,6.73
prometheus,run_1,220.225306459,tool,27.05,16.05,30.36,27.83,17.54,12.82,17.42,10.41,1.78,15.5
prometheus,run_1,230.234957584,harness,39.71,7.51,16.55,36.68,4.82,11.73,27.32,9.36,1.61,6.32
prometheus,run_1,230.234957584,tool,27.32,16.77,31.49,25.92,18.08,13.42,16.53,9.39,1.71,16.23
prometheus,run_1,240.244962335,harness,38.56,7.5,16.64,39.51,4.77,11.87,32.53,6.98,1.56,6.32
prometheus,run_1,240.244962335,tool,28.51,13.92,29.05,30.06,16.49,12.55,17.95,12.11,2.29,13.34
prometheus,run_1,250.25532788,harness,37.45,7.47,15.94,38.47,4.36,11.58,30.5,7.97,1.57,6.29
prometheus,run_1,250.25532788,tool,25.59,12.44,25.86,38.4,15.55,10.31,22.78,15.61,2.39,12.16
prometheus,run_1,260.266442961,harness,38.91,7.49,17.43,37.28,4.75,12.68,29.9,7.38,1.96,6.37
prometheus,run_1,260.266442961,tool,27.87,17.48,22.37,34.63,12.11,10.26,12.65,21.98,3.1,17.05
prometheus,run_1,270.276849512,harness,40.05,7.54,18.24,35.75,4.81,13.43,28.5,7.24,1.94,6.35
prometheus,run_1,270.276849512,tool,28.71,15.35,28.34,29.19,14.27,14.07,18.32,10.86,1.8,14.92
prometheus,run_1,273.847438809,harness,31.78,7.26,14.09,47.96,5.33,8.76,39.75,8.21,1.68,6.46
prometheus,run_1,273.847438809,tool,27.16,17.73,33.95,22.82,19.53,14.42,14.67,8.15,1.58,17.24
prometheus,run_2,10.009947489,harness,34.59,14.61,33.26,17.22,18.68,14.59,11.52,5.7,1.76,13.64
prometheus,run_2,10.009947489,tool,30.58,15.05,38.24,16.26,16.11,22.13,9.69,6.57,2.51,14.48
prometheus,run_2,20.019945881,harness,42.72,11.19,21.47,25.9,10.95,10.52,19.6,6.3,1.51,10.51
prometheus,run_2,20.019945881,tool,25.31,18.42,39.0,17.98,10.9,28.1,11.72,6.26,1.46,18.17
