task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
rubocop,run_1,10.009869681,harness,26.92,17.55,38.95,15.95,25.54,13.41,10.33,5.61,1.33,16.63
rubocop,run_1,10.009869681,tool,30.49,16.23,38.63,15.97,20.21,18.42,8.9,7.07,3.03,15.17
rubocop,run_1,20.019873491,harness,33.62,13.83,23.96,28.33,12.46,11.5,23.13,5.2,1.09,13.15
rubocop,run_1,20.019873491,tool,30.77,16.12,37.8,16.43,19.65,18.15,8.59,7.84,3.03,15.02
rubocop,run_1,30.030263307,harness,46.0,12.92,23.87,15.84,10.76,13.12,11.58,4.26,1.04,12.27
rubocop,run_1,30.030263307,tool,32.61,14.36,37.77,17.47,18.71,19.06,9.67,7.8,2.38,13.58
rubocop,run_1,40.039869072,harness,46.3,14.37,23.15,16.84,7.9,15.25,11.74,5.1,0.97,13.8
rubocop,run_1,40.039869072,tool,32.77,14.61,36.25,16.74,18.6,17.65,9.73,7.01,2.38,13.46
rubocop,run_1,50.04989347,harness,49.01,14.32,23.19,16.03,8.76,14.43,10.93,5.1,0.93,13.19
rubocop,run_1,50.04989347,tool,32.19,15.17,36.55,16.89,19.0,17.55,9.83,7.06,2.36,14.39
rubocop,run_1,60.059876711,harness,52.48,12.49,21.71,17.01,9.16,12.55,11.91,5.1,1.36,11.23
rubocop,run_1,60.059876711,tool,32.48,14.21,32.43,26.1,17.82,14.6,17.5,8.6,2.36,13.43
rubocop,run_1,70.06987308,tool,23.15,14.11,27.08,34.48,14.91,12.16,24.68,9.8,1.57,13.33
rubocop,run_1,80.07689193,harness,46.25,12.55,18.92,23.91,8.91,10.01,19.71,4.2,1.11,11.21
rubocop,run_1,80.07689193,tool,27.86,13.06,32.11,26.35,15.94,16.17,17.81,8.54,1.33,12.63
rubocop,run_1,81.595083392,harness,18.56,9.77,11.49,62.3,5.64,5.86,55.03,7.27,0.89,9.24
rubocop,run_1,81.595083392,tool,28.06,17.21,36.79,20.61,20.61,16.18,13.5,7.11,2.56,16.46
rubocop,run_2,10.009931853,harness,28.25,17.69,37.91,15.61,24.35,13.56,9.56,6.04,1.48,16.56
rubocop,run_2,10.009931853,tool,30.57,15.55,38.49,15.65,20.79,17.7,8.39,7.26,2.45,14.86
rubocop,run_2,20.019933593,harness,33.08,13.14,24.4,29.25,13.04,11.36,23.72,5.54,0.93,11.58
rubocop,run_2,20.019933593,tool,32.17,14.75,37.48,16.07,19.45,18.04,8.8,7.27,3.05,14.35
rubocop,run_2,30.029938751,harness,47.24,12.76,22.94,17.41,10.95,11.99,11.21,6.2,0.83,11.51
rubocop,run_2,30.029938751,tool,32.98,14.72,36.91,16.55,18.98,17.93,9.82,6.73,2.37,14.32
rubocop,run_2,40.039939434,harness,48.11,12.89,23.36,16.82,11.59,11.78,11.77,5.04,0.95,11.39
rubocop,run_2,40.039939434,tool,33.07,14.31,36.15,17.28,18.54,17.61,10.21,7.08,1.99,13.5
rubocop,run_2,50.049936378,harness,48.37,13.11,22.88,16.59,9.81,13.07,11.33,5.27,1.41,11.39
rubocop,run_2,50.049936378,tool,32.98,14.35,36.22,18.02,18.63,17.6,10.91,7.11,2.0,13.58
rubocop,run_2,60.059939966,harness,49.77,13.12,22.72,16.7,8.14,14.58,12.35,4.35,1.4,11.39
rubocop,run_2,60.059939966,tool,31.68,14.21,32.71,26.16,17.35,15.36,17.19,8.97,2.36,13.41
rubocop,run_2,70.066457144,tool,22.75,13.74,26.68,36.84,15.3,11.38,27.07,9.76,1.96,13.34
rubocop,run_2,79.962832247,harness,32.97,10.53,15.29,42.66,6.81,8.48,37.24,5.42,1.13,9.45
rubocop,run_2,79.962832247,tool,30.83,13.89,33.25,22.13,17.25,16.0,14.93,7.2,1.68,13.47
rubocop,run_3,10.009871232,harness,29.37,17.85,37.98,14.92,23.73,14.25,9.06,5.86,1.53,16.72
rubocop,run_3,10.009871232,tool,30.81,15.86,39.29,15.1,20.49,18.8,8.13,6.97,2.39,15.09
rubocop,run_3,20.01986627,harness,34.17,13.28,24.51,28.8,12.61,11.9,23.76,5.04,1.06,12.0
rubocop,run_3,20.01986627,tool,31.19,15.61,38.09,16.27,20.1,17.98,9.23,7.04,2.42,14.84
rubocop,run_3,30.029871025,harness,45.77,12.95,24.43,15.94,10.01,14.42,11.06,4.88,0.99,11.76
rubocop,run_3,30.029871025,tool,32.75,14.6,36.57,16.88,18.56,18.01,9.42,7.46,2.75,13.81
rubocop,run_3,40.039873995,harness,48.61,12.57,24.04,15.34,11.11,12.93,10.76,4.58,0.89,11.57
rubocop,run_3,40.039873995,tool,33.84,13.93,36.6,17.55,18.6,18.0,10.15,7.4,2.38,13.13
rubocop,run_3,50.050868989,harness,49.43,12.6,23.02,15.49,9.71,13.31,10.51,4.98,0.9,11.59
rubocop,run_3,50.050868989,tool,33.75,13.98,36.63,18.32,18.57,18.06,10.9,7.42,2.36,13.23
