task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
scikit-learn,run_1,10.00998377,harness,26.2,18.46,39.51,15.76,26.66,12.85,10.4,5.36,1.0,17.9
scikit-learn,run_1,10.00998377,tool,32.63,10.75,24.3,32.44,12.7,11.6,11.25,21.19,6.43,10.24
scikit-learn,run_1,20.019986455,harness,40.9,15.91,29.9,15.69,16.32,13.59,10.34,5.35,1.02,14.23
scikit-learn,run_1,20.019986455,tool,28.8,4.82,11.69,57.8,6.65,5.04,9.89,47.91,9.96,4.78
scikit-learn,run_1,30.029983885,harness,23.17,13.46,42.94,21.94,32.73,10.2,15.16,6.79,1.35,12.72
scikit-learn,run_1,30.029983885,tool,27.9,0.2,4.43,67.38,1.82,2.61,11.22,56.16,13.14,0.15
scikit-learn,run_1,40.040001943,harness,46.79,16.79,28.07,16.15,14.8,13.27,10.67,5.48,1.17,9.77
scikit-learn,run_1,40.040001943,tool,27.9,0.37,5.66,65.55,2.26,3.4,10.85,54.7,13.05,0.25
scikit-learn,run_1,50.049999182,harness,41.84,13.09,21.6,26.55,8.76,12.85,20.68,5.87,1.08,11.62
scikit-learn,run_1,50.049999182,tool,31.06,8.5,21.08,39.11,11.45,9.63,11.28,27.83,8.04,8.25
scikit-learn,run_1,60.05999198,tool,29.81,2.14,7.25,64.73,4.52,2.73,9.12,55.61,10.98,2.06
scikit-learn,run_1,70.069993145,tool,28.28,0.15,4.46,67.47,1.91,2.55,10.98,56.49,13.24,0.15
scikit-learn,run_1,80.07998507,harness,50.67,12.97,22.14,16.88,9.98,12.17,11.42,5.46,0.96,11.38
scikit-learn,run_1,80.07998507,tool,27.99,5.04,14.82,48.83,7.88,6.94,10.77,38.06,10.03,4.82
scikit-learn,run_1,90.089990653,tool,28.09,0.2,4.19,67.51,1.86,2.33,10.94,56.57,12.94,0.15
scikit-learn,run_1,100.093767084,harness,56.51,14.45,25.74,7.23,12.46,13.28,2.0,5.23,1.17,13.29
scikit-learn,run_1,100.093767084,tool,28.35,0.43,5.89,65.89,2.34,3.55,11.1,54.79,12.94,0.31
scikit-learn,run_1,103.101591283,harness,20.12,8.76,11.42,59.29,5.29,6.13,53.2,6.08,0.6,8.33
scikit-learn,run_1,103.101591283,tool,28.7,2.51,12.54,47.94,6.17,6.38,12.43,35.51,12.02,2.23
scikit-learn,run_2,10.009942818,harness,26.01,18.57,39.48,16.2,26.78,12.7,10.87,5.33,1.22,17.57
scikit-learn,run_2,10.009942818,tool,33.36,10.46,23.69,32.83,12.14,11.55,11.02,21.8,6.84,9.78
scikit-learn,run_2,20.019940977,harness,39.73,15.66,29.65,15.37,16.44,13.21,10.27,5.1,1.17,14.15
scikit-learn,run_2,20.019940977,tool,28.99,4.38,10.81,59.21,6.14,4.67,10.25,48.96,10.36,4.24
scikit-learn,run_2,30.029939355,harness,10.36,9.32,56.75,24.75,51.32,5.44,18.94,5.81,0.99,9.12
scikit-learn,run_2,30.029939355,tool,28.48,0.15,3.97,67.21,1.76,2.21,11.13,56.08,13.04,0.15
scikit-learn,run_2,40.039942643,harness,45.91,13.05,25.3,15.36,12.4,12.89,10.28,5.08,1.19,11.88
scikit-learn,run_2,40.039942643,tool,28.21,0.96,6.68,64.78,2.59,4.09,11.35,53.43,12.97,0.82
scikit-learn,run_2,50.04996382,harness,40.25,13.95,20.52,26.08,9.42,11.1,20.6,5.48,1.18,12.54
scikit-learn,run_2,50.04996382,tool,30.26,6.76,17.51,44.52,9.25,8.25,10.89,33.64,9.31,6.42
scikit-learn,run_2,60.059942419,tool,28.04,0.15,3.73,68.19,1.77,1.97,10.93,57.26,12.89,0.15
scikit-learn,run_2,70.069966034,tool,27.97,0.41,5.06,66.13,1.95,3.11,11.12,55.01,12.9,0.29
scikit-learn,run_2,80.080337085,harness,51.21,14.07,21.97,16.77,9.18,12.79,11.54,5.23,1.18,11.83
scikit-learn,run_2,80.080337085,tool,27.36,2.93,9.11,57.73,4.32,4.78,11.81,45.91,11.53,2.85
scikit-learn,run_2,90.090946366,tool,28.23,0.2,4.85,67.85,2.28,2.57,10.74,57.11,12.8,0.15
scikit-learn,run_2,100.100941928,harness,36.74,11.28,15.63,41.0,9.02,6.61,35.79,5.21,1.18,10.92
scikit-learn,run_2,100.100941928,tool,27.94,1.07,6.3,64.62,2.62,3.67,11.13,53.49,12.96,0.82
scikit-learn,run_2,101.329069241,harness,13.71,8.06,9.28,68.18,4.94,4.35,61.9,6.28,1.2,7.78
scikit-learn,run_2,101.329069241,tool,26.57,4.33,10.57,55.97,5.0,5.57,12.18,43.8,12.87,3.33
scikit-learn,run_3,10.010005433,harness,26.74,18.49,38.5,15.92,25.92,12.57,10.41,5.51,1.3,17.99
scikit-learn,run_3,10.010005433,tool,33.47,10.52,23.85,32.88,12.33,11.53,11.47,21.41,6.83,9.84
scikit-learn,run_3,20.020006039,harness,38.88,16.83,29.62,15.77,16.68,12.94,10.28,5.49,1.22,14.49
scikit-learn,run_3,20.020006039,tool,28.8,4.63,10.9,58.89,6.23,4.67,10.2,48.69,10.28,4.46
