task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
sympy,run_1,10.010019177,harness,23.86,19.31,40.59,16.16,28.38,12.21,10.44,5.72,0.96,18.56
sympy,run_1,10.010019177,tool,31.48,16.94,33.21,19.61,16.9,16.31,12.27,7.33,3.1,16.22
sympy,run_1,20.019842389,harness,35.56,12.83,21.28,31.3,10.71,10.57,25.49,5.81,1.16,12.11
sympy,run_1,20.019842389,tool,30.49,17.76,34.37,18.45,18.69,15.69,11.26,7.19,3.11,17.2
sympy,run_1,30.030201657,harness,46.13,12.24,20.12,26.25,9.32,10.8,20.26,5.98,1.07,10.45
sympy,run_1,30.030201657,tool,29.73,17.71,34.49,23.03,18.8,15.68,11.99,11.04,3.1,17.15
sympy,run_1,40.03984945,harness,38.31,8.14,12.75,38.74,6.95,5.8,32.13,6.61,0.63,7.74
sympy,run_1,40.03984945,tool,25.98,17.51,33.0,24.94,17.32,15.68,15.22,9.72,2.8,17.0
sympy,run_1,50.050840658,harness,39.73,8.4,12.6,37.37,7.33,5.27,30.86,6.52,0.63,8.16
sympy,run_1,50.050840658,tool,26.82,17.36,33.26,24.4,17.38,15.88,14.99,9.41,2.87,16.84
sympy,run_1,60.060842425,harness,40.7,7.28,13.89,38.77,4.54,9.35,31.8,6.97,1.23,5.74
sympy,run_1,60.060842425,tool,26.06,17.31,33.42,23.41,17.67,15.74,14.31,9.11,2.84,16.75
sympy,run_1,70.070845553,harness,40.1,7.15,12.89,39.41,4.48,8.4,33.27,6.14,1.19,5.61
sympy,run_1,70.070845553,tool,26.16,17.41,33.49,23.74,17.74,15.75,14.83,8.91,2.82,16.88
sympy,run_1,80.080840939,harness,40.02,6.8,13.65,38.48,4.37,9.28,32.29,6.19,1.2,5.15
sympy,run_1,80.080840939,tool,25.78,17.43,33.88,23.83,18.28,15.61,14.46,9.38,2.83,16.92
sympy,run_1,90.091151412,harness,40.08,6.73,12.82,38.12,4.38,8.44,31.79,6.33,1.18,5.16
sympy,run_1,90.091151412,tool,25.76,17.37,33.72,24.13,18.05,15.67,14.78,9.34,2.82,16.86
sympy,run_1,100.101082649,harness,39.67,6.55,14.01,41.51,4.45,9.56,33.34,8.16,1.57,4.86
sympy,run_1,100.101082649,tool,26.01,17.36,33.5,24.0,17.77,15.72,14.8,9.2,2.82,16.82
sympy,run_1,110.110843189,harness,39.11,7.16,14.06,40.99,4.45,9.61,33.39,7.6,1.58,5.23
sympy,run_1,110.110843189,tool,25.9,17.29,33.59,24.08,17.89,15.69,14.88,9.21,2.83,16.75
sympy,run_1,120.120842743,harness,37.43,7.16,13.05,40.94,4.43,8.63,35.18,5.77,1.57,5.21
sympy,run_1,120.120842743,tool,26.26,17.27,33.7,23.99,18.06,15.64,14.72,9.27,2.86,16.77
sympy,run_1,130.132843024,harness,39.64,6.03,14.1,40.73,4.02,10.08,32.96,7.77,1.18,4.76
sympy,run_1,130.132843024,tool,27.14,17.15,33.17,23.48,17.22,15.95,14.58,8.89,2.88,16.56
sympy,run_1,140.143837246,harness,39.18,6.75,15.43,40.25,5.14,10.3,33.02,7.23,1.57,4.78
sympy,run_1,140.143837246,tool,27.35,17.05,33.23,23.42,17.3,15.93,14.55,8.86,2.9,16.48
sympy,run_1,150.153843835,harness,37.4,6.68,15.3,43.21,5.11,10.19,35.51,7.7,1.57,4.72
sympy,run_1,150.153843835,tool,27.35,17.15,33.39,23.31,17.55,15.84,14.4,8.91,2.9,16.59
sympy,run_1,160.163842324,harness,37.99,5.96,13.97,40.94,4.02,9.94,34.22,6.72,1.2,4.79
sympy,run_1,160.163842324,tool,26.89,17.24,33.53,23.43,17.73,15.8,14.4,9.04,2.89,16.68
sympy,run_1,170.17384117,harness,39.94,6.77,14.31,40.43,4.05,10.26,31.49,8.94,1.19,4.82
sympy,run_1,170.17384117,tool,26.58,17.18,33.45,23.89,17.63,15.82,14.71,9.18,2.87,16.64
sympy,run_1,180.183839061,harness,39.98,6.29,14.71,40.07,4.32,10.39,32.11,7.96,0.8,4.75
sympy,run_1,180.183839061,tool,26.8,17.25,33.59,23.36,17.79,15.8,14.39,8.97,2.87,16.67
sympy,run_1,190.193844016,harness,38.42,6.3,14.71,40.38,3.96,10.75,31.89,8.49,1.57,3.97
sympy,run_1,190.193844016,tool,25.4,17.49,33.85,23.97,18.22,15.62,14.72,9.26,2.76,16.96
sympy,run_1,200.203846002,harness,36.37,6.32,14.52,43.23,4.01,10.51,36.68,6.55,1.57,3.98
sympy,run_1,200.203846002,tool,25.95,17.34,33.52,24.33,17.82,15.7,14.88,9.45,2.87,16.84
sympy,run_1,210.214472824,harness,39.33,6.37,15.25,39.18,4.42,10.83,31.67,7.51,1.58,4.79
sympy,run_1,210.214472824,tool,26.63,17.14,33.37,23.87,17.55,15.83,14.8,9.06,2.85,16.6
sympy,run_1,220.224856116,harness,38.54,5.6,14.01,42.41,4.01,10.0,34.54,7.87,1.2,4.0
sympy,run_1,220.224856116,tool,26.7,17.24,33.42,23.65,17.6,15.82,14.57,9.08,2.88,16.67
sympy,run_1,230.234854177,harness,38.49,5.94,15.16,40.0,3.96,11.2,32.52,7.48,1.59,4.73
sympy,run_1,230.234854177,tool,26.46,17.3,33.44,23.71,17.62,15.82,14.63,9.08,2.84,16.73
sympy,run_1,240.244840297,harness,39.62,6.34,15.41,37.66,4.74,10.68,31.52,6.13,1.98,4.75
sympy,run_1,240.244840297,tool,26.56,17.27,33.41,23.63,17.61,15.8,14.61,9.02,2.86,16.69
sympy,run_1,250.254837816,harness,40.97,6.33,14.77,38.85,4.0,10.77,30.42,8.43,1.96,4.41
sympy,run_1,250.254837816,tool,26.05,17.26,33.86,23.98,18.24,15.62,14.76,9.21,2.81,16.77
sympy,run_1,260.265231261,harness,38.51,6.31,15.36,41.23,3.97,11.39,33.5,7.73,0.8,4.75
sympy,run_1,260.265231261,tool,26.63,17.26,33.33,23.82,17.51,15.82,14.71,9.11,2.84,16.73
sympy,run_1,268.760791836,harness,38.39,5.99,15.42,43.16,4.42,10.99,34.93,8.23,1.96,4.74
sympy,run_1,268.760791836,tool,27.37,17.52,33.99,22.4,18.3,15.69,13.51,8.89,2.89,16.96
sympy,run_2,10.009955432,harness,25.25,18.78,39.25,17.12,26.85,12.4,11.59,5.53,1.58,17.82
sympy,run_2,10.009955432,tool,29.28,18.13,32.21,19.89,16.63,15.58,11.64,8.26,2.7,17.35
sympy,run_2,20.019958726,harness,36.69,12.51,22.25,30.79,11.04,11.21,24.84,5.96,1.54,11.42
sympy,run_2,20.019958726,tool,26.86,19.93,35.51,18.13,19.55,15.96,10.02,8.11,2.67,19.13
sympy,run_2,30.030308579,harness,40.96,10.43,18.36,33.18,8.53,9.82,26.64,6.53,1.35,9.05
sympy,run_2,30.030308579,tool,26.63,19.74,34.46,24.32,19.2,15.26,14.28,10.04,2.63,18.93
sympy,run_2,40.04095666,harness,43.21,8.35,14.48,33.64,7.6,6.88,27.74,5.9,1.04,8.27
sympy,run_2,40.04095666,tool,26.05,18.23,32.75,24.06,17.21,15.55,14.26,9.81,2.66,17.46
sympy,run_2,50.051171148,harness,39.62,8.31,14.26,37.67,7.28,6.98,31.91,5.76,0.99,8.03
sympy,run_2,50.051171148,tool,26.27,17.74,32.29,24.46,16.85,15.43,14.83,9.63,2.74,17.1
sympy,run_2,60.060959963,harness,35.72,8.08,13.82,46.77,7.37,6.45,41.14,5.64,0.95,7.85
sympy,run_2,60.060959963,tool,26.25,17.58,32.37,24.41,16.79,15.58,14.37,10.04,2.74,16.94
sympy,run_2,70.073956627,harness,32.44,7.38,13.39,41.97,6.9,6.49,36.84,5.13,0.84,7.31
