task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
tokio-rs,run_1,10.009946287,harness,29.39,17.86,36.73,15.68,23.86,12.87,10.23,5.45,1.22,16.57
tokio-rs,run_1,10.009946287,tool,25.82,19.01,37.52,18.11,22.1,15.42,10.73,7.39,2.64,18.11
tokio-rs,run_1,20.017582246,harness,37.75,12.5,22.56,27.01,11.03,11.52,21.79,5.22,0.87,11.21
tokio-rs,run_1,20.017582246,tool,24.78,17.29,31.68,27.09,19.84,11.84,16.81,10.28,2.36,16.44
tokio-rs,run_1,30.027951013,harness,44.45,12.45,20.99,22.94,7.93,13.06,17.24,5.7,1.08,10.98
tokio-rs,run_1,30.027951013,tool,22.95,18.17,33.42,26.88,21.56,11.86,16.61,10.27,1.68,17.35
tokio-rs,run_1,40.038941182,harness,47.35,12.46,21.45,23.86,9.52,11.93,17.46,6.4,1.04,11.03
tokio-rs,run_1,40.038941182,tool,24.46,17.65,29.31,29.69,17.58,11.73,19.44,10.25,1.72,16.9
tokio-rs,run_1,50.048942766,harness,44.17,11.95,19.18,29.13,8.28,10.9,23.92,5.21,1.09,10.47
tokio-rs,run_1,50.048942766,tool,25.11,17.27,30.39,28.86,19.05,11.35,18.57,10.29,1.69,16.46
tokio-rs,run_1,60.059946799,harness,46.97,12.55,21.32,18.73,9.29,12.03,13.76,4.97,1.11,11.04
tokio-rs,run_1,60.059946799,tool,25.04,17.36,31.19,28.56,19.44,11.74,17.87,10.69,1.69,16.46
tokio-rs,run_1,70.070941726,harness,37.89,12.55,17.84,32.73,9.26,8.57,28.44,4.29,1.12,11.04
tokio-rs,run_1,70.070941726,tool,27.84,15.97,28.55,29.96,16.24,12.31,18.54,11.42,2.35,15.28
tokio-rs,run_1,80.08094173,harness,48.85,12.55,20.03,20.53,9.05,10.98,15.42,5.1,1.17,10.99
tokio-rs,run_1,80.08094173,tool,26.77,16.89,29.99,29.23,17.67,12.32,18.52,10.71,2.15,16.14
tokio-rs,run_1,86.907515432,harness,36.76,9.17,15.53,38.53,4.93,10.59,33.27,5.26,1.13,7.65
tokio-rs,run_1,86.907515432,tool,28.81,14.82,27.35,32.27,15.25,12.1,20.5,11.76,2.41,14.26
tokio-rs,run_2,10.009508716,harness,31.47,17.75,35.13,15.51,21.86,13.27,9.81,5.7,1.56,16.39
tokio-rs,run_2,10.009508716,tool,22.56,20.53,37.96,19.48,22.98,14.98,11.6,7.88,2.12,19.95
tokio-rs,run_2,20.019880719,harness,38.33,11.38,22.83,27.96,9.94,12.9,22.99,4.97,0.99,10.41
tokio-rs,run_2,20.019880719,tool,24.73,17.0,30.88,28.05,19.41,11.47,17.33,10.72,1.99,16.19
tokio-rs,run_2,30.029507837,harness,45.13,10.65,20.19,22.92,9.14,11.05,17.67,5.25,0.88,9.77
tokio-rs,run_2,30.029507837,tool,23.59,17.52,32.0,27.35,19.75,12.26,17.48,9.87,1.5,16.88
tokio-rs,run_2,40.039887696,harness,45.38,11.08,17.26,26.76,7.23,10.03,21.4,5.36,0.98,10.1
tokio-rs,run_2,40.039887696,tool,25.79,17.18,29.7,30.92,17.41,12.28,19.97,10.95,1.51,16.67
tokio-rs,run_2,50.049506491,harness,45.42,11.42,17.22,28.12,8.32,8.89,22.54,5.58,0.99,10.43
tokio-rs,run_2,50.049506491,tool,25.94,16.07,31.57,27.14,19.75,11.82,16.97,10.16,2.19,15.02
tokio-rs,run_2,60.05951696,harness,44.6,11.17,18.11,26.18,8.79,9.32,20.07,6.11,0.93,10.24
tokio-rs,run_2,60.05951696,tool,24.81,16.76,30.15,29.03,18.42,11.73,18.68,10.35,1.76,16.08
tokio-rs,run_2,70.069509975,harness,44.56,9.59,18.24,29.51,5.83,12.4,23.89,5.62,1.22,8.02
tokio-rs,run_2,70.069509975,tool,24.97,16.84,29.65,29.51,18.55,11.11,19.51,10.0,1.75,16.09
tokio-rs,run_2,80.079508285,harness,56.39,9.11,17.76,14.3,5.23,12.52,10.61,3.69,1.18,7.54
tokio-rs,run_2,80.079508285,tool,26.33,15.64,27.92,30.71,15.36,12.56,20.88,9.84,1.16,15.09
tokio-rs,run_2,86.199230211,harness,36.79,9.28,13.95,40.36,5.6,8.35,33.76,6.6,1.23,7.72
tokio-rs,run_2,86.199230211,tool,29.51,15.61,26.21,33.23,13.86,12.36,22.98,10.25,0.84,14.89
tokio-rs,run_3,10.009922929,harness,31.73,17.81,35.2,15.55,21.78,13.42,9.8,5.74,1.56,16.55
tokio-rs,run_3,10.009922929,tool,22.94,20.07,37.49,19.41,22.85,14.63,11.72,7.69,2.34,19.38
tokio-rs,run_3,20.022923172,harness,38.31,12.94,22.02,27.07,9.99,12.02,21.69,5.38,1.57,11.53
tokio-rs,run_3,20.022923172,tool,24.5,16.83,31.7,27.92,19.84,11.85,17.53,10.39,1.94,16.02
tokio-rs,run_3,30.03292338,harness,45.76,12.57,20.19,22.46,8.24,11.96,17.13,5.32,1.57,11.55
tokio-rs,run_3,30.03292338,tool,23.91,17.37,32.29,27.0,19.96,12.33,16.91,10.09,1.61,16.6
tokio-rs,run_3,40.043306059,harness,44.82,12.27,18.54,28.88,8.9,9.65,22.07,6.81,1.57,11.14
tokio-rs,run_3,40.043306059,tool,25.72,17.59,29.37,29.87,17.67,11.7,20.01,9.87,1.47,16.88
tokio-rs,run_3,50.052919781,harness,46.09,12.88,20.84,24.95,9.33,11.51,21.44,3.51,1.57,11.71
tokio-rs,run_3,50.052919781,tool,26.62,15.63,30.75,27.46,18.75,12.01,17.56,9.9,2.36,15.03
tokio-rs,run_3,60.062920865,harness,43.32,12.58,18.6,38.33,9.47,9.13,30.34,7.99,1.57,11.41
tokio-rs,run_3,60.062920865,tool,24.95,16.1,30.17,29.65,18.89,11.29,18.87,10.78,1.75,15.36
tokio-rs,run_3,70.072932216,harness,45.48,9.93,18.15,27.66,6.03,12.11,22.18,5.48,1.57,8.74
tokio-rs,run_3,70.072932216,tool,25.59,16.56,30.03,28.81,19.11,10.92,18.1,10.71,1.73,15.81
tokio-rs,run_3,80.082918542,harness,45.43,10.08,16.68,24.2,6.23,10.46,20.31,3.89,1.57,8.9
tokio-rs,run_3,80.082918542,tool,26.38,15.82,27.95,30.46,15.7,12.25,20.62,9.84,1.13,15.15
tokio-rs,run_3,85.980788785,harness,36.37,8.9,14.68,40.19,4.8,9.88,34.65,5.53,1.22,7.37
tokio-rs,run_3,85.980788785,tool,34.78,13.97,25.03,32.46,12.88,12.15,23.11,9.35,1.13,13.42
tokio-rs,run_4,10.010022199,harness,30.55,17.61,36.2,15.52,23.16,13.04,10.3,5.22,1.36,16.54
tokio-rs,run_4,10.010022199,tool,22.95,20.21,38.1,19.47,22.71,15.39,11.59,7.88,2.35,19.45
tokio-rs,run_4,20.01978238,harness,38.35,13.25,22.45,27.3,9.5,12.94,22.32,4.98,1.4,11.47
tokio-rs,run_4,20.01978238,tool,24.44,17.17,31.57,27.71,19.91,11.65,17.09,10.62,2.1,16.53
tokio-rs,run_4,30.029783613,harness,45.29,13.16,21.04,22.79,8.36,12.67,17.91,4.87,1.39,12.01
tokio-rs,run_4,30.029783613,tool,23.73,17.73,32.34,27.0,20.32,12.03,16.99,10.0,1.83,16.88
tokio-rs,run_4,40.040906408,harness,44.13,12.2,19.61,27.92,8.82,10.79,22.19,5.72,1.46,10.92
tokio-rs,run_4,40.040906408,tool,25.94,17.33,29.41,29.61,17.23,12.18,19.7,9.91,1.73,16.75
tokio-rs,run_4,50.05129693,harness,45.92,12.51,19.54,27.49,9.51,10.03,23.51,3.99,1.47,11.24
tokio-rs,run_4,50.05129693,tool,26.09,17.19,30.71,28.46,18.86,11.85,18.57,9.89,1.67,16.55
tokio-rs,run_4,60.061663494,harness,44.08,12.96,21.58,26.72,10.16,11.42,21.96,4.76,1.54,11.76
tokio-rs,run_4,60.061663494,tool,24.92,16.7,29.68,29.41,18.73,10.95,18.82,10.6,1.76,15.86
tokio-rs,run_4,70.071781588,harness,43.69,9.63,17.43,29.08,5.34,12.09,24.19,4.9,1.18,8.81
tokio-rs,run_4,70.071781588,tool,25.48,17.17,29.85,28.36,18.46,11.4,19.24,9.12,1.7,16.33
tokio-rs,run_4,80.082145837,harness,54.63,10.9,20.23,21.43,6.62,13.62,16.57,4.86,1.18,9.72
tokio-rs,run_4,80.082145837,tool,26.35,15.85,28.11,30.15,15.83,12.28,20.48,9.67,1.22,15.17
tokio-rs,run_4,86.128438492,harness,36.32,9.31,14.17,40.1,5.08,9.1,35.41,4.69,1.18,8.13
tokio-rs,run_4,86.128438492,tool,28.28,14.74,25.73,31.38,13.57,12.16,22.17,9.21,1.19,13.95
tokio-rs,run_5,10.009598475,harness,33.39,18.71,33.71,15.49,19.7,14.01,9.61,5.88,1.17,17.54
tokio-rs,run_5,10.009598475,tool,22.65,19.76,38.67,19.39,23.37,15.3,11.42,7.97,2.66,19.33
tokio-rs,run_5,20.01959862,harness,38.22,13.57,21.78,27.25,10.64,11.14,21.68,5.57,1.33,12.69
tokio-rs,run_5,20.01959862,tool,24.47,16.68,32.16,27.55,20.37,11.79,17.3,10.26,2.02,15.92
tokio-rs,run_5,30.030606472,harness,46.06,11.85,21.03,21.84,8.54,12.49,16.74,5.1,1.72,10.76
tokio-rs,run_5,30.030606472,tool,23.74,17.79,32.45,26.56,20.28,12.17,16.34,10.22,1.65,17.04
tokio-rs,run_5,40.040603226,harness,45.39,10.43,18.0,26.67,7.23,10.77,21.6,5.07,1.68,9.31
tokio-rs,run_5,40.040603226,tool,25.57,16.09,29.36,30.44,17.24,12.12,20.57,9.87,1.54,15.35
tokio-rs,run_5,50.050960051,harness,45.48,11.19,18.75,27.49,7.13,11.63,22.39,5.1,1.67,10.01
tokio-rs,run_5,50.050960051,tool,26.26,15.24,30.35,27.95,19.03,11.32,17.6,10.36,2.4,14.64
tokio-rs,run_5,60.060617439,harness,42.75,11.05,16.18,31.16,7.56,8.62,28.37,2.79,1.6,9.87
tokio-rs,run_5,60.060617439,tool,25.19,16.23,29.76,29.33,18.64,11.12,18.08,11.25,1.64,15.25
tokio-rs,run_5,70.070612117,harness,45.2,10.18,18.43,27.13,5.76,12.67,21.67,5.46,1.64,9.01
tokio-rs,run_5,70.070612117,tool,26.21,17.01,30.11,28.23,18.35,11.76,17.74,10.49,1.64,16.23
tokio-rs,run_5,80.081723944,harness,43.18,10.15,15.02,32.87,5.98,9.04,26.52,6.36,1.64,8.97
tokio-rs,run_5,80.081723944,tool,26.34,15.56,27.87,31.01,14.82,13.06,21.0,10.01,1.18,15.01
tokio-rs,run_5,85.867950084,harness,37.08,8.97,15.46,39.47,5.12,10.34,33.62,5.85,1.29,7.82
tokio-rs,run_5,85.867950084,tool,32.31,13.27,24.6,33.51,12.06,12.54,23.58,9.93,1.18,12.99
tokio-rs,run_6,10.00983274,harness,30.9,17.45,35.96,15.92,22.86,13.1,10.14,5.78,1.52,16.17
tokio-rs,run_6,10.00983274,tool,23.57,19.51,37.71,19.8,22.97,14.74,11.61,8.18,2.37,18.98
tokio-rs,run_6,20.019836632,harness,38.69,12.41,22.48,27.7,10.6,11.88,22.4,5.3,1.26,11.81
tokio-rs,run_6,20.019836632,tool,24.85,17.31,31.65,27.74,20.16,11.49,17.37,10.37,2.08,16.54
tokio-rs,run_6,30.029845036,harness,45.81,12.56,22.08,23.13,9.53,12.55,17.63,5.49,1.28,11.85
tokio-rs,run_6,30.029845036,tool,23.82,17.15,31.52,28.0,19.9,11.62,17.72,10.29,1.71,16.33
tokio-rs,run_6,40.041407272,harness,43.89,10.31,18.1,27.98,7.04,11.05,22.82,5.16,1.26,8.73
tokio-rs,run_6,40.041407272,tool,25.87,17.03,29.11,30.05,16.83,12.27,19.85,10.19,1.64,15.75
tokio-rs,run_6,50.050835568,harness,46.17,10.04,18.29,25.49,7.34,10.95,19.12,6.37,1.31,8.6
tokio-rs,run_6,50.050835568,tool,25.97,16.34,29.48,29.94,17.97,11.51,19.33,10.61,1.61,15.28
tokio-rs,run_6,60.062842411,harness,44.0,9.62,17.98,26.02,6.62,11.36,20.51,5.51,1.2,8.41
tokio-rs,run_6,60.062842411,tool,25.37,16.36,29.19,29.9,18.42,10.77,19.23,10.67,1.68,15.49
tokio-rs,run_6,70.072849887,harness,44.08,9.08,17.44,28.3,5.78,11.66,23.41,4.89,1.57,8.12
tokio-rs,run_6,70.072849887,tool,26.05,16.61,29.52,29.11,18.4,11.12,19.19,9.93,1.65,15.75
tokio-rs,run_6,80.082844004,harness,54.3,8.54,17.57,22.13,5.48,12.09,15.8,6.32,1.57,7.69
tokio-rs,run_6,80.082844004,tool,26.51,15.8,27.89,30.45,15.11,12.78,20.33,10.13,1.15,15.08
tokio-rs,run_6,85.885090504,harness,36.52,9.11,14.84,40.12,5.21,9.63,33.88,6.24,1.25,8.47
tokio-rs,run_6,85.885090504,tool,34.23,13.41,25.62,33.16,13.13,12.49,23.01,10.15,1.41,12.89
tokio-rs,run_7,10.009580314,harness,31.51,17.49,35.57,15.72,22.1,13.47,10.21,5.5,1.19,16.33
tokio-rs,run_7,10.009580314,tool,22.95,20.2,38.55,19.42,23.02,15.53,11.28,8.14,2.2,19.5
tokio-rs,run_7,20.019578655,harness,38.02,12.72,22.19,27.63,10.16,12.03,22.14,5.49,1.17,11.57
tokio-rs,run_7,20.019578655,tool,24.18,17.09,31.82,27.39,20.06,11.75,17.29,10.1,2.0,16.24
