task,run,t,fence,retiring,bad_spec,fe_bound,be_bound,fetch_lat,fetch_bw,mem_bound,core_bound,heavy_ops,br_mispred
vuejs,run_1,10.010028277,harness,32.13,17.87,35.07,14.36,20.98,14.09,8.88,5.48,1.16,16.76
vuejs,run_1,10.010028277,tool,26.21,18.99,37.8,17.58,22.48,15.32,10.05,7.53,2.44,18.34
vuejs,run_1,20.019933535,harness,41.16,16.84,27.59,15.14,13.88,13.71,9.97,5.18,1.21,14.38
vuejs,run_1,20.019933535,tool,29.84,18.2,37.67,17.06,22.34,15.33,9.21,7.85,2.07,17.5
vuejs,run_1,30.029938795,harness,32.36,11.9,20.97,34.09,9.15,11.82,28.61,5.47,1.18,11.94
vuejs,run_1,30.029938795,tool,29.8,18.03,37.65,17.43,22.38,15.26,9.61,7.82,2.13,17.34
vuejs,run_1,40.040303609,harness,51.78,15.63,27.59,14.09,5.09,22.5,8.61,5.48,1.18,14.82
vuejs,run_1,40.040303609,tool,29.52,18.19,37.53,17.45,22.4,15.13,9.58,7.88,2.16,17.5
vuejs,run_1,47.839933455,harness,16.46,9.04,11.76,63.94,4.91,6.85,57.62,6.32,0.55,8.89
vuejs,run_1,47.839933455,tool,28.99,17.47,37.62,17.97,22.61,15.01,10.12,7.85,2.32,16.78
vuejs,run_2,10.009865131,harness,31.03,17.03,36.07,14.73,22.18,13.89,9.27,5.46,1.33,16.07
vuejs,run_2,10.009865131,tool,26.3,19.2,38.17,17.46,23.01,15.16,9.65,7.8,2.44,18.47
vuejs,run_2,20.02086904,harness,41.49,13.99,27.96,15.36,13.03,14.92,9.87,5.49,1.35,13.0
vuejs,run_2,20.02086904,tool,28.61,18.13,38.43,16.9,23.24,15.2,9.6,7.31,2.48,17.47
vuejs,run_2,30.030867965,harness,33.54,12.5,21.22,33.03,8.61,12.6,28.11,4.92,1.28,12.23
vuejs,run_2,30.030867965,tool,28.04,17.33,39.78,16.97,24.28,15.5,9.43,7.55,1.56,16.68
vuejs,run_2,40.040866202,tool,29.79,16.76,38.2,18.55,23.07,15.13,10.39,8.16,1.87,15.98
vuejs,run_2,47.177517684,harness,15.78,8.91,11.2,63.98,5.99,5.21,58.45,5.53,0.68,9.12
vuejs,run_2,47.177517684,tool,29.32,15.93,38.26,19.6,23.6,14.66,11.68,7.91,1.52,15.29
vuejs,run_3,10.009943218,harness,32.01,17.35,35.59,14.71,21.55,14.04,9.28,5.43,1.4,16.35
vuejs,run_3,10.009943218,tool,26.65,18.96,37.81,17.93,22.8,15.0,9.8,8.14,2.47,18.26
vuejs,run_3,20.020948326,harness,41.67,15.63,29.1,16.34,13.93,15.17,10.72,5.62,1.3,14.06
vuejs,run_3,20.020948326,tool,28.83,17.9,37.82,17.82,23.39,14.42,10.16,7.66,2.34,17.29
vuejs,run_3,30.030947643,harness,33.25,12.45,21.2,33.34,8.84,12.37,28.22,5.13,1.27,12.04
vuejs,run_3,30.030947643,tool,29.27,17.05,37.4,18.46,22.11,15.29,10.68,7.79,2.01,16.22
vuejs,run_3,40.040945225,tool,28.74,17.3,37.9,18.49,22.52,15.38,10.58,7.91,2.0,16.54
vuejs,run_3,47.124748899,harness,15.78,9.69,11.36,63.54,4.48,6.88,57.69,5.86,0.61,8.56
vuejs,run_3,47.124748899,tool,28.76,16.6,37.9,19.82,23.61,14.28,11.96,7.85,1.8,15.93
vuejs,run_4,10.009326896,harness,31.21,17.13,35.3,15.79,21.39,13.91,9.98,5.82,1.38,15.99
vuejs,run_4,10.009326896,tool,26.52,18.79,37.86,17.84,22.78,15.08,9.85,7.98,2.35,18.16
vuejs,run_4,20.0193308,harness,41.73,16.1,28.49,15.05,13.59,14.91,8.56,6.49,1.48,14.47
vuejs,run_4,20.0193308,tool,27.98,18.73,38.19,17.75,23.45,14.74,10.0,7.75,2.48,18.08
vuejs,run_4,30.029326204,harness,34.0,12.44,22.01,33.11,8.22,13.8,27.3,5.82,1.48,11.18
vuejs,run_4,30.029326204,tool,28.38,18.73,38.04,17.95,23.35,14.7,10.32,7.63,2.36,18.12
vuejs,run_4,40.039326387,tool,29.44,16.58,39.08,18.49,23.57,15.51,9.76,8.73,1.63,15.94
vuejs,run_4,47.114498057,harness,16.88,9.76,11.99,63.76,5.25,6.74,57.44,6.32,0.79,9.35
vuejs,run_4,47.114498057,tool,28.53,16.39,38.71,19.86,24.15,14.56,11.58,8.28,1.57,15.56
vuejs,run_5,10.00952989,harness,31.46,17.49,35.95,15.26,21.79,14.16,9.58,5.68,1.38,16.33
vuejs,run_5,10.00952989,tool,26.87,19.29,37.76,17.9,22.5,15.26,10.01,7.89,2.47,18.54
vuejs,run_5,20.019531342,harness,42.97,15.4,28.88,15.85,14.83,14.05,10.24,5.61,1.44,13.48
vuejs,run_5,20.019531342,tool,27.99,18.06,38.28,17.3,23.36,14.92,9.95,7.35,2.25,17.46
vuejs,run_5,30.029528403,harness,33.38,13.18,21.44,34.17,9.19,12.25,28.37,5.8,1.4,11.79
vuejs,run_5,30.029528403,tool,27.47,18.05,38.47,17.79,23.59,14.88,10.07,7.71,1.91,17.44
vuejs,run_5,40.040527643,tool,27.05,18.32,39.09,17.74,24.22,14.87,9.91,7.83,2.05,17.69
vuejs,run_5,47.15748392,harness,17.08,9.57,11.81,63.39,4.86,6.95,56.68,6.72,0.87,8.77
vuejs,run_5,47.15748392,tool,27.66,16.28,38.72,19.82,24.53,14.19,12.0,7.82,1.38,15.59
vuejs,run_6,10.009293845,harness,31.77,17.74,35.58,14.82,21.88,13.7,8.92,5.9,1.36,16.36
vuejs,run_6,10.009293845,tool,26.54,18.96,38.1,17.59,22.68,15.42,9.97,7.62,2.23,18.36
vuejs,run_6,20.019305423,harness,42.83,14.97,28.9,14.96,14.31,14.59,9.06,5.89,1.27,13.01
vuejs,run_6,20.019305423,tool,28.05,17.81,38.28,17.24,23.73,14.55,10.02,7.22,2.47,17.29
vuejs,run_6,30.029283893,harness,34.52,12.67,21.17,33.84,9.69,11.48,28.4,5.44,0.99,11.6
vuejs,run_6,30.029283893,tool,27.97,17.58,38.23,17.71,23.8,14.43,10.22,7.49,2.35,17.05
vuejs,run_6,40.040321234,tool,28.33,17.1,38.02,18.55,23.3,14.73,10.94,7.6,2.05,16.39
vuejs,run_6,47.110832476,harness,15.65,9.27,11.6,62.97,5.46,6.14,57.08,5.89,0.66,8.05
vuejs,run_6,47.110832476,tool,28.93,15.87,38.89,19.22,24.32,14.57,11.17,8.05,1.81,15.03
vuejs,run_7,10.009136122,harness,32.17,16.84,35.15,15.25,20.97,14.18,9.52,5.72,1.56,15.68
vuejs,run_7,10.009136122,tool,26.76,19.25,37.66,18.05,22.83,14.82,9.92,8.12,2.26,18.47
vuejs,run_7,20.019140204,harness,42.19,16.1,28.76,15.22,14.86,13.9,9.98,5.24,1.56,14.93
vuejs,run_7,20.019140204,tool,28.24,18.54,37.71,18.2,23.11,14.6,10.46,7.74,2.33,17.76
vuejs,run_7,30.029654754,harness,33.97,12.57,21.65,34.63,10.19,11.46,28.67,5.96,1.56,11.99
vuejs,run_7,30.029654754,tool,29.76,17.53,37.26,18.82,22.54,14.73,10.85,7.97,1.98,16.87
vuejs,run_7,40.040138939,tool,30.08,17.23,37.16,18.72,22.52,14.64,10.76,7.96,2.02,16.49
vuejs,run_7,47.183062002,harness,16.64,9.44,11.26,63.82,4.93,6.33,57.84,5.97,0.89,8.63
vuejs,run_7,47.183062002,tool,28.95,16.33,38.48,19.6,24.05,14.43,11.66,7.94,1.9,15.55
vuejs,run_8,10.01001779,harness,30.84,17.12,36.06,15.01,22.39,13.67,9.5,5.51,1.51,16.01
vuejs,run_8,10.01001779,tool,26.7,18.52,37.82,17.61,22.8,15.02,9.99,7.63,2.6,17.81
vuejs,run_8,20.019524436,harness,42.81,15.03,28.29,15.78,14.25,14.04,10.29,5.49,1.56,13.86
vuejs,run_8,20.019524436,tool,28.2,17.86,38.19,17.87,23.14,15.06,10.39,7.48,2.68,17.17
vuejs,run_8,30.029524861,harness,33.96,12.11,21.05,33.95,9.01,12.05,28.81,5.13,1.15,11.12
vuejs,run_8,30.029524861,tool,28.96,16.94,38.39,18.37,23.41,14.97,10.66,7.7,1.56,16.24
vuejs,run_8,40.039520366,tool,28.7,16.69,39.2,18.14,24.67,14.53,10.28,7.85,1.48,15.97
vuejs,run_8,47.25669786,harness,16.32,9.77,11.52,63.73,5.51,6.01,58.18,5.56,0.56,8.92
vuejs,run_8,47.25669786,tool,29.16,15.87,38.14,19.5,23.63,14.51,11.38,8.12,1.76,15.23
