win	group	t_start	t_end	alive_after
000	cache	1784795957.863740	1784795967.918016	1
001	fe	1784795967.920697	1784795977.944450	1
002	fpbr	1784795977.947092	1784795987.969876	1
003	priv	1784795987.972444	1784795997.995688	1
004	fe_lat	1784795997.998222	1784796008.022605	1
005	mlp	1784796008.025147	1784796018.046667	1
006	dram_bw	1784796018.049133	1784796028.071915	1
007	core_ports	1784796028.074543	1784796038.099615	1
008	priv	1784796038.105980	1784796048.129352	1
009	dram_bw	1784796048.132061	1784796058.155086	1
010	mlp	1784796058.157958	1784796068.179589	1
011	core_ports	1784796068.182116	1784796078.209072	1
012	fe_lat	1784796078.211768	1784796088.237474	1
013	fpbr	1784796088.239931	1784796098.266353	1
014	fe	1784796098.269038	1784796108.294776	1
015	cache	1784796108.297457	1784796118.323051	1
016	fe	1784796118.329697	1784796128.356806	1
017	priv	1784796128.359856	1784796138.383545	1
018	fpbr	1784796138.386070	1784796148.408481	1
019	fe_lat	1784796148.411291	1784796158.436865	1
020	cache	1784796158.439619	1784796168.463322	1
021	core_ports	1784796168.466079	1784796178.489839	1
022	mlp	1784796178.492409	1784796188.514022	1
023	dram_bw	1784796188.516710	1784796198.538326	1
024	core_ports	1784796198.544679	1784796208.569065	1
025	fe_lat	1784796208.571701	1784796218.595709	1
026	dram_bw	1784796218.598481	1784796228.620358	1
027	priv	1784796228.622807	1784796238.644854	1
028	cache	1784796238.647526	1784796248.669939	1
029	mlp	1784796248.672600	1784796258.693885	1
030	fpbr	1784796258.696421	1784796268.721053	1
031	fe	1784796268.723767	1784796278.747373	1
032	mlp	1784796278.753282	1784796288.773768	1
033	dram_bw	1784796288.776494	1784796298.798147	1
034	core_ports	1784796298.800674	1784796308.824571	1
035	fpbr	1784796308.827155	1784796318.849990	1
036	cache	1784796318.852746	1784796328.882541	1
037	fe_lat	1784796328.885256	1784796338.909507	1
038	priv	1784796338.912101	1784796348.933751	1
039	fe	1784796348.936330	1784796358.960541	1
040	priv	1784796358.967011	1784796368.990680	1
041	mlp	1784796368.993263	1784796379.014402	1
042	fe	1784796379.027825	1784796389.052533	1
043	fe_lat	1784796389.055123	1784796399.079607	1
044	dram_bw	1784796399.082327	1784796409.103808	1
045	fpbr	1784796409.106421	1784796419.129906	1
046	cache	1784796419.132485	1784796429.157223	1
047	core_ports	1784796429.159873	1784796439.184532	0
